achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345288/foot-soldier-achievement,Foot Soldier,Travelled 25 km without using vehicles,Today,(15),17,1.18
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222398/going-places-achievement,Going Places,Rode the tram in Burial at Sea - Episode 1.,31 May 23,(25),41,1.65
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222396/break-the-ice-achievement,Break the Ice,Shattered 5 enemies who had been frozen with Old Man Winter in Burial at Sea - Episode 1.,31 May 23,(10),21,2.15
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222397/snowball-effect-achievement,Snowball Effect,Froze 2 enemies with the same Old Man Winter trap in Burial at Sea - Episode 1.,31 May 23,(10),25,2.51
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222392/fully-equipped-achievement,Fully Equipped,Purchased any two upgrades for Old Man Winter or Radar Range in Burial at Sea - Episode 1.,31 May 23,(10),25,2.51
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222389/down-in-the-briney-achievement,Down in the Briney,Took a Bathysphere ride in Burial at Sea - Episode 1.,31 May 23,(25),38,1.53
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222381/rooftop-ruffian-achievement,Rooftop Ruffian,Defeated all waves in Raven's Dome.,31 May 23,(15),57,3.84
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222387/missile-defense-system-achievement,Missile Defense System,"In CitC, killed an enemy with splash damage by shooting a rocket out of the air.",31 May 23,(30),116,3.87
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222380/duke-or-dimwit-achievement,Duke or Dimwit,Defeated all waves in Duke and Dimwit Theater.,30 May 23,(15),55,3.69
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222379/friendly-skies-achievement,Friendly Skies,Defeated all waves in The OPS Zeal.,30 May 23,(15),48,3.22
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222348/auld-lang-syne-achievement,Auld Lang Syne,Completed the Main Campaign on 1999 Mode.,30 May 23,(75),279,3.72
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222378/scavenger-hunt-achievement,Scavenger hunt,Completed the Main Campaign in 1999 Mode without purchasing anything from a Dollar Bill machine.,30 May 23,(75),291,3.88
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222347/stone-cold-pinkerton-achievement,Stone Cold Pinkerton,Completed the Main Campaign on Hard difficulty or above.,30 May 23,(50),125,2.51
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222344/the-bird-or-the-cage-achievement,The Bird or The Cage,Completed The Hand of the Prophet.,30 May 23,(25),33,1.35
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222375/eavesdropper-achievement,Eavesdropper,"In the Main Campaign, collected every Voxophone.",30 May 23,(50),148,2.97
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222373/sightseer-achievement,Sightseer,"In the Main Campaign, used all telescopes and Kinetoscopes in the game.",30 May 23,(50),155,3.1
https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,https://www.trueachievements.com/a222364/hazard-pay-achievement,Hazard Pay,"In the Main Campaign, killed 10 enemies by utilizing environmental hazards.",25 May 23,(25),43,1.75
https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,https://www.trueachievements.com/a222427/against-all-odds-achievement,Against All Odds,Finish the game on the hardest difficulty level.,24 May 23,(30),77,2.59
https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,https://www.trueachievements.com/a222428/big-brass-balls-achievement,Big Brass Balls,Finish the game without using Vita-Chambers.,23 May 23,(25),48,1.93
https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,https://www.trueachievements.com/a222422/all-plasmids-achievement,All Plasmids,Find or purchase all 11 basic Plasmid types.,23 May 23,(20),35,1.79
https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,https://www.trueachievements.com/a222445/savior-achievement,Savior,"Saved every Little Sister and spared Grace, Stanley and Gil.",23 May 23,(25),41,1.67
https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,https://www.trueachievements.com/a222418/research-master-achievement,Research Master,Max out research on all 9 research subjects.,23 May 23,(20),44,2.21
https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,https://www.trueachievements.com/a222440/9irony-achievement,9-Irony,Paid your respects to the founder of Rapture.,18 May 23,(5),10,2.05
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222278/fully-researched-bouncer-achievement,Fully Researched Bouncer,Fully research the Bouncer.,17 May 23,(10),20,2.09
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222295/research-phd-achievement,Research PhD,Max out all possible research.,17 May 23,(20),48,2.42
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222326/worlds-of-hurt--collector-achievement,“Worlds of Hurt” – Collector,Found all collectable Roses in “Worlds of Hurt”,17 May 23,(5),19,3.91
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222325/worlds-of-hurt--expert-achievement,“Worlds of Hurt” – Expert,"Rescued the Little Sister in “Worlds of Hurt” in under 15:00, on Medium or higher difficulty",17 May 23,(10),41,4.19
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222324/worlds-of-hurt--rescuer-achievement,“Worlds of Hurt” - Rescuer,Rescued the Little Sister in “Worlds of Hurt”,17 May 23,(5),17,3.47
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222327/worlds-of-hurt--tough-guy-achievement,“Worlds of Hurt” – Tough Guy,Rescued the Little Sister in “Worlds of Hurt” on medium or higher difficulty using only the wrench.,17 May 23,(20),79,3.96
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222323/a-shocking-turn-of-events--electrician-achievement,“A Shocking Turn of Events” – Electrician,Charged up the Ferris Wheel 9 different times in “A Shocking Turn of Events”,17 May 23,(5),17,3.54
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222322/a-shocking-turn-of-events--collector-achievement,“A Shocking Turn of Events” – Collector,Found all collectable Roses in “A Shocking Turn of Events”,17 May 23,(5),17,3.49
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222321/a-shocking-turn-of-events--expert-achievement,“A Shocking Turn of Events” – Expert,The player has rescued the Little Sister in “A Shocking Turn of Events” in under 4:00,17 May 23,(10),36,3.6
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222315/brass-balls-achievement,Brass Balls,Complete the game on Hard difficulty without using a Vita-Chamber.,17 May 23,(100),295,2.95
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222307/seriously-good-at-this-achievement,Seriously Good At This,Complete the game on the hardest difficulty setting.,17 May 23,(40),109,2.73
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222269/historian-achievement,Historian,Find every audio diary.,17 May 23,(50),144,2.89
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222274/weapon-specialist-achievement,Weapon Specialist,Acquire all upgrades for all weapons.,17 May 23,(20),45,2.29
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222287/five-fully-upgraded-weapons-achievement,Five Fully Upgraded Weapons,Fully upgrade five weapons.,17 May 23,(10),18,1.88
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222314/found-cohens-room-achievement,Found Cohen's Room,The player has entered Sander Cohen's personal quarters.,17 May 23,(10),21,2.16
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222306/tonic-collector-achievement,Tonic Collector,"Collect or Invent 53 Tonics in the Physical, Engineering and Combat tracks.",17 May 23,(50),113,2.26
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222294/fully-researched-little-sister-achievement,Fully Researched Little Sister,Fully research the Little Sister.,17 May 23,(10),20,2.0
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222304/avid-inventor-achievement,Avid Inventor,Successfully invent at least 100 items.,17 May 23,(10),22,2.29
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222313/irony-achievement,Irony,The player has taken a picture of Sander Cohen's corpse.,17 May 23,(10),20,2.05
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222305/ammo-inventor-achievement,Ammo Inventor,Successfully invented all possible ammo types.,17 May 23,(25),41,1.67
https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,https://www.trueachievements.com/a222293/fully-researched-rosie-achievement,Fully Researched Rosie,Fully research the Rosie.,17 May 23,(10),19,1.9
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391533/wounded-whispers-achievement,Wounded Whispers,Collect your first grave lock.,10 May 23,(10),12,1.25
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391510/welcome-to-the-neighborhood-achievement,Welcome to the Neighborhood,Complete your first neighborhood.,10 May 23,(17),27,1.6
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391530/icu-achievement,ICU,Destroy your first Watcher.,10 May 23,(10),14,1.48
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391508/blood-will-have-blood-achievement,Blood Will Have Blood,Loot your first blood remnant.,09 May 23,(10),14,1.41
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391531/sucks-to-be-you-achievement,Sucks To Be You,Destroy your first Siphon.,09 May 23,(10),15,1.55
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391504/home-is-where-the-heart-is-achievement,Home Is Where the Heart Is,Unlock your first safehouse.,09 May 23,(10),12,1.22
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391517/bad-wiring-achievement,Bad Wiring,Disable a tripwire using a rewire kit.,09 May 23,(10),19,1.96
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,09 May 23,(17),17,1.02
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,09 May 23,(10),10,1.01
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391534/catch-and-release-achievement,Catch and Release,Rescue a civilian hostage.,09 May 23,(10),15,1.5
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391360/a-place-you-could-call-home-achievement,A Place You Could Call Home,Completed the story,09 May 23,(70),95,1.36
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391396/intergalactic-geographic-achievement,Intergalactic Geographic,Scanned every type of enemy to fill out the Tactical Guide,09 May 23,(30),88,2.95
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391359/into-the-abyss-achievement,Into the Abyss,Discovered the route to Tanalorr,09 May 23,(15),20,1.34
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391384/caij-match-achievement,Caij Match,Gained the attention of a mysterious stranger,09 May 23,(30),69,2.32
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391400/blood-sweat-and-tears-achievement,"Blood, Sweat, and Tears",Completed all Force Tears,09 May 23,(70),215,3.07
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391398/splurgle-achievement,Splurgle,Purchased all of Doma's merchandise,09 May 23,(15),49,3.28
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391358/at-the-precipice-achievement,At the Precipice,Survived Nova Garon,09 May 23,(15),19,1.33
