achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182143/saw-that-one-coming-achievement,Saw That One Coming…,Complete memory sequence 13.,26 Nov 15,(50),81,1.63
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182147/its-all-good-achievement,It's All Good,Complete present day mission 5.,26 Nov 15,(20),32,1.62
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182142/just-like-starting-over-achievement,Just Like Starting Over,Complete memory sequence 12.,26 Nov 15,(20),32,1.62
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182166/cannon-fodder-achievement,Cannon Fodder,Recruit 500 crew members.,26 Nov 15,(5),9,1.95
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182171/sharing-is-caring-achievement,Sharing Is Caring,Share each type of discovery with friends once.,25 Nov 15,(10),17,1.79
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182141/been-down-so-long-achievement,Been Down So Long…,Complete memory sequence 11.,25 Nov 15,(20),31,1.57
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182146/bunker-buddies-achievement,Bunker Buddies,Complete present day mission 4.,24 Nov 15,(20),31,1.57
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182140/my-elusive-fortune-achievement,My Elusive Fortune,Complete memory sequence 10.,24 Nov 15,(20),31,1.56
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182139/a-new-hope-achievement,A New Hope,Complete memory sequence 9.,24 Nov 15,(20),30,1.53
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182138/adrift-achievement,Adrift,Complete memory sequence 8.,24 Nov 15,(20),30,1.51
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182137/the-hammer-falls-achievement,The Hammer Falls,Complete memory sequence 7.,23 Nov 15,(20),29,1.46
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182145/getting-weird-around-here-achievement,Getting Weird Around Here,Complete present day mission 3.,23 Nov 15,(20),28,1.44
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182136/mixing-up-the-medicines-achievement,Mixing Up The Medicines,Complete memory sequence 6.,21 Nov 15,(20),28,1.43
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182159/merman-achievement,Mer-man,Swim a total of 1 nmi.,21 Nov 15,(10),14,1.42
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182135/death-of-a-salesman-achievement,Death Of A Salesman,Complete memory sequence 5.,21 Nov 15,(20),27,1.38
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182156/king-of-the-castle-achievement,King Of The Castle,Capture all forts.,21 Nov 15,(30),53,1.79
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182153/killer-killer-achievement,Killer Killer,Harpoon a killer whale.,20 Nov 15,(10),16,1.62
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182150/silence-fool-achievement,"Silence, Fool!",Kill a guard ringing a bell.,20 Nov 15,(5),7,1.41
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182161/thug-life-achievement,Thug Life,Plunder 30 ships.,15 Nov 15,(30),48,1.6
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182134/no-apologies-achievement,No Apologies,Complete memory sequence 4.,15 Nov 15,(20),26,1.31
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182157/employee-of-the-month-achievement,Employee Of The Month,Complete 25 Abstergo challenges.,15 Nov 15,(30),38,1.29
https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,https://www.trueachievements.com/a182158/business-and-pleasure-achievement,Business And Pleasure,"Earn 50,000 reales.",15 Nov 15,(20),27,1.36
