achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391010/i-want-candy-achievement,I Want Candy,Obtain Candevil,26 May 23,(5),9,1.95
https://www.trueachievements.com/game/Marvels-Avengers/achievements,https://www.trueachievements.com/a292631/information-overload-achievement,Information Overload,Collect 50 intelligence files,15 May 23,(15),49,3.32
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391391/road-house-achievement,Road House,Dropkicked an enemy while wearing a mullet,10 May 23,(5),10,2.14
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391390/hey-luke-at-us-achievement,"Hey, Luke At Us",Equipped a new cosmetic in every Cal slot,10 May 23,(15),19,1.27
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391377/now-this-isnt-podracing-achievement,"Now, This Isn't Podracing",Travelled 500m of distance while riding creatures,09 May 23,(15),17,1.19
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391387/greezy-money-achievement,Greezy Money,Traded 25 collected items,09 May 23,(15),18,1.25
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391385/who-gives-a-puck-achievement,Who Gives a Puck,Obtained your first bounty,09 May 23,(15),16,1.12
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391392/kitted-out-achievement,Kitted Out,"Customized BD-1, the blaster, and Cal's lightsaber with new parts",07 May 23,(15),18,1.23
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391353/among-the-masters-achievement,Among the Masters,Met the Jedi Masters,07 May 23,(15),16,1.1
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391365/they-never-saw-it-coming-achievement,They Never Saw It Coming,Striking an unaware enemy 20 times,05 May 23,(15),16,1.09
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391352/survivors-we-adapt-achievement,"Survivors, We Adapt",Travelled together with a Nightsister,05 May 23,(15),16,1.09
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391378/cleaning-up-achievement,Cleaning Up,Refreshed the Refresher,04 May 23,(5),5,1.18
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391842/sword-shield-fight-achievement,"Sword, Shield, Fight!",Complete Combat Training,04 May 23,(10),12,1.24
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391843/a-prophecy-achievement,A Prophecy,Speak with Finn in the Stone Garden,04 May 23,(5),5,1.15
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391844/into-the-barn-achievement,Into the Barn,Enter the Old Barn,04 May 23,(5),5,1.12
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391845/waff-achievement,Waff!,Pet your dog!,04 May 23,(5),5,1.02
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391846/once-upon-a-time-achievement,Once Upon a Time,Name your Character,04 May 23,(5),5,1.0
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391351/the-past-made-present-achievement,The Past Made Present,Released the Jedi from the bacta tank,03 May 23,(15),16,1.07
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391518/spit-take-achievement,Spit Take,Destroy a Death Mist Spewer.,02 May 23,(10),17,1.72
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391517/bad-wiring-achievement,Bad Wiring,Disable a tripwire using a rewire kit.,02 May 23,(10),19,1.96
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,02 May 23,(10),10,1.01
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,02 May 23,(17),17,1.02
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391350/grab-some-seat-achievement,Grab Some Seat,Chatted with the owner of the Koboh cantina,01 May 23,(15),15,1.03
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391383/can-you-pet-the-bogling-achievement,Can You Pet the Bogling?,You can pet the bogling,30 Apr 23,(5),5,1.04
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391349/for-saw-gerrera-achievement,For Saw Gerrera,Broke free from the grasp of the Empire,29 Apr 23,(15),15,1.0
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391348/rooftop-duel-achievement,Rooftop Duel,Defeated an Inquisitor,29 Apr 23,(15),15,1.0
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391370/mirror-match-achievement,Mirror Match,A Confused enemy defeated an enemy of the same type,29 Apr 23,(15),17,1.15
https://www.trueachievements.com/game/The-Last-Case-of-Benedict-Fox/achievements,https://www.trueachievements.com/a391252/descend-into-the-limbo-achievement,Descend into the Limbo.,Dove into the memories.,27 Apr 23,(20),23,1.18
https://www.trueachievements.com/game/The-Last-Case-of-Benedict-Fox/achievements,https://www.trueachievements.com/a391231/first-of-many-achievement,First of many.,Found the first collectible.,27 Apr 23,(10),10,1.07
https://www.trueachievements.com/game/The-Last-Case-of-Benedict-Fox/achievements,https://www.trueachievements.com/a391249/veni-achievement,Veni,Completed the tutorial.,27 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/BlazBlue-Cross-Tag-Battle-Special-Edition/achievements,https://www.trueachievements.com/a391132/the-world-is-filled-with-commands-achievement,The World Is Filled With Commands.,[Traning] Opened the command list.,27 Apr 23,(25),37,1.48
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390098/glimpse-of-history-achievement,Glimpse of history,Reactivate an unknown item,27 Apr 23,(20),33,1.65
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390086/helping-hand-achievement,Helping hand,Soothe a companion,27 Apr 23,(50),89,1.79
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390101/in-rhythm-achievement,In rhythm,Chain 6 successful parries,26 Apr 23,(20),30,1.53
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390091/journey-begins-achievement,Journey begins,Discover the crossroads,26 Apr 23,(15),17,1.13
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390100/resilient-achievement,Resilient,Survive your inner conflict,26 Apr 23,(15),15,1.05
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390090/duality-achievement,Duality,Adapt to a new form,26 Apr 23,(15),15,1.02
https://www.trueachievements.com/game/Strayed-Lights/achievements,https://www.trueachievements.com/a390089/newborn-achievement,Newborn,Take your first steps,26 Apr 23,(15),15,1.0
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390041/apex-predator-achievement,Apex Predator,Knock down 10 Apex Variants.,25 Apr 23,(10),11,1.16
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390037/git-gutte-achievement,Git Gutte!,Join forces with Sam B and get your hands on some firepower.,25 Apr 23,(10),11,1.14
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390042/bookworm-achievement,Bookworm,Collect 50 Journals.,25 Apr 23,(20),24,1.22
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390038/personal-assistant-personally-assisted-achievement,Personal Assistant Personally Assisted,Track down Michael and rescue him from the Terror at Monarch Studios.,25 Apr 23,(10),11,1.12
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390039/coup-de-grace-achievement,Coup de Grâce,Slay 25 zombies using finishing moves.,23 Apr 23,(10),10,1.07
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390040/hazardous-materials-achievement,Hazardous Materials,"Slay 100 Zombies using Caustic, Fire, or Shock damage.",23 Apr 23,(10),10,1.09
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390044/hotel-california-achievement,Hotel California,Fight through the Halperin Hotel to make contact with the authorities.,23 Apr 23,(10),10,1.03
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390045/break-a-leg-achievement,Break a Leg,Maim 100 limbs.,23 Apr 23,(10),10,1.05
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390046/welcome-to-hella-achievement,Welcome To Hell-A,"Survive a plane crash, get bitten, and create your first Zombie-Free Zone.",22 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/Disney-Speedstorm/achievements,https://www.trueachievements.com/a389698/rookie-achievement,ROOKIE,Collect 50 Medals from the Maps,20 Apr 23,(10),10,1.01
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389207/amateur-photographer-achievement,Amateur Photographer,Use Photo Mode for the first time.,14 Apr 23,(10),13,1.32
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389206/animal-lover-achievement,Animal Lover,Pet an animal.,12 Apr 23,(10),12,1.24
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389188/treasure-hunter-achievement,Treasure Hunter,Acquire a relic.,12 Apr 23,(15),17,1.15
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389186/opening-a-path-achievement,Opening a Path,Cleanse a torii gate.,12 Apr 23,(10),11,1.13
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389173/beginnings-achievement,Beginnings,Complete Chapter 1.,12 Apr 23,(15),16,1.08
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389212/heartbreaker-achievement,Heartbreaker,Defeat a Visitor by pulling out its core.,12 Apr 23,(15),15,1.0
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210297/collector-achievement,Collector,Collect and save 5000 Renown.,08 Apr 23,(10),13,1.31
https://www.trueachievements.com/game/Curse-of-the-Sea-Rats/achievements,https://www.trueachievements.com/a387354/you-will-not-take-my-treasure-achievement,You will not take my treasure,Beat Krabawaki and The King Clapper.,07 Apr 23,(5),6,1.21
https://www.trueachievements.com/game/Curse-of-the-Sea-Rats/achievements,https://www.trueachievements.com/a387353/barrel-rain-achievement,Barrel rain,Beat Fatso.,07 Apr 23,(5),5,1.0
https://www.trueachievements.com/game/Risk-of-Rain-2/achievements,https://www.trueachievements.com/a281742/verified-achievement,Verified,Complete the first Teleporter event 5 times.,01 Apr 23,(20),25,1.26
https://www.trueachievements.com/game/Ni-no-Kuni-II-Revenant-Kingdom/achievements,https://www.trueachievements.com/a387255/king-in-exile-achievement,King in Exile,Awarded for finishing Chapter 1.,21 Mar 23,(10),10,1.0
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385716/triple-cross-achievement,Triple Cross,Play matches using 3 different characters.,07 Mar 23,(35),62,1.77
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385708/give-it-my-all-achievement,Give It My All,Defeated the opponent with less than 30% of health left while in a match.,07 Mar 23,(35),43,1.25
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383700/artisan-achievement,Artisan,Create a weapon in a crafting machine,06 Mar 23,(15),19,1.32
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384895/journeys-beginning-achievement,Journey's Beginning,Awakened from the sleep of death at the sound of the Blindfolded Boy's voice.,04 Mar 23,(15),20,1.37
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384932/sharp-reflexes-achievement,Sharp Reflexes,Successfully deflected 10 critical blows.,04 Mar 23,(15),18,1.23
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384919/wizardry-beginner-achievement,Wizardry Beginner,Learned your first Wizardry Spell.,04 Mar 23,(15),17,1.16
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384928/best-flag-forward-achievement,Best Flag Forward,Raised your first Battle Flag.,04 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383540/counter-specialist-achievement,Counter Specialist,Successfully deflected 20 kemono attacks using fusion karakuri,25 Feb 23,(15),37,2.48
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383563/team-hunter-achievement,Team Hunter,Successfully completed 20 quests online,23 Feb 23,(15),42,2.81
https://www.trueachievements.com/game/Rhythm-Sprout/achievements,https://www.trueachievements.com/a382914/the-journey-begins-achievement,The Journey Begins,Cleared the first level.,23 Feb 23,(20),20,1.0
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383543/kemono-hunter-achievement,Kemono Hunter,Successfully finished 30 kemono,22 Feb 23,(15),36,2.41
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383566/charmed-by-the-hunt-achievement,Charmed by the Hunt,Successfully gathered your first talisman from the wilderness,21 Feb 23,(15),31,2.1
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383691/happy-polymerization-day-achievement,Happy Polymerization Day!,Fly out of Chelomey,20 Feb 23,(15),15,1.0
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383536/memory-rouser-achievement,Memory Rouser,Successfully awakened 20 types of karakuri,20 Feb 23,(15),34,2.32
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383555/kemono-at-heart-achievement,Kemono at Heart,Successfully reached the limits of kemono-path affinity by modifying armor,19 Feb 23,(15),45,3.03
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383523/mountain-splitter-achievement,Mountain Splitter,Successfully hunted the earthbreaker that appeared along the Harugasumi Way,19 Feb 23,(15),34,2.28
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383529/expert-conjuror-achievement,Expert Conjuror,Successfully conjured 1000 basic karakuri,19 Feb 23,(30),72,2.43
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383554/human-believer-achievement,Human Believer,Successfully reached the limits of human-path affinity by modifying armor,18 Feb 23,(15),54,3.65
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383564/artful-assister-achievement,Artful Assister,Successfully provided assistance 5 times,18 Feb 23,(15),42,2.8
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383535/fusion-conjuror-achievement,Fusion Conjuror,Successfully conjured a fusion karakuri 50 times,18 Feb 23,(15),34,2.28
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383527/commencing-of-quests-achievement,Commencing of Quests,Successfully completed your first quest for a citizen of Minato,17 Feb 23,(15),31,2.09
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383565/helpful-heart-achievement,Helpful Heart,Successfully revived a fellow hunter online for the first time,17 Feb 23,(15),29,1.99
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383539/manmachine-master-achievement,Man-Machine Master,Successfully used a karakuri attack 100 times,17 Feb 23,(15),31,2.07
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382710/loom-for-improvement-achievement,Loom for Improvement,Upgrade a piece of gear,15 Feb 23,(10),12,1.2
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383528/budding-conjuror-achievement,Budding Conjuror,Successfully conjured 200 basic karakuri,14 Feb 23,(15),27,1.82
https://www.trueachievements.com/game/Wild-Hearts/achievements,https://www.trueachievements.com/a383521/hidden-history-achievement,Hidden History,Successfully obtained your first document,14 Feb 23,(15),21,1.45
