achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389207/amateur-photographer-achievement,Amateur Photographer,Use Photo Mode for the first time.,04 May 23,(10),,"Amateur Photographer
Use Photo Mode for the first time."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389206/animal-lover-achievement,Animal Lover,Pet an animal.,04 May 23,(10),,"Animal Lover
Pet an animal."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389188/treasure-hunter-achievement,Treasure Hunter,Acquire a relic.,04 May 23,(15),,"Treasure Hunter
Acquire a relic."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389186/opening-a-path-achievement,Opening a Path,Cleanse a torii gate.,04 May 23,(10),,"Opening a Path
Cleanse a torii gate."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389173/beginnings-achievement,Beginnings,Complete Chapter 1.,04 May 23,(15),,"Beginnings
Complete Chapter 1."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389212/heartbreaker-achievement,Heartbreaker,Defeat a Visitor by pulling out its core.,03 May 23,(15),,"Heartbreaker
Defeat a Visitor by pulling out its core."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,02 May 23,(17),,"Ne Plus Ultra
Loot your first unrivaled item."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,02 May 23,(10),,"I Like My Stakes Rare!
Stake your first vampire."
https://www.trueachievements.com/game/Beautiful-Katamari/achievements,https://www.trueachievements.com/a15003/colossal-katamari-achievement,Colossal Katamari,"You made a katamari over 10,000km!",01 May 23,(60),,"Colossal Katamari
You made a katamari over 10,000km!"
https://www.trueachievements.com/game/Beautiful-Katamari/achievements,https://www.trueachievements.com/a15004/collection-60-achievement,Collection 60%,Rolled up 60% of the Collection.,01 May 23,(20),,"Collection 60%
Rolled up 60% of the Collection."
