achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346520/party-bus-achievement,Party Bus,"Earned ""Mount Up"" in a Razorback in a matchmade game.",25 Nov 21,(10),54,5.44
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346531/multiclass-racer-achievement,Multi-class Racer,Drove 4 unique vehicles in a game,24 Nov 21,(10),22,2.21
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346533/one-shot-top-mid-achievement,"One Shot, Top Mid","Marked an enemy located at ""Top Mid"" in a matchmade game.",24 Nov 21,(10),27,2.75
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346541/straight-to-the-bank-achievement,Straight to the Bank,Deposited 5 Power Seeds in a Stockpile game in a matchmade game.,24 Nov 21,(25),78,3.12
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346525/kebab-achievement,Kebab,Destroyed an enemy vehicle with the Skewer in a matchmade game.,24 Nov 21,(10),17,1.78
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346502/limited-addition-achievement,Limited Addition,Completed a Limited Time Challenge.,24 Nov 21,(10),14,1.49
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346534/enemies-everywhere-achievement,Enemies Everywhere!,Marked 3+ enemies at once in a matchmade game.,20 Nov 21,(10),26,2.68
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346505/get-the-popcorn-achievement,Get the Popcorn,Viewed a clip in theater.,20 Nov 21,(5),10,2.13
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346523/brutality-achievement,Brutality,Killed an enemy with melee using a bladed weapon in a matchmade game.,19 Nov 21,(10),14,1.47
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346532/they-see-me-rollin-achievement,They See Me Rollin',Spectated an ally that is driving a Warthog or Razorback in a matchmade game.,19 Nov 21,(5),10,2.09
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346506/customary-achievement,Customary,Played a custom game.,19 Nov 21,(5),8,1.7
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346524/sick-burn-achievement,Sick Burn,Killed an enemy with the Ravager's charged shot in a matchmade game.,19 Nov 21,(10),22,2.24
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346535/natural-formation-location-sensation-achievement,Natural Formation Location Sensation,Gained access to a loot cave in a matchmade game.,19 Nov 21,(10),21,2.17
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346528/secret-stash-achievement,Secret Stash,Placed an item in the Razorback's storage in a matchmade game.,18 Nov 21,(5),15,3.09
