achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362660/catwalk-model-achievement,Catwalk Model,Equip your first legendary customization item,13 May 23,(40),,"Catwalk Model
Equip your first legendary customization item"
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362649/one-giant-leap-achievement,One giant leap,Qualify from 100 rounds,13 May 23,(40),,"One giant leap
Qualify from 100 rounds"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383697/freedom-reflex-achievement,Freedom Reflex,Explore Pavlov,15 Mar 23,(15),,"Freedom Reflex
Explore Pavlov"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383707/lefthand-mastery-achievement,Lefthand Mastery,Fully upgrade one skill tree,15 Mar 23,(15),,"Lefthand Mastery
Fully upgrade one skill tree"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383696/medical-checkup-achievement,Medical Checkup,Get to a hospital,13 Mar 23,(15),,"Medical Checkup
Get to a hospital"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383723/hands-on-the-hood-achievement,Hands on the Hood,Hit 20 enemies by a car,13 Mar 23,(15),,"Hands on the Hood
Hit 20 enemies by a car"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383695/curtain-achievement,Curtain,Finish a theater performance,13 Mar 23,(15),,"Curtain
Finish a theater performance"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383687/shows-over-achievement,Showʼs Over,Kill Natasha,13 Mar 23,(15),,"Showʼs Over
Kill Natasha"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383684/medium-rare-achievement,Medium Rare,Kill Belyash,13 Mar 23,(15),,"Medium Rare
Kill Belyash"
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383721/alcoholics-anonymous-achievement,Alcoholics Anonymous,Get drunk with vodka and kill 5 enemies,26 Feb 23,(15),,"Alcoholics Anonymous
Get drunk with vodka and kill 5 enemies"
