achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391394/growth-spurt-achievement,Growth Spurt,Found space for a full garden,09 May 23,(15),,"Growth Spurt
Found space for a full garden"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391382/max-capacity-achievement,Max Capacity,Had a packed cantina,09 May 23,(15),,"Max Capacity
Had a packed cantina"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391377/now-this-isnt-podracing-achievement,"Now, This Isn't Podracing",Travelled 500m of distance while riding creatures,06 May 23,(15),,"Now, This Isn't Podracing
Travelled 500m of distance while riding creatures"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391374/star-tours-achievement,Star Tours,Discovered and completed all Jedi Chambers,06 May 23,(30),,"Star Tours
Discovered and completed all Jedi Chambers"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391381/its-a-trap-achievement,It's a Trap,Explored the Phon'Qi Caverns,06 May 23,(15),,"It's a Trap
Explored the Phon'Qi Caverns"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391387/greezy-money-achievement,Greezy Money,Traded 25 collected items,02 May 23,(15),,"Greezy Money
Traded 25 collected items"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391384/caij-match-achievement,Caij Match,Gained the attention of a mysterious stranger,02 May 23,(30),,"Caij Match
Gained the attention of a mysterious stranger"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391399/the-jedi-path-achievement,The Jedi Path,Fully upgraded 3 skill trees,02 May 23,(15),,"The Jedi Path
Fully upgraded 3 skill trees"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391391/road-house-achievement,Road House,Dropkicked an enemy while wearing a mullet,01 May 23,(5),,"Road House
Dropkicked an enemy while wearing a mullet"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391389/a-presence-ive-not-felt-since-achievement,A Presence I've Not Felt Since...,Wore an old wardrobe staple,01 May 23,(5),,"A Presence I've Not Felt Since...
Wore an old wardrobe staple"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391376/there-is-no-try-achievement,There Is No Try,Helped lift a ship out of the tar pits,01 May 23,(15),,"There Is No Try
Helped lift a ship out of the tar pits"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391378/cleaning-up-achievement,Cleaning Up,Refreshed the Refresher,30 Apr 23,(5),,"Cleaning Up
Refreshed the Refresher"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391390/hey-luke-at-us-achievement,"Hey, Luke At Us",Equipped a new cosmetic in every Cal slot,30 Apr 23,(15),,"Hey, Luke At Us
Equipped a new cosmetic in every Cal slot"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391360/a-place-you-could-call-home-achievement,A Place You Could Call Home,Completed the story,30 Apr 23,(70),,"A Place You Could Call Home
Completed the story"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391359/into-the-abyss-achievement,Into the Abyss,Discovered the route to Tanalorr,30 Apr 23,(15),,"Into the Abyss
Discovered the route to Tanalorr"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391358/at-the-precipice-achievement,At the Precipice,Survived Nova Garon,30 Apr 23,(15),,"At the Precipice
Survived Nova Garon"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391361/han-slowlo-achievement,Han Slowlo,Defeated 50 enemies under the effect of Slow,30 Apr 23,(15),,"Han Slowlo
Defeated 50 enemies under the effect of Slow"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391357/tragedy-achievement,Tragedy,Defended the Archive,30 Apr 23,(15),,"Tragedy
Defended the Archive"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391363/youve-got-a-friend-achievement,You've Got A Friend,Directed your companions to assist in combat 10 times each,30 Apr 23,(15),,"You've Got A Friend
Directed your companions to assist in combat 10 times each"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391356/tanalorr-bound-achievement,Tanalorr Bound,Collected the Abyss Compass,30 Apr 23,(15),,"Tanalorr Bound
Collected the Abyss Compass"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391366/this-is-canon-achievement,This Is Canon,Pushed an enemy into the Shattered Moon mining cannon,29 Apr 23,(15),,"This Is Canon
Pushed an enemy into the Shattered Moon mining cannon"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391355/out-of-bedlam-achievement,Out of Bedlam,Rescued a friend from the Bedlam Raiders,29 Apr 23,(15),,"Out of Bedlam
Rescued a friend from the Bedlam Raiders"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391380/skywalker-achievement,Skywalker,Kept your feet off the ground and walls for 60 seconds,29 Apr 23,(15),,"Skywalker
Kept your feet off the ground and walls for 60 seconds"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391354/for-the-path-achievement,For the Path,Protected Pilgrim's Sanctuary,29 Apr 23,(15),,"For the Path
Protected Pilgrim's Sanctuary"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391385/who-gives-a-puck-achievement,Who Gives a Puck,Obtained your first bounty,29 Apr 23,(15),,"Who Gives a Puck
Obtained your first bounty"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391370/mirror-match-achievement,Mirror Match,A Confused enemy defeated an enemy of the same type,29 Apr 23,(15),,"Mirror Match
A Confused enemy defeated an enemy of the same type"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391392/kitted-out-achievement,Kitted Out,"Customized BD-1, the blaster, and Cal's lightsaber with new parts",29 Apr 23,(15),,"Kitted Out
Customized BD-1, the blaster, and Cal's lightsaber with new parts"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391365/they-never-saw-it-coming-achievement,They Never Saw It Coming,Striking an unaware enemy 20 times,29 Apr 23,(15),,"They Never Saw It Coming
Striking an unaware enemy 20 times"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391353/among-the-masters-achievement,Among the Masters,Met the Jedi Masters,29 Apr 23,(15),,"Among the Masters
Met the Jedi Masters"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391352/survivors-we-adapt-achievement,"Survivors, We Adapt",Travelled together with a Nightsister,29 Apr 23,(15),,"Survivors, We Adapt
Travelled together with a Nightsister"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391351/the-past-made-present-achievement,The Past Made Present,Released the Jedi from the bacta tank,29 Apr 23,(15),,"The Past Made Present
Released the Jedi from the bacta tank"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391383/can-you-pet-the-bogling-achievement,Can You Pet the Bogling?,You can pet the bogling,28 Apr 23,(5),,"Can You Pet the Bogling?
You can pet the bogling"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391350/grab-some-seat-achievement,Grab Some Seat,Chatted with the owner of the Koboh cantina,28 Apr 23,(15),,"Grab Some Seat
Chatted with the owner of the Koboh cantina"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391349/for-saw-gerrera-achievement,For Saw Gerrera,Broke free from the grasp of the Empire,28 Apr 23,(15),,"For Saw Gerrera
Broke free from the grasp of the Empire"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391348/rooftop-duel-achievement,Rooftop Duel,Defeated an Inquisitor,28 Apr 23,(15),,"Rooftop Duel
Defeated an Inquisitor"
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272281/klassic-achievement,Klassic,"Komplete a Novice, Warrior, or Champion Klassic Tower once",13 Apr 23,(15),,"Klassic
Komplete a Novice, Warrior, or Champion Klassic Tower once"
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272283/thank-you-for-being-a-fan-achievement,Thank You For Being A Fan,Reach The Kredits,12 Apr 23,(10),,"Thank You For Being A Fan
Reach The Kredits"
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272282/blood-in-the-water-achievement,Blood In The Water,"Spill 10,000 pints of blood",12 Apr 23,(15),,"Blood In The Water
Spill 10,000 pints of blood"
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a331198/captain-of-haunted-waters-achievement,Captain of Haunted Waters,You completed all Commendations for 'Captains of the Damned'.,26 Mar 23,(30),,"Captain of Haunted Waters
You completed all Commendations for 'Captains of the Damned'."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a331197/captains-of-the-damned-achievement,Captains of the Damned,You completed 'Captains of the Damned'.,26 Mar 23,(10),,"Captains of the Damned
You completed 'Captains of the Damned'."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a331196/pearl-in-the-dark-achievement,Pearl in the Dark,You completed all Commendations for 'The Sunken Pearl'.,26 Mar 23,(30),,"Pearl in the Dark
You completed all Commendations for 'The Sunken Pearl'."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a331194/mist-and-memory-achievement,Mist and Memory,You completed all Commendations for 'A Pirate's Life'.,25 Mar 23,(30),,"Mist and Memory
You completed all Commendations for 'A Pirate's Life'."
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267865/wikibeania-in-business-achievement,Wiki-Bean-ia in Business,Help Bean get back his business plan so he can set up his intel network in Prosperity. Host only.,10 Mar 23,(20),,"Wiki-Bean-ia in Business
Help Bean get back his business plan so he can set up his intel network in Prosperity. Host only."
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267869/yoink-achievement,Yoink,"Loot a Highwaymen Supply Drop. Be careful, it won't be unguarded!",10 Mar 23,(10),,"Yoink
Loot a Highwaymen Supply Drop. Be careful, it won't be unguarded!"
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267858/the-meaning-of-prosperity-achievement,The Meaning of Prosperity,Help Carmina get back to her mother in Prosperity. Host only.,10 Mar 23,(20),,"The Meaning of Prosperity
Help Carmina get back to her mother in Prosperity. Host only."
https://www.trueachievements.com/game/LEGO-Marvel-Super-Heroes/achievements,https://www.trueachievements.com/a182533/rebooted-resuited-achievement,"Rebooted, Resuited","Completed Level 5 - Rebooted, Resuited",10 Mar 23,(20),,"Rebooted, Resuited
Completed Level 5 - Rebooted, Resuited"
https://www.trueachievements.com/game/LEGO-Marvel-Super-Heroes/achievements,https://www.trueachievements.com/a182532/rock-up-at-the-lock-up-achievement,Rock up at the Lock up,Completed Level 4 - Rock up at the Lock up,10 Mar 23,(20),,"Rock up at the Lock up
Completed Level 4 - Rock up at the Lock up"
https://www.trueachievements.com/game/LEGO-Marvel-Super-Heroes/achievements,https://www.trueachievements.com/a182568/cant-hurt-me-bub-achievement,Can't Hurt Me Bub,Regenerated as Wolverine,10 Mar 23,(10),,"Can't Hurt Me Bub
Regenerated as Wolverine"
https://www.trueachievements.com/game/LEGO-Marvel-Super-Heroes/achievements,https://www.trueachievements.com/a182531/exploratory-laboratory-achievement,Exploratory Laboratory,Completed Level 3 - Exploratory Laboratory,08 Mar 23,(20),,"Exploratory Laboratory
Completed Level 3 - Exploratory Laboratory"
https://www.trueachievements.com/game/LEGO-Marvel-Super-Heroes/achievements,https://www.trueachievements.com/a182527/times-square-off-achievement,Times Square Off,Completed Level 2 - Times Square Off,07 Mar 23,(20),,"Times Square Off
Completed Level 2 - Times Square Off"
https://www.trueachievements.com/game/Madden-NFL-23/achievements,https://www.trueachievements.com/a365185/unblockable-achievement,Unblockable,"On 3 plays create a sack or tackle for loss after a pass rush move win, using a different rush move.",27 Feb 23,(40),,"Unblockable
On 3 plays create a sack or tackle for loss after a pass rush move win, using a different rush move."
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382727/the-ends-petrify-the-means-achievement,The Ends Petrify the Means,Defeat a total of fifty enemies using Petrificus Totalus,26 Feb 23,(30),,"The Ends Petrify the Means
Defeat a total of fifty enemies using Petrificus Totalus"
https://www.trueachievements.com/game/Borderlands-3/achievements,https://www.trueachievements.com/a282746/biggest-badass-in-the-borderlands-achievement,Biggest Badass In The Borderlands,Reached level 50.,24 Feb 23,(30),,"Biggest Badass In The Borderlands
Reached level 50."
