achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387650/revolt-against-the-revolting-achievement,Revolt Against the Revolting,Destroy a Clockwork Castellan.,24 May 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387645/overkill-achievement,Overkill,Use a cannon to defeat a zealot.,23 May 23,(20),22,1.11
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387646/grilled-big-cheese-achievement,Grilled Big Cheese,Defeat Bitores Méndez.,23 May 23,(30),32,1.07
https://www.trueachievements.com/game/Hell-Let-Loose/achievements,https://www.trueachievements.com/a337204/cant-touch-this-achievement,Can't Touch This,Kill 5 players without dying,05 May 23,(10),14,1.41
https://www.trueachievements.com/game/Grand-Theft-Auto-Vice-City-The-Definitive-Edition/achievements,https://www.trueachievements.com/a346141/south-american-connection-achievement,South American Connection,"Complete the ""Supply & Demand"" mission.",27 Apr 23,(20),25,1.25
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387639/shield-your-eyes-achievement,Shield Your Eyes,Defeat 3 enemies at once with a flash grenade.,27 Mar 23,(20),24,1.2
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387647/talk-about-neardeath-experience-achievement,Talk About Near-Death Experience!,Rescue Ashley as she's being carried away by the enemy.,27 Mar 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,27 Mar 23,(20),20,1.03
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387649/amateur-shooter-achievement,Amateur Shooter,Complete a game at the shooting range.,26 Mar 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387652/my-preferred-piece-achievement,My Preferred Piece,Upgrade a weapon.,26 Mar 23,(20),20,1.01
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387651/knife-basics-achievement,Knife Basics,Parry an enemy with a knife.,26 Mar 23,(20),20,1.0
https://www.trueachievements.com/game/Insurgency-Sandstorm/achievements,https://www.trueachievements.com/a295866/exploitative-achievement,Exploitative,Kill an enemy while they are reloading.,06 Mar 23,(15),19,1.31
