achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Starbound/achievements,https://www.trueachievements.com/a317005/the-hopeful-achievement,The Hopeful,Fix your ship.,25 May 23,(20),25,1.28
https://www.trueachievements.com/game/Starbound/achievements,https://www.trueachievements.com/a316996/book-club-achievement,Book Club,Find a Codex. On Earth it's rude to read other people's diaries.,25 May 23,(10),12,1.28
https://www.trueachievements.com/game/Starbound/achievements,https://www.trueachievements.com/a317007/the-wanderer-achievement,The Wanderer,Meet Esther.,23 May 23,(20),25,1.25
https://www.trueachievements.com/game/Starbound/achievements,https://www.trueachievements.com/a317012/not-in-front-of-the-children-achievement,Not in Front of the Children!,Defeat Mother Poptop. Every Poptop you meet from here on out is a lonely orphan.,23 May 23,(20),25,1.25
https://www.trueachievements.com/game/Starbound/achievements,https://www.trueachievements.com/a316986/amateur-bard-achievement,Amateur Bard,"Collect your first musical instrument! Keep playing, even when everyone begs you to stop.",23 May 23,(20),25,1.26
https://www.trueachievements.com/game/Starbound/achievements,https://www.trueachievements.com/a316990/just-like-mum-used-to-make-achievement,Just like mum used to make!,Practice your chef skills. Try not to harm anyone.,23 May 23,(10),11,1.19
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371355/how-are-you-still-alive-achievement,How are you still alive?,Got to wave 36 in Survival,22 May 23,(40),290,7.27
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371354/should-be-dead-by-now-achievement,Should be dead by now!,Got to wave 27 in Survival,22 May 23,(30),137,4.57
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371349/double-the-power-achievement,DOUBLE THE POWER!,Got a level 2 perk in Survival,22 May 23,(10),30,3.03
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371353/still-standing-achievement,Still Standing,Got to wave 18 in Survival,22 May 23,(20),58,2.9
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371365/environmental-warfare-achievement,Environmental Warfare,Had an ai enemy die to the death zone,22 May 23,(10),19,1.94
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371352/9th-wave-of-heck-achievement,9th Wave of Heck,Got to wave 9 in Survival,22 May 23,(10),19,1.94
https://www.trueachievements.com/game/SpiderHeck/achievements,https://www.trueachievements.com/a371348/just-a-taste-achievement,Just a Taste,Got your first perk in Survival,22 May 23,(10),15,1.5
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a357534/overwhelming-power-achievement,Overwhelming Power,Get a kill with a Legendary Weapon.,10 Mar 23,(10),25,2.56
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a368974/act-5-recruit-achievement,Act 5 Recruit,Complete all Act 5 maps on Recruit difficulty or higher.,10 Mar 23,(10),30,3.0
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a368985/balanced-meal-achievement,Balanced Meal,Have at least five different Food Buffs active at one time.,10 Mar 23,(10),24,2.44
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a379009/constant-vigilance-achievement,Constant Vigilance,Kill all variants of the Sentinel.,10 Mar 23,(10),20,2.06
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a357530/unnatural-selection-achievement,Unnatural Selection,Kill each of the Warped Ridden.,10 Mar 23,(10),19,1.92
