achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216063/die-die-die-die-achievement,Die Die Die... Die,Kill 4 enemies with a single use of Reaper's Death Blossom in Quick or Competitive Play.,27 May 23,(15),28,1.91
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a249866/excuse-me-achievement,Excuse Me,Kill an enemy hero with Brigitte's Shield Bash in Quick or Competitive Play.,27 May 23,(15),31,2.09
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216110/armor-up-achievement,Armor Up!,Absorb 500 damage with Torbjörn's Overload without dying in Quick or Competitive Play.,24 May 23,(15),38,2.54
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a231639/tip-of-the-spear-achievement,Tip Of The Spear,Knock an enemy to their death using Orisa's Energy Javelin in Quick or Competitive Play.,18 May 23,(15),35,2.36
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368533/squad-building-connoisseur-achievement,Squad Building Connoisseur,Complete 10 Squad Building Challenges in FIFA Ultimate Team,17 May 23,(30),45,1.52
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216105/mine-like-a-steel-trap-achievement,Mine Like a Steel Trap,Knock an enemy into your Steel Trap using Junkrat's Concussion Mine in Quick or Competitive Play.,15 May 23,(15),33,2.23
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216062/centenary-achievement,Centenary,Win 100 games in Quick or Competitive Play.,12 May 23,(40),62,1.57
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216066/undying-achievement,Undying,Get a 20 player kill streak in Quick or Competitive Play.,12 May 23,(20),30,1.52
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216102/incoming-achievement,Incoming!,Kill 3 enemies with a single use of Bastion's Configuration: Artillery in Quick or Competitive Play.,06 May 23,(15),36,2.43
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387737/this-hobby-of-mine-achievement,This Hobby of Mine,"In Diamond Dynasty, claim three collection rewards.",18 Apr 23,(20),36,1.81
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216079/target-rich-environment-achievement,Target Rich Environment,Kill 4 enemies with a single use of Soldier: 76's Tactical Visor in Quick or Competitive Play.,17 Apr 23,(15),28,1.91
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216093/escort-duty-achievement,Escort Duty,Push a payload 100 meters without leaving it in Quick or Competitive Play.,15 Apr 23,(20),33,1.66
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216087/the-car-wash-achievement,The Car Wash,Hit an enemy with 3 beams simultaneously as Symmetra in Quick or Competitive Play.,15 Apr 23,(15),25,1.67
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387733/this-day-in-history-achievement,This Day in History,Play a Topps Now Moment.,12 Apr 23,(40),76,1.91
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216061/level-50-achievement,Level 50,Earn 50 battle pass tiers.,11 Apr 23,(30),45,1.52
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387730/another-paper-weight-achievement,Another Paper Weight!,"In Mini Seasons, have a member of your team win any award.",05 Apr 23,(40),132,3.3
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387723/make-the-dance-achievement,Make The Dance,Make the POSTSEASON within March to October.,04 Apr 23,(70),261,3.74
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387722/back-to-back-jacks-achievement,Back to Back Jacks!,Hit back to back home runs within any mode. (Excludes simulated gameplay),04 Apr 23,(70),98,1.4
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387727/designated-dinger-achievement,Designated Dinger,"In any mode, hit a home run with your team's Designated Hitter. (Excludes simulated gameplay)",02 Apr 23,(40),51,1.29
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387739/just-getting-started-achievement,Just Getting Started,"In Diamond Dynasty, complete any program.",30 Mar 23,(20),34,1.73
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387719/here-comes-the-paint-achievement,Here comes the paint!,Acquire any diamond level Starting Pitcher card from a program reward or card pack.,29 Mar 23,(70),110,1.57
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387726/guess-whats-coming-achievement,Guess What's Coming,"In any game mode, strikeout a batter using only one type of pitch. Excludes simulation, Quick Counts",29 Mar 23,(40),46,1.16
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387724/heart-of-the-city-achievement,Heart of the City,"In any game mode, play a game with a City Connect uniform.",29 Mar 23,(40),67,1.68
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387741/to-the-moon-achievement,To the Moon!,Hit a HR with at least 5 seconds or more of hang time. (Excludes simulated gameplay),29 Mar 23,(20),21,1.05
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387717/follow-the-hype-train-achievement,Follow the Hype Train,Complete two or more Moments.,29 Mar 23,(40),53,1.34
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216117/raid-wipe-achievement,Raid Wipe,Kill 4 enemies during a single use of Torbjörn's Molten Core in Quick or Competitive Play.,26 Mar 23,(15),35,2.37
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a244235/simple-trigonometry-achievement,Simple Trigonometry,Fully deplete both types of Moira's Biotic Orb without dying in Quick or Competitive Play.,23 Mar 23,(15),28,1.91
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216060/level-25-achievement,Level 25,Earn 25 battle pass tiers.,22 Mar 23,(20),26,1.31
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216077/blackjack-achievement,Blackjack,Earn 21 endorsements.,22 Mar 23,(20),25,1.28
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216111/did-that-sting-achievement,Did That Sting?,Kill 4 enemies using Widowmaker's Venom Mine during a single Quick or Competitive Play game.,19 Mar 23,(15),30,2.05
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216095/shutout-achievement,Shutout,Win a Control map without the enemy capturing an objective in Quick or Competitive Play.,18 Mar 23,(20),22,1.14
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216096/world-traveler-achievement,World Traveler,Win a Quick or Competitive Play game on 12 different maps.,18 Mar 23,(20),24,1.21
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270708/drop-kick-achievement,Drop Kick,Concussed an enemy with a diving kick,15 Jan 23,(50),80,1.6
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,https://www.trueachievements.com/a374301/only-the-beginning-achievement,Only the Beginning,Earn at least one Star in Co-op.,20 Dec 22,(40),54,1.35
https://www.trueachievements.com/game/FIFA-23-Xbox-One/achievements,https://www.trueachievements.com/a368495/the-winning-formula-achievement,The Winning Formula,Build a squad with 33 Chemistry Points in FIFA Ultimate Team,20 Dec 22,(15),22,1.48
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201880/deja-vu-achievement,Déjà Vu,"H3: ODST: Complete Coastal Highway on 4-player Legendary co-op, with Iron and no 'Hog or Scorpion.",18 Dec 22,(20),119,5.97
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201787/xenophobia-achievement,Xenophobia,H3: ODST: Complete any level without using Covenant weapons.,18 Dec 22,(10),16,1.67
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193370/annual-achievement,Annual,"Halo 3: Complete Halo on 4-player Legendary co-op, with Iron Skull, and everyone in Ghosts.",18 Dec 22,(10),69,6.96
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369752/make-a-statement-achievement,Make A Statement,Win a game by more than 20 points.,07 Dec 22,(15),25,1.68
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369754/the-rest-is-just-academic-achievement,The Rest Is Just Academic,Take a 10 point lead into halftime.,07 Dec 22,(15),23,1.53
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369751/make-a-point-achievement,Make A Point,Win a game by more than 10 points.,03 Dec 22,(15),22,1.5
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369753/turning-point-achievement,Turning Point,Outscore your opponent by 10 points in a single quarter.,03 Dec 22,(30),44,1.49
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369757/dirty-work-achievement,Dirty Work,"Get more rebounds, blocks, and assists than your opponent.",01 Dec 22,(15),24,1.63
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369750/winning-achievement,Winning,Win a game.,01 Dec 22,(15),20,1.38
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369740/at-the-buzzer-achievement,At the Buzzer!,Win a Clutch Time game in MyTEAM.,11 Nov 22,(15),24,1.61
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329837/field-medic-achievement,Field Medic,Revive 10 downed teammates,26 Oct 22,(15),29,1.94
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329834/deus-vult-achievement,Deus Vult,Achieve 100 kills as Knight,18 Oct 22,(25),46,1.87
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273901/speed-demon-achievement,Speed Demon,Reach 100 km/h,16 Oct 22,(10),19,1.94
https://www.trueachievements.com/game/FIFA-23-Xbox-One/achievements,https://www.trueachievements.com/a368494/squad-building-connoisseur-achievement,Squad Building Connoisseur,Complete 10 Squad Building Challenges in FIFA Ultimate Team,15 Oct 22,(30),45,1.51
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369722/the-right-notes-achievement,The Right Notes,Win the Music District.,14 Oct 22,(15),27,1.84
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329838/seeing-red-achievement,Seeing Red,Achieve 2 kills in a row without dying while under 25 health,13 Oct 22,(25),35,1.43
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329800/kill-100-enemies-achievement,Kill 100 Enemies,Kill 100 Enemies in a Multiplayer match.,13 Oct 22,(5),7,1.4
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369723/entrepreneur-achievement,Entrepreneur,Win the Business District.,12 Oct 22,(15),30,2.0
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273889/get-some-gear-achievement,Get Some Gear,Unlock 10 items,12 Oct 22,(10),15,1.5
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273892/wipeout-achievement,Wipeout,Get REKT,12 Oct 22,(10),10,1.04
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273880/the-rampage-begins-achievement,The Rampage Begins,Reach the canyon,12 Oct 22,(25),63,2.53
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273879/into-the-woods-achievement,Into The Woods,Reach the forest,12 Oct 22,(10),15,1.53
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273894/show-em-whos-boss-achievement,Show em who's Boss,Survive a boss jump,12 Oct 22,(50),76,1.53
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273896/represent-your-style-achievement,Represent your style,Complete a team node,12 Oct 22,(10),13,1.31
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329802/kill-50-enemies-achievement,Kill 50 Enemies,Kill 50 Enemies in a Multiplayer match.,12 Oct 22,(5),6,1.23
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369730/palace-intrigue-achievement,Palace Intrigue,Finish the Palace Intrigue Quest Line.,10 Oct 22,(30),50,1.68
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369721/top-threads-achievement,Top Threads,Win the Fashion District.,10 Oct 22,(15),27,1.86
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329804/kill-10-enemies-achievement,Kill 10 Enemies,Kill 10 Enemies in a Multiplayer match.,10 Oct 22,(5),5,1.01
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329803/this-is-fine-achievement,This Is Fine,Die from fire,10 Oct 22,(10),11,1.19
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329805/i-got-better-achievement,I got better!,Get revived from a downed state,10 Oct 22,(25),28,1.12
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273886/carving-a-path-achievement,Carving a Path,Get 10.000 REP,26 Sep 22,(10),13,1.39
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273907/bring-a-friend-achievement,Bring a friend,Finish a level together with someone else,26 Sep 22,(10),21,2.19
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369724/fly-swatter-achievement,Fly Swatter,Get 5 blocks in a MyCAREER NBA game.,17 Sep 22,(15),33,2.26
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369727/its-raining-achievement,It's Raining,Make 5 three-pointers in a MyCAREER NBA game.,17 Sep 22,(15),20,1.36
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369715/the-baker-achievement,The Baker,Score 20 points in a MyCAREER NBA game.,17 Sep 22,(15),18,1.23
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369729/welcome-to-the-league-achievement,Welcome to the League,Finish the Welcome to the League Quest Line.,11 Sep 22,(15),19,1.29
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369728/depth-chart-riser-achievement,Depth Chart Riser,Become a Starter.,11 Sep 22,(15),19,1.27
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369749/its-easy-being-green-achievement,It's Easy Being Green,Make 10 Perfect Release shots in a single game.,11 Sep 22,(15),16,1.12
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369714/the-butcher-achievement,The Butcher,Score 10 points in a MyCAREER NBA game.,11 Sep 22,(15),17,1.18
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369719/dishwasher-achievement,Dishwasher,Get 10 assists in a MyCAREER NBA game.,10 Sep 22,(15),24,1.61
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369748/green-zone-achievement,Green Zone,Make 5 Perfect Release shots in a single game.,10 Sep 22,(15),15,1.05
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369718/doing-the-dishes-achievement,Doing The Dishes,Get 5 assists in a MyCAREER NBA game.,09 Sep 22,(15),20,1.33
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369747/green-light-achievement,Green Light,Make 1 Perfect Release shot in a game.,09 Sep 22,(15),15,1.0
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369720/collector-achievement,Collector,Get 5 rebounds in a MyCAREER NBA game.,09 Sep 22,(15),21,1.4
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369717/dirty-dishes-achievement,Dirty Dishes,Get 3 assists in a MyCAREER NBA game.,09 Sep 22,(10),12,1.23
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a217752/certifiable-achievement,Certifiable,Earn Veteran status for your Certified Item,09 Sep 22,(25),56,2.26
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288496/mission-to-mars-achievement,Mission to Mars,Win a regular game with a Science victory,06 Sep 22,(30),77,2.56
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362656/low-baller-achievement,Low Baller,Qualify from a team game with a score of 1,05 Sep 22,(10),23,2.33
