achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a226292/hack-the-planet-achievement,Hack the Planet,Hack 15 enemies without dying as Sombra in Quick or Competitive Play.,28 May 23,(15),43,2.9
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393145/beat-the-big-arena-achievement,Beat the big arena,Much boom boom,26 May 23,(5),19,3.9
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393158/diamond-pickaxe-achievement,Diamond Pickaxe,Not sure if it's just a blue stone pickaxe,26 May 23,(10),40,4.0
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393140/ripped-achievement,Ripped,Lifting weights,26 May 23,(20),68,3.42
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393138/arrested-achievement,Arrested,You're a criminal,26 May 23,(5),16,3.25
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393141/mission-unlikely-achievement,Mission Unlikely,Broke into the bank,26 May 23,(5),15,3.13
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393137/banking-district-achievement,Banking District,Get an accountant,26 May 23,(5),15,3.01
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393136/you-feel-middle-classy-achievement,You feel middle classy,Made it to the 2nd floor,25 May 23,(5),14,2.8
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393157/iron-pickaxe-achievement,Iron Pickaxe,It feels so stable,25 May 23,(10),27,2.73
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393164/lawyers-made-us-change-the-name-of-this-achievement,Lawyers made us change the name of this,You are less lost,25 May 23,(20),50,2.5
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393135/boomeraxe-achievement,Boomeraxe,Brings back the good old economy,25 May 23,(20),54,2.73
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393132/magnet-repel-achievement,Magnet Repel,I can fly... for a very short moment,23 May 23,(20),50,2.54
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393131/industrial-area-achievement,Industrial Area,So much industry,21 May 23,(5),11,2.27
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393160/greenhouse-achievement,Greenhouse,You smell so nice,21 May 23,(50),152,3.04
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393162/killed-them-all-achievement,Killed them all,Beat the arena next to town,21 May 23,(5),12,2.46
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393130/magnet-achievement,Magnet,You're so attractive,21 May 23,(20),41,2.05
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393129/force-beam-achievement,Force Beam,Purple lines,21 May 23,(20),33,1.69
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393156/stone-pickaxe-achievement,Stone Pickaxe,This one will never break,21 May 23,(10),16,1.66
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393128/entered-cage-town-achievement,Entered Cage Town,Hello there!,21 May 23,(5),8,1.61
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393127/surprise-achievement,Surprise,Defeated Surprise Chest,21 May 23,(5),7,1.55
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393126/cage-town-achievement,Cage Town,Cage Town,21 May 23,(5),7,1.51
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393125/revenge-achievement,Revenge,Killed the ghouls,21 May 23,(15),21,1.45
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393124/pickaxe-achievement,Pickaxe,"It's made of wood, it will last forever",21 May 23,(10),14,1.43
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393121/high-jump-achievement,High Jump,Jump Higher!,21 May 23,(10),11,1.17
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393122/knee-bending-achievement,Knee bending,Bending the knee gets you further,21 May 23,(10),11,1.18
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393120/hit-rock-bottom-achievement,Hit Rock Bottom,Hit Rock Bottom,21 May 23,(10),11,1.11
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393119/speed-achievement,Speed,Run faster,21 May 23,(10),11,1.1
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393118/rocket-launched-achievement,Rocket Launched,He did all the work,21 May 23,(5),5,1.06
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393117/good-morning-achievement,Good Morning,You're halfway through the game already,21 May 23,(5),5,1.0
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a226293/power-outage-achievement,Power Outage,Hack 5 enemies at once as Sombra in Quick or Competitive Play.,19 May 23,(15),38,2.56
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391508/blood-will-have-blood-achievement,Blood Will Have Blood,Loot your first blood remnant.,09 May 23,(10),14,1.41
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391544/skin-of-their-teeth-achievement,Skin of Their Teeth,Complete A Voice in the Dark with all hostages alive.,09 May 23,(10),18,1.8
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391534/catch-and-release-achievement,Catch and Release,Rescue a civilian hostage.,09 May 23,(10),15,1.5
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391531/sucks-to-be-you-achievement,Sucks To Be You,Destroy your first Siphon.,09 May 23,(10),15,1.55
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a372228/coup-de-gracie-achievement,Coup De Gracie,Use Junker Queen’s Jagged Blade and Carnage to pull and kill an enemy in Quick or Competitive Play.,06 May 23,(15),44,2.95
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391504/home-is-where-the-heart-is-achievement,Home Is Where the Heart Is,Unlock your first safehouse.,05 May 23,(10),12,1.22
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,05 May 23,(17),17,1.02
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,05 May 23,(10),10,1.01
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216079/target-rich-environment-achievement,Target Rich Environment,Kill 4 enemies with a single use of Soldier: 76's Tactical Visor in Quick or Competitive Play.,02 May 23,(15),28,1.91
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216110/armor-up-achievement,Armor Up!,Absorb 500 damage with Torbjörn's Overload without dying in Quick or Competitive Play.,30 Apr 23,(15),38,2.54
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389503/ridin-the-grain-train-achievement,Ridin’ the Grain Train,Spend 2 minutes buffed by speed wheat in a single world.,22 Apr 23,(10),13,1.36
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389504/impressive-gifts-achievement,Impressive Gifts,Complete the tutorial.,22 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216078/rocket-man-achievement,Rocket Man,Get 2 killing blows with a single use of Soldier: 76's Helix Rockets in Quick or Competitive Play.,18 Apr 23,(15),30,2.03
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a389106/giving-tree-achievement,Giving Tree,Restore 1200 health with a single use of Lifeweaver's Tree of Life in Quick or Competitive Play,16 Apr 23,(15),97,6.51
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216082/the-power-of-attraction-achievement,The Power of Attraction,Capture 4 enemies in a single use of Zarya's Graviton Surge in Quick or Competitive Play.,12 Apr 23,(15),29,1.99
https://www.trueachievements.com/game/Football-Manager-2023/achievements,https://www.trueachievements.com/a370656/bring-it-on-achievement,Bring It On,You completed the induction,09 Apr 23,(5),5,1.04
https://www.trueachievements.com/game/Football-Manager-2023/achievements,https://www.trueachievements.com/a370641/donedeal-achievement,#DoneDeal,You signed your first player,09 Apr 23,(15),18,1.2
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387726/guess-whats-coming-achievement,Guess What's Coming,"In any game mode, strikeout a batter using only one type of pitch. Excludes simulation, Quick Counts",31 Mar 23,(40),46,1.16
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216113/shot-down-achievement,Shot Down,Prevent 1250 damage with a single use of D.va's Defense Matrix in Quick or Competitive Play.,30 Mar 23,(15),27,1.82
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249735/when-youre-a-professional-pirate-achievement,When You're A Professional Pirate,You earned ten Commendations.,25 Mar 23,(20),26,1.34
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a298440/golden-ticket-achievement,Golden Ticket,"As an Emissary of the Gold Hoarders, your greed knows no limits or borders.",25 Mar 23,(10),19,1.9
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249741/shopping-for-a-promotion-achievement,Shopping for a Promotion,You purchased your first Trading Company Promotion.,25 Mar 23,(5),6,1.36
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249738/full-billow-achievement,Full Billow,You sailed with all sails fully with the wind.,25 Mar 23,(5),6,1.26
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249763/its-a-pirates-life-for-me-achievement,It's A Pirates Life For Me,You completed a Gold Hoarder voyage.,25 Mar 23,(5),6,1.27
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249755/ignoring-the-rules-of-engagement-achievement,Ignoring The Rules Of Engagement,You killed an opponent from behind with a blunderbuss.,24 Mar 23,(15),27,1.84
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249739/handbrake-turn-achievement,Handbrake Turn,You changed course by dropping anchor while the ship's wheel was at full lock.,24 Mar 23,(10),11,1.11
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249740/i-wanna-be-a-pirate-achievement,I Wanna Be A Pirate!,Your reputation level with a Trading Company increased for the first time.,24 Mar 23,(10),11,1.13
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a355290/whats-yours-is-mine-achievement,What's Yours Is Mine,Opened a Sea Fort Treasury,24 Mar 23,(15),39,2.64
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249733/im-on-a-whole-new-adventure-achievement,I'm On A Whole New Adventure,You voted for and began a voyage put forward by one of your crew.,24 Mar 23,(10),12,1.22
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a366441/o-captain-achievement,O Captain!,You set sail on a Captained ship as one of the crew.,24 Mar 23,(10),30,3.0
