achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203716/treasure-chamber-achievement,Treasure Chamber,Removed cards from the pyramid using the top three cards of the waste pile,22 May 23,(30),54,1.81
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341265/call-the-expert-achievement,Call the Expert,"Reached level 50 or beyond in Klondike, Spider, FreeCell, Pyramid or TriPeaks",22 May 23,(30),106,3.56
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382484/pedal-to-the-silver-medal-achievement,Pedal to the silver medal,Obtain your first silver medal on any official campaign track,21 May 23,(15),16,1.08
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382483/pedal-to-the-bronze-medal-achievement,Pedal to the bronze medal,Obtain your first bronze medal on any official campaign track,21 May 23,(15),15,1.06
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382465/welcome-to-trackmania-achievement,Welcome to Trackmania!,Complete your first race,21 May 23,(10),10,1.0
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382476/faster-than-a-train-achievement,Faster than a train,Exceed 575 km/h for the first time,21 May 23,(10),10,1.05
https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,https://www.trueachievements.com/a222476/score-attack--extreme-1-achievement,SCORE ATTACK > EXTREME 1,Obtain Rank C or higher in SCORE ATTACK > EXTREME.,17 May 23,(40),88,2.2
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362652/quite-dashing-achievement,Quite Dashing,Get first place in a racing round 5 times,16 May 23,(40),90,2.27
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362663/shopping-spree-achievement,Shopping Spree,Unlock 10 cosmetic items from the store,16 May 23,(30),72,2.42
https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,https://www.trueachievements.com/a222462/score-attack--regular-1-achievement,SCORE ATTACK > REGULAR 1,Obtain Rank C or higher in SCORE ATTACK > REGULAR.,16 May 23,(30),43,1.44
https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,https://www.trueachievements.com/a222473/score-attack--regular-2-achievement,SCORE ATTACK > REGULAR 2,Obtain Rank B or higher in SCORE ATTACK > REGULAR.,16 May 23,(30),47,1.59
https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,https://www.trueachievements.com/a222463/single-train-1-achievement,SINGLE TRAIN 1,Obtain Rank C or higher in SCORE ATTACK > SINGLE TRAIN.,16 May 23,(30),34,1.13
https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,https://www.trueachievements.com/a222464/single-train-2-achievement,SINGLE TRAIN 2,Obtain Rank B or higher in SCORE ATTACK > SINGLE TRAIN.,16 May 23,(40),55,1.37
https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,https://www.trueachievements.com/a222465/tutorial-1-achievement,TUTORIAL 1,Clear area 1 in TUTORIAL!,16 May 23,(10),10,1.0
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203726/blizzard-of-bliss-achievement,Blizzard of Bliss,Won 100 Klondike games,05 May 23,(30),94,3.14
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203724/king-of-the-hill-achievement,King of the Hill,"Won 100 games of Klondike, Spider, or FreeCell",03 May 23,(10),27,2.74
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341264/become-an-aficionado-achievement,Become an Aficionado,"Reached level 25 or beyond in Klondike, Spider, FreeCell, Pyramid or TriPeaks",03 May 23,(20),56,2.82
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341276/perfectionist-achievement,Perfectionist,Won an Expert difficulty game in any classic game mode without using an undo,02 May 23,(15),28,1.92
