achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Signalis/achievements,https://www.trueachievements.com/a372581/synchronizitat-achievement,SYNCHRONIZITÄT,Receive an important message.,17 May 23,(30),30,1.0
https://www.trueachievements.com/game/Citizen-Sleeper/achievements,https://www.trueachievements.com/a359305/fellow-traveller-achievement,FELLOW TRAVELLER,Found a gift from someone like you. Hidden away.,14 May 23,(10),15,1.54
https://www.trueachievements.com/game/Citizen-Sleeper/achievements,https://www.trueachievements.com/a359288/paid-off-achievement,PAID OFF,Cleared the debt and returned a favour for your first friend on the Eye.,13 May 23,(20),20,1.0
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342663/electrical-hazard-achievement,Electrical hazard,Put an electronic item somewhere dangerous.,13 May 23,(60),83,1.39
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342667/fellowship-achievement,Fellowship,Unpacked 2007.,12 May 23,(10),12,1.2
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342661/strike-a-pose-achievement,Strike a pose,Made the mannequin dab.,12 May 23,(50),67,1.35
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342664/get-smart-achievement,Get smart,Unpacked 2004,12 May 23,(10),11,1.1
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342660/beginning-achievement,Beginning,Unpacked 1997.,12 May 23,(10),10,1.03
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342657/make-some-memories-achievement,Make some memories,Found your camera.,12 May 23,(10),10,1.0
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357711/waifu-achievement,Waifu,You destroyed a waifu.,25 Mar 23,(25),34,1.39
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357707/the-messenger-achievement,The Messenger,You ripped up Matt's MIA notice,25 Mar 23,(25),33,1.32
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357708/draft-dodger-achievement,Draft Dodger,You tore up Matt's draft letter.,25 Mar 23,(25),33,1.34
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357706/savvy-shopper-achievement,Savvy Shopper,You destroyed a receipt for seeds.,25 Mar 23,(25),32,1.29
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357705/book-worm-achievement,Book Worm,You ripped a lame book in half.,25 Mar 23,(25),30,1.2
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357701/simp-achievement,Simp,You shredded slayQueen32's autograph.,25 Mar 23,(25),29,1.16
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357698/winner-achievement,Winner,You obtained a hunk of gold that makes you feel good.,25 Mar 23,(25),28,1.13
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357703/contractor-achievement,Contractor,You tore up someone's 1099.,25 Mar 23,(25),29,1.16
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357704/dumpster-diver-achievement,Dumpster Diver,You ripped up a receipt in the trash.,25 Mar 23,(25),29,1.17
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357700/hat-wearer-achievement,Hat Wearer,You obtained your first hat.,25 Mar 23,(25),28,1.14
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357702/murderer-achievement,Murderer,You brutally murdered Jerry and ripped up his rent.,25 Mar 23,(25),28,1.13
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357696/adventurer-achievement,Adventurer,You grew your own Soil Sword!,25 Mar 23,(25),27,1.08
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357697/most-wanted-achievement,Most Wanted,You ripped up a wanted poster.,25 Mar 23,(25),27,1.08
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357699/heartless-achievement,Heartless,You tore up a love letter.,25 Mar 23,(25),27,1.11
https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,https://www.trueachievements.com/a357695/tax-evader-achievement,Tax Evader,You committed tax evasion!,25 Mar 23,(25),25,1.0
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254342/the-plot-thickens-achievement,The Plot Thickens,Complete Act 1,17 Mar 23,(20),32,1.61
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254382/unstable-combustion-achievement,Unstable Combustion,Blow up a Warpfire Thrower by shooting them in the power cell,17 Mar 23,(20),31,1.58
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254381/firing-it-up-achievement,Firing it Up!,Kill a Warpfire Thrower before he fires,17 Mar 23,(20),29,1.46
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254359/waste-not-want-not-achievement,"Waste Not, Want Not",Salvage an item,13 Mar 23,(10),13,1.35
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254363/heirloom-achievement,Heirloom,Equip an Exotic Item,13 Mar 23,(20),38,1.91
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254383/liberator-achievement,Liberator,Kill a Packmaster abducting an ally,13 Mar 23,(20),27,1.35
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254362/quite-the-find-achievement,Quite the Find,Equip a Rare Item,13 Mar 23,(10),15,1.56
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254361/my-first-wargear-achievement,My First Wargear,Equip a Common Item,13 Mar 23,(10),12,1.24
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254355/tempered-by-war-achievement,Tempered by War,Unlock 1st Talent point,13 Mar 23,(10),13,1.32
https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,https://www.trueachievements.com/a254390/forecasting-clear-skies-achievement,Forecasting Clear Skies,Kill a Blightstormer while he's conjuring a vortex,13 Mar 23,(20),37,1.87
