achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391829/little-shop-achievement,Little Shop,Open the Hedgehog's shop,13 May 23,(10),,"Little Shop
Open the Hedgehog's shop"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391836/glimmer-of-hope-achievement,Glimmer of Hope,Complete the 'Shining Emblem' quest,13 May 23,(20),,"Glimmer of Hope
Complete the 'Shining Emblem' quest"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391833/curtain-call-achievement,Curtain Call,Defeat the Tweedle Twins,13 May 23,(10),,"Curtain Call
Defeat the Tweedle Twins"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391835/an-actor-achievement,An Actor!,Wear the Masquerade Mask,13 May 23,(10),,"An Actor!
Wear the Masquerade Mask"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391834/surprise-achievement,Surprise!,Defeat the Harlequin ambush in the Mask Mansion,13 May 23,(10),,"Surprise!
Defeat the Harlequin ambush in the Mask Mansion"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391837/tragic-brave-achievement,Tragic Brave,Defeat Buvador the Bison,13 May 23,(10),,"Tragic Brave
Defeat Buvador the Bison"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391838/well-rested-achievement,Well Rested,Sleep in the Witch's bed,13 May 23,(5),,"Well Rested
Sleep in the Witch's bed"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391820/awakened-spirits-achievement,Awakened Spirits,Complete the 'Awaken the Spirits' quest,13 May 23,(10),,"Awakened Spirits
Complete the 'Awaken the Spirits' quest"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391839/fun-guy-achievement,Fun Guy,Defeat the Weeping Fungi,13 May 23,(10),,"Fun Guy
Defeat the Weeping Fungi"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391840/vibing-achievement,Vibing,Dance for the first time,13 May 23,(5),,"Vibing
Dance for the first time"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391841/a-grand-visit-achievement,A Grand Visit,Meet the Queen in the Mushroom Forest,13 May 23,(10),,"A Grand Visit
Meet the Queen in the Mushroom Forest"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391842/sword-shield-fight-achievement,"Sword, Shield, Fight!",Complete Combat Training,13 May 23,(10),,"Sword, Shield, Fight!
Complete Combat Training"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391843/a-prophecy-achievement,A Prophecy,Speak with Finn in the Stone Garden,13 May 23,(5),,"A Prophecy
Speak with Finn in the Stone Garden"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391844/into-the-barn-achievement,Into the Barn,Enter the Old Barn,12 May 23,(5),,"Into the Barn
Enter the Old Barn"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391845/waff-achievement,Waff!,Pet your dog!,12 May 23,(5),,"Waff!
Pet your dog!"
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391846/once-upon-a-time-achievement,Once Upon a Time,Name your Character,12 May 23,(5),,"Once Upon a Time
Name your Character"
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389505/with-light-comes-hope-achievement,With Light Comes Hope,Destroy the Night Beacon Base.,07 May 23,(30),,"With Light Comes Hope
Destroy the Night Beacon Base."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389520/no-time-for-swine-achievement,No Time for Swine,"Defeat 1,000 piglins in a single world.",07 May 23,(40),,"No Time for Swine
Defeat 1,000 piglins in a single world."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389503/ridin-the-grain-train-achievement,Ridin’ the Grain Train,Spend 2 minutes buffed by speed wheat in a single world.,06 May 23,(10),,"Ridin’ the Grain Train
Spend 2 minutes buffed by speed wheat in a single world."
https://www.trueachievements.com/game/Microsoft-Sudoku/achievements,https://www.trueachievements.com/a290593/apprentice-achievement,Apprentice,Reached Level 10,20 Apr 23,(5),,"Apprentice
Reached Level 10"
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389504/impressive-gifts-achievement,Impressive Gifts,Complete the tutorial.,19 Apr 23,(10),,"Impressive Gifts
Complete the tutorial."
https://www.trueachievements.com/game/Microsoft-Sudoku/achievements,https://www.trueachievements.com/a290570/came-to-win-achievement,Came to Win,Won your first Daily Challenge,25 Mar 23,(5),,"Came to Win
Won your first Daily Challenge"
https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,https://www.trueachievements.com/a262366/trusty-steed-achievement,Trusty Steed,You reached max bonding level with a horse.,25 Mar 23,(10),,"Trusty Steed
You reached max bonding level with a horse."
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225136/gatekeeper-achievement,Gatekeeper,Join the College of Winterhold,19 Mar 23,(10),,"Gatekeeper
Join the College of Winterhold"
