achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387693/that-time-of-year-achievement,That Time of Year,Completed a Seasonal Activity in Sierra Nueva,30 May 23,(10),22,2.29
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240977/welcome-to-forza-motorsport-achievement,Welcome to Forza Motorsport,Completed your first race,27 May 23,(5),5,1.04
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382466/first-of-the-collection-achievement,First of the collection,Win your first trophy,27 May 23,(10),14,1.45
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382476/faster-than-a-train-achievement,Faster than a train,Exceed 575 km/h for the first time,27 May 23,(10),10,1.05
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382485/pedal-to-the-gold-medal-achievement,Pedal to the gold medal,Obtain your first gold medal on any official campaign track,27 May 23,(15),17,1.17
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382483/pedal-to-the-bronze-medal-achievement,Pedal to the bronze medal,Obtain your first bronze medal on any official campaign track,27 May 23,(15),15,1.06
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382484/pedal-to-the-silver-medal-achievement,Pedal to the silver medal,Obtain your first silver medal on any official campaign track,27 May 23,(15),16,1.08
https://www.trueachievements.com/game/Trackmania/achievements,https://www.trueachievements.com/a382465/welcome-to-trackmania-achievement,Welcome to Trackmania!,Complete your first race,27 May 23,(10),10,1.0
https://www.trueachievements.com/game/Midnight-Club-Los-Angeles/achievements,https://www.trueachievements.com/a27489/the-basics-achievement,The Basics,Complete one of the missions you receive in the mission log.,20 May 23,(10),10,1.0
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344806/treasure-hunter-achievement,Treasure Hunter,Find all of the Treasure Chests in a Series,29 Apr 23,(20),63,3.17
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,https://www.trueachievements.com/a314736/sockettome-achievement,Socket-to-me,"In Zombies, upgrade a skill",25 Apr 23,(15),18,1.22
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,https://www.trueachievements.com/a314727/the-fixer-achievement,The Fixer,Get 200 Eliminations in Multiplayer.,21 Apr 23,(15),16,1.1
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286462/tea-time-achievement,Tea Time,Complete the single player Campaign on any difficulty.,13 Apr 23,(100),114,1.14
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a212798/rocketeer-achievement,Rocketeer,Complete the regular Season,07 Apr 23,(25),50,2.02
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387677/in-the-still-of-the-night-achievement,In the Still of the Night,Joined the Grit Reapers Team,07 Apr 23,(20),44,2.23
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387694/unlimited-rally-achievement,Unlimited Rally,Crossed your first Split-Gate in a Horizon Rally event,07 Apr 23,(10),18,1.87
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387672/welcome-to-sierra-nueva-achievement,Welcome to Sierra Nueva,Arrived at the Horizon Badlands Outpost,07 Apr 23,(25),45,1.83
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344798/gotta-smash-em-all-achievement,Gotta Smash 'Em All,Complete 5 Seasonal Smashables Challenges,07 Apr 23,(10),34,3.41
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286473/hot-swap-achievement,Hot Swap,Get at least one kill with eight different weapons when completing 'Old Comrades'.,05 Apr 23,(30),66,2.21
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286468/drivers-ed-achievement,Driver's Ed,Shoot the driver of the suicide truck.,05 Apr 23,(50),63,1.26
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286460/good-effect-on-target-achievement,Good Effect on Target,Kill an enemy with a direct hit from a smoke grenade.,04 Apr 23,(20),49,2.45
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286453/trigger-discipline-achievement,Trigger Discipline,Do not injure any civilians in 'Piccadilly'.,04 Apr 23,(50),68,1.36
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286454/nothing-but-net-achievement,Nothing but Net,Neutralize the 'Fog of War' machine gun with a frag grenade.,04 Apr 23,(20),29,1.48
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345251/hello-there-achievement,Hello there,Join a clan in Multiplayer,22 Feb 23,(15),17,1.14
https://www.trueachievements.com/game/Apex-Legends/achievements,https://www.trueachievements.com/a267792/fully-kitted-achievement,Fully Kitted,Equipped a Fully Kitted weapon,21 Feb 23,(75),92,1.23
https://www.trueachievements.com/game/Knockout-City/achievements,https://www.trueachievements.com/a328206/high-score-achievement,High Score,Score 3 Hits with a Multi Ball in quick succession,20 Feb 23,(10),16,1.69
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a212801/survival-of-the-fittest-achievement,Survival of the Fittest,Equip the Shark Fin Topper and win an Unfair Bot Match,16 Jan 23,(50),138,2.77
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a199118/parole-day-achievement,Parole Day,You completed The Prison Break as Heist Leader or Crew.,16 Jan 23,(30),49,1.64
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a199120/four-way-achievement,Four Way,As Heist Leader you set the Finale cut as 25% across all players.,16 Jan 23,(10),27,2.78
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a195133/crew-cut-achievement,Crew Cut,You completed a Job as a member of a Crew.,16 Jan 23,(5),7,1.48
