achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369014/swish-achievement,Swish!,Pulled off a Stylish Evade.,20 Feb 23,(15),22,1.52
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369011/sucks-to-be-you-achievement,Sucks to be you!,You or an opponent were hit by an arena gimmick for the first time.,08 Feb 23,(15),18,1.22
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369025/one-hell-of-an-experience-achievement,One hell of an experience!,Completed 1 panel of All-Star Battle Mode Part 4.,08 Feb 23,(15),44,2.99
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369027/first-we-need-strength-achievement,First we need strength!,Completed 1 panel of All-Star Battle Mode Parte 5.,08 Feb 23,(15),47,3.16
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369013/so-you-saw-it-achievement,So you saw it...,Completed a Secret Mission for the first time.,08 Feb 23,(15),22,1.49
https://www.trueachievements.com/game/NHL-23/achievements,https://www.trueachievements.com/a372791/unlock-your-destiny-achievement,Unlock your destiny,Unlock a character in Ones Now.,06 Feb 23,(15),37,2.52
https://www.trueachievements.com/game/NHL-23/achievements,https://www.trueachievements.com/a372792/king-of-the-couch-achievement,King of the Couch,Play and Complete a Ones Now Game.,06 Feb 23,(15),37,2.52
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369017/my-heart-resonates-achievement,My heart resonates!,Landed an HHA.,06 Feb 23,(15),17,1.13
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369018/di-molto-achievement,Di molto!,Landed an HHA using Easy Beat.,06 Feb 23,(15),18,1.2
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369009/thats-the-look-of-a-real-man-achievement,That's the look of a real man!,Pulled off a Flash Cancel.,06 Feb 23,(15),18,1.2
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369035/well-train-your-arse-off-achievement,We'll train your arse off!,Completed a match in Single VS Battle.,06 Feb 23,(15),28,1.91
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369016/an-adventurer-is-the-only-thing-you-can-be-achievement,An Adventurer is the only thing you can be!,Set off an arena gimmick for the first time.,06 Feb 23,(15),16,1.1
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369015/great-achievement,Great!,Landed a GHA.,06 Feb 23,(15),17,1.19
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369007/i-knew-i-could-count-on-you-achievement,I knew I could count on you.,Landed an Assist.,06 Feb 23,(15),16,1.07
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161649/that-was-easy-achievement,That Was Easy,Unlock all Game Modes,06 Feb 23,(5),5,1.0
https://www.trueachievements.com/game/Skate-3/achievements,https://www.trueachievements.com/a60762/speed-demon-achievement,Speed Demon,Win the final deathrace,19 Jan 23,(10),20,2.06
https://www.trueachievements.com/game/Skate-3/achievements,https://www.trueachievements.com/a60798/2-wheel-rainbow-achievement,2 Wheel Rainbow,"Complete the ""Over the Rainbow"" Photo Challenge",19 Jan 23,(10),22,2.21
https://www.trueachievements.com/game/Skate-3/achievements,https://www.trueachievements.com/a60802/slow-and-steady-achievement,Slow and Steady,"Complete ""The Art of Rail"" Film Challenge",19 Jan 23,(20),45,2.27
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68077/nostalgia-achievement,Nostalgia,You found a warp zone! Now pay me for the door repair!,14 Jan 23,(15),15,1.0
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a236247/storm-trooper-achievement,Storm Trooper,Equip a Very Rare Item and complete a game in an Arena with turbulent weather,25 Dec 22,(25),40,1.61
