achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Friday-the-13th-The-Game/achievements,https://www.trueachievements.com/a234672/smash-bros-achievement,Smash Bros,Hit Jason with a baseball bat 100 times.,12 Feb 23,(10),59,5.98
https://www.trueachievements.com/game/Wheel-Of-Fortune/achievements,https://www.trueachievements.com/a242407/five-star-contestant-achievement,Five Star Contestant,Win 5 matches.,05 Feb 23,(50),69,1.39
https://www.trueachievements.com/game/Wheel-Of-Fortune/achievements,https://www.trueachievements.com/a242410/getting-familiar-achievement,Getting Familiar,Solve 10 puzzles.,05 Feb 23,(50),57,1.15
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355927/doing-science-and-still-alive-achievement,Doing Science and Still Alive,Answered 30 questions correctly in the Science & Nature category.,01 Jan 23,(50),65,1.3
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355918/wedgesftw-achievement,#WedgesFTW,Won 3 gameshows.,01 Jan 23,(25),30,1.23
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355926/knowit-laureate-achievement,Know-it Laureate,Answered 30 questions correctly in the Arts & Literature category.,01 Jan 23,(50),68,1.36
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355924/historical-oracle-achievement,Historical Oracle,Answered 30 questions correctly in the History category.,01 Jan 23,(50),66,1.32
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355928/around-the-world-in-80-plays-achievement,Around the World in 80 Plays,Answered 30 questions correctly in the Geography category.,04 Dec 22,(50),64,1.28
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355925/six-seasons-and-a-movie-achievement,Six Seasons and a Movie,Answered 30 questions correctly in the Entertainment category.,04 Dec 22,(50),61,1.23
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355923/hunting-for-sport-achievement,Hunting for Sport,Answered 30 questions correctly in the Sports & Leisure category.,04 Dec 22,(50),62,1.25
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355922/wedge-warrior-achievement,Wedge Warrior,Collected 30 wedges.,04 Dec 22,(30),36,1.21
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355921/a-noble-pursuit-achievement,A Noble Pursuit,Correctly answered 100 questions.,15 Sep 22,(50),56,1.12
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355919/tens-anyone-achievement,"Tens, Anyone?",Correctly answered 10 questions of each Trivial Pursuit category type.,15 Sep 22,(25),28,1.12
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-Live-2/achievements,https://www.trueachievements.com/a355932/greedy-grabber-achievement,Greedy Grabber,Got 4 answers correct in a single Grab Bag question.,28 May 22,(100),107,1.07
https://www.trueachievements.com/game/Guitar-Hero-5/achievements,https://www.trueachievements.com/a35830/young-star-achievement,Young Star,Collected 25 Stars in Career,15 Nov 21,(10),11,1.14
https://www.trueachievements.com/game/Guitar-Hero-5/achievements,https://www.trueachievements.com/a35832/senior-commander-achievement,Senior Commander,Did quite well,15 Nov 21,(10),10,1.05
https://www.trueachievements.com/game/Guitar-Hero-5/achievements,https://www.trueachievements.com/a35834/over-9000-achievement,Over 9000!,Went super,15 Nov 21,(5),5,1.05
https://www.trueachievements.com/game/Guitar-Hero-5/achievements,https://www.trueachievements.com/a35835/crowd-pleaser-achievement,Crowd Pleaser,Topped out the rock,15 Nov 21,(5),5,1.0
https://www.trueachievements.com/game/Jeopardy/achievements,https://www.trueachievements.com/a243720/jeopardy-master-achievement,Jeopardy! Master,Reached Master Rank max.,07 Nov 21,(150),326,2.17
https://www.trueachievements.com/game/Guitar-Hero-3-Legends-of-Rock/achievements,https://www.trueachievements.com/a14801/dynamic-duo-achievement,Dynamic Duo,Earn a 1000 note streak in a Co-op match,07 Nov 21,(15),46,3.07
https://www.trueachievements.com/game/Guitar-Hero-3-Legends-of-Rock/achievements,https://www.trueachievements.com/a13459/two-timer-achievement,Two Timer,Earn a 500 note streak in a Co-op match,05 Nov 21,(10),18,1.85
https://www.trueachievements.com/game/Guitar-Hero-3-Legends-of-Rock/achievements,https://www.trueachievements.com/a10021/a-couple-of-streakers-achievement,A Couple of Streakers,Earn a 200 note streak in a Co-op match,05 Nov 21,(5),6,1.35
https://www.trueachievements.com/game/Guitar-Hero-3-Legends-of-Rock/achievements,https://www.trueachievements.com/a10020/two-by-four-achievement,Two by Four,Get an 8X multiplier in a Co-op game,05 Nov 21,(5),6,1.24
https://www.trueachievements.com/game/Jeopardy/achievements,https://www.trueachievements.com/a243725/online-veteran-achievement,Online Veteran,Played 10 online matches.,31 Oct 21,(100),306,3.06
https://www.trueachievements.com/game/Overcooked-All-You-Can-Eat/achievements,https://www.trueachievements.com/a314495/clutz-in-the-kitchen-achievement,Clutz In The Kitchen,Respawn 10 times,17 Aug 21,(15),19,1.27
https://www.trueachievements.com/game/Overcooked-All-You-Can-Eat/achievements,https://www.trueachievements.com/a314490/out-of-this-world-achievement,Out of this World,Complete a kitchen in Cosmic Canteen,17 Aug 21,(15),21,1.45
