achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Crackdown-3/achievements,https://www.trueachievements.com/a267508/come-on-walk-it-off-achievement,"Come On, Walk It Off!",Incapacitate an enemy using Deadeye.,29 Mar 23,(5),7,1.42
https://www.trueachievements.com/game/Crackdown-3/achievements,https://www.trueachievements.com/a267476/permanent-pink-slip-achievement,Permanent Pink Slip,"Terminate Wilhelm Berg, TerraNova's Manpower boss.",28 Mar 23,(10),10,1.04
https://www.trueachievements.com/game/Crackdown-3/achievements,https://www.trueachievements.com/a267468/secondhand-shrapnel-achievement,Secondhand Shrapnel,Use a Deadeye head shot on a Logistics robot to kill another enemy with the resulting explosion.,28 Mar 23,(10),21,2.12
https://www.trueachievements.com/game/Crackdown-3/achievements,https://www.trueachievements.com/a267498/foot-in-the-door-achievement,Foot In The Door,Unlock your first Supply Point.,28 Mar 23,(5),5,1.01
https://www.trueachievements.com/game/Crackdown-3/achievements,https://www.trueachievements.com/a267479/agentsfightback-achievement,#AgentsFightBack,Clear out your first enemy asset.,28 Mar 23,(5),5,1.0
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384928/best-flag-forward-achievement,Best Flag Forward,Raised your first Battle Flag.,17 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Ghostlore/achievements,https://www.trueachievements.com/a377351/coming-of-age-achievement,Coming of Age,Listen to what the Master Ghosthunter has to say when you reach Seaport for the first time.,10 Feb 23,(10),10,1.02
https://www.trueachievements.com/game/Ghostlore/achievements,https://www.trueachievements.com/a377375/magic-words-achievement,Magic Words,Place 4 different Simple Glyph types into a Compound Glyph.,10 Feb 23,(50),70,1.41
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369017/my-heart-resonates-achievement,My heart resonates!,Landed an HHA.,10 Feb 23,(15),17,1.13
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369018/di-molto-achievement,Di molto!,Landed an HHA using Easy Beat.,10 Feb 23,(15),18,1.2
https://www.trueachievements.com/game/Skul-The-Hero-Slayer/achievements,https://www.trueachievements.com/a343342/what-should-i-buy-achievement,What should I buy?,Stay in the black market for 1 minute.,09 Feb 23,(12),14,1.21
https://www.trueachievements.com/game/Skul-The-Hero-Slayer/achievements,https://www.trueachievements.com/a343343/the-legend-begins-achievement,The Legend Begins,Return after experiencing death.,09 Feb 23,(12),12,1.01
https://www.trueachievements.com/game/Skul-The-Hero-Slayer/achievements,https://www.trueachievements.com/a343339/rules-of-etiquette-achievement,Rules of Etiquette,Reach the top of the throne in the Demon King Castle.,09 Feb 23,(12),18,1.57
https://www.trueachievements.com/game/Neon-Abyss-Windows/achievements,https://www.trueachievements.com/a303478/first-light-achievement,First Light,Defeat God of Darknet.,16 Jan 23,(20),30,1.54
https://www.trueachievements.com/game/Neon-Abyss-Windows/achievements,https://www.trueachievements.com/a303451/moms-love-achievement,Mom's Love,Successfully hatch eggs 10 times in a row.,16 Jan 23,(30),59,1.98
https://www.trueachievements.com/game/Neon-Abyss-Windows/achievements,https://www.trueachievements.com/a303447/first-blood-achievement,First Blood,Death is another beginning.,07 Jan 23,(10),10,1.01
https://www.trueachievements.com/game/Despots-Game/achievements,https://www.trueachievements.com/a371843/good-start-achievement,Good start!,Complete Level 1,07 Jan 23,(25),25,1.0
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379546/dont-knife-the-hand-that-feeds-achievement,Don't Knife The Hand That Feeds,Take Knifey's advice and stab Gene in the gut.,26 Dec 22,(20),23,1.19
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379542/first-bounty-down-achievement,First Bounty Down,Defeat 9-Torg.,26 Dec 22,(20),20,1.04
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379544/bring-a-knife-to-a-gun-fight-achievement,Bring A Knife to a Gun Fight,Get Knifey.,26 Dec 22,(20),20,1.01
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379543/were-all-very-impressed-trust-me-achievement,"We're All Very Impressed, Trust Me",Juggle an enemy in the air with at least 5 shots.,26 Dec 22,(20),21,1.08
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379545/fallout-doesnt-let-you-do-this-achievement,Fallout Doesn't Let You Do This,Kill Slumsley.,22 Dec 22,(20),21,1.08
https://www.trueachievements.com/game/Warhammer-40000-Darktide/achievements,https://www.trueachievements.com/a378501/circle-of-trust-i-achievement,Circle of Trust I,Complete Path of Trust Chapter 1.,07 Dec 22,(10),12,1.21
