achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,https://www.trueachievements.com/a379250/smoke-on-the-water-achievement,Smoke on the Water,Destroyed the Red Judge aspect in Yhelm,22 May 23,(15),,"Smoke on the Water
Destroyed the Red Judge aspect in Yhelm"
https://www.trueachievements.com/game/Dirt-5/achievements,https://www.trueachievements.com/a311042/everyones-a-critic-achievement,Everyone's a Critic,Rated a Playground,22 May 23,(100),,"Everyone's a Critic
Rated a Playground"
https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,https://www.trueachievements.com/a286821/blame-the-vain-achievement,Blame The Vain,Won a race with all vehicle effects slots equipped,18 May 23,(20),,"Blame The Vain
Won a race with all vehicle effects slots equipped"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161646/gear-up-achievement,Gear Up!,Make your first Gear Purchase,Offline,(5),,"Gear Up!
Make your first Gear Purchase"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161648/grindage-achievement,Grindage,Grind your first rail (not achievable in Tutorial),Offline,(5),,"Grindage
Grind your first rail (not achievable in Tutorial)"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161649/that-was-easy-achievement,That Was Easy,Unlock all Game Modes,Offline,(5),,"That Was Easy
Unlock all Game Modes"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161647/im-alive-achievement,I'm Alive!,Rewind out of Death for the First Time (not achievable in Tutorial),Offline,(5),,"I'm Alive!
Rewind out of Death for the First Time (not achievable in Tutorial)"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161644/im-flying-achievement,I'm Flying!,Deploy your wingsuit for the first time (not achievable in Tutorial),Offline,(5),,"I'm Flying!
Deploy your wingsuit for the first time (not achievable in Tutorial)"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161677/pass-the-board-wax-achievement,Pass The Board Wax,Make your first Board Purchase,Offline,(5),,"Pass The Board Wax
Make your first Board Purchase"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161657/team-ssx-achievement,Team SSX,Unlock every member of Team SSX through World Tour (or purchase in Explore or Global Events),Offline,(10),,"Team SSX
Unlock every member of Team SSX through World Tour (or purchase in Explore or Global Events)"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161686/the-bronze-badger-achievement,The Bronze Badger,Collect all Bronze Tricky Badges,Offline,(10),,"The Bronze Badger
Collect all Bronze Tricky Badges"
https://www.trueachievements.com/game/SSX/achievements,https://www.trueachievements.com/a161689/the-bronze-finish-achievement,The Bronze Finish,Collect all Bronze Race Badges,Offline,(10),,"The Bronze Finish
Collect all Bronze Race Badges"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226894/halfway-there-achievement,Halfway there,Reach REPUTATION level 10,07 Mar 23,(30),,"Halfway there
Reach REPUTATION level 10"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226905/the-memory-remains-achievement,The memory remains,Get 1 MEMORABLE MOMENT of each category,07 Mar 23,(15),,"The memory remains
Get 1 MEMORABLE MOMENT of each category"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226919/crash-test-achievement,Crash Test,Fall and endure between 90 and 99.9 Gs (complete the Onboarding sequence),07 Mar 23,(15),,"Crash Test
Fall and endure between 90 and 99.9 Gs (complete the Onboarding sequence)"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226912/seek-achievement,Seek...,Find and unlock 10 Drop Zones in Alps,07 Mar 23,(15),,"Seek...
Find and unlock 10 Drop Zones in Alps"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226901/goldplated-challenger-achievement,Gold-plated challenger,Get 12 Gold Medals on Alps Public Challenges,07 Mar 23,(15),,"Gold-plated challenger
Get 12 Gold Medals on Alps Public Challenges"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226907/once-upon-a-time-achievement,Once upon a time,Complete a MOUNTAIN STORY in Alps,07 Mar 23,(15),,"Once upon a time
Complete a MOUNTAIN STORY in Alps"
https://www.trueachievements.com/game/Steep/achievements,https://www.trueachievements.com/a226910/tourist-achievement,Tourist,Find 10 Points of Interest in Alps,07 Mar 23,(15),,"Tourist
Find 10 Points of Interest in Alps"
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-4/achievements,https://www.trueachievements.com/a261530/specialist-super-fan-achievement,Specialist Super Fan,"In Blackout, unlock Battery, Ruin, Firebreak, Seraph, Nomad, Prophet, Ajax, Crash, Torque and Recon",27 Feb 23,(15),,"Specialist Super Fan
In Blackout, unlock Battery, Ruin, Firebreak, Seraph, Nomad, Prophet, Ajax, Crash, Torque and Recon"
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273886/carving-a-path-achievement,Carving a Path,Get 10.000 REP,06 Feb 23,(10),,"Carving a Path
Get 10.000 REP"
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273894/show-em-whos-boss-achievement,Show em who's Boss,Survive a boss jump,06 Feb 23,(50),,"Show em who's Boss
Survive a boss jump"
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273895/the-training-was-worth-it-achievement,The training was worth it,Jump over the train,06 Feb 23,(25),,"The training was worth it
Jump over the train"
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273896/represent-your-style-achievement,Represent your style,Complete a team node,06 Feb 23,(10),,"Represent your style
Complete a team node"
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273899/every-axis-achievement,Every Axis,Land a 360 frontflip,06 Feb 23,(10),,"Every Axis
Land a 360 frontflip"
https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,https://www.trueachievements.com/a379251/if-i-can-make-it-here-achievement,If I Can Make It Here,Destroyed the Red Judge aspect in Stygia,02 Feb 23,(15),,"If I Can Make It Here
Destroyed the Red Judge aspect in Stygia"
https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,https://www.trueachievements.com/a379252/this-pounding-heart-achievement,This Pounding Heart,Reached Hit Streak: 10,02 Feb 23,(5),,"This Pounding Heart
Reached Hit Streak: 10"
https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,https://www.trueachievements.com/a379244/breaking-the-law-achievement,Breaking the Law,Destroyed the Red Judge aspect in Voke,31 Jan 23,(15),,"Breaking the Law
Destroyed the Red Judge aspect in Voke"
https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,https://www.trueachievements.com/a379264/kill-your-demons-achievement,Kill Your Demons,Multi-killed 2 enemies,31 Jan 23,(25),,"Kill Your Demons
Multi-killed 2 enemies"
https://www.trueachievements.com/game/Dirt-5/achievements,https://www.trueachievements.com/a311027/10-hrsprs-achievement,+10 HRSPRS,Saved your first customised livery,18 Jan 23,(10),,"+10 HRSPRS
Saved your first customised livery"
https://www.trueachievements.com/game/Dirt-5/achievements,https://www.trueachievements.com/a311036/long-jump-achievement,Long Jump,Jumped 50m in a single jump,18 Jan 23,(20),,"Long Jump
Jumped 50m in a single jump"
https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,https://www.trueachievements.com/a345295/adapt-and-overcome-achievement,Adapt and Overcome,Reached Player Level 5,18 Jan 23,(15),,"Adapt and Overcome
Reached Player Level 5"
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379571/carried-stans-load-to-completion-achievement,Carried Stan's Load To Completion,Complete the game with Stan's product in your inventory.,16 Jan 23,(30),,"Carried Stan's Load To Completion
Complete the game with Stan's product in your inventory."
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379561/legendary-bounty-hunter-achievement,Legendary Bounty Hunter,Defeat Garmantuous and take down the G3 cartel.,16 Jan 23,(60),,"Legendary Bounty Hunter
Defeat Garmantuous and take down the G3 cartel."
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379559/series-wrap-on-suito-achievement,Series Wrap on Suit-O,Say goodbye to Suit-O.,16 Jan 23,(20),,"Series Wrap on Suit-O
Say goodbye to Suit-O."
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379558/lezduit-achievement,Lezduit!,Obtain Lezduit.,16 Jan 23,(20),,"Lezduit!
Obtain Lezduit."
