achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390036/stacking-the-deck-achievement,Stacking the Deck,Collect 30 Skill Cards.,03 Jun 23,(10),12,1.26
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390047/dr-reed-i-presume-achievement,"Dr. Reed, I Presume?",Survive the many perils of Venice Beach and meet Dr. Reed at the Serling Hotel.,30 May 23,(10),12,1.25
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390077/this-is-my-weapon-achievement,This is My Weapon,Fully upgrade a Superior weapon and customize it with a mod or perk in every slot.,30 May 23,(10),12,1.28
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390076/anger-management-achievement,Anger Management,Slay 50 zombies with Fury Attacks.,30 May 23,(10),13,1.34
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390035/friends-like-these-achievement,Friends Like These,"Encounter a mysterious... benefactor? Well, that's what she'd call herself, anyway.",29 May 23,(10),11,1.19
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390042/bookworm-achievement,Bookworm,Collect 50 Journals.,29 May 23,(20),24,1.22
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390037/git-gutte-achievement,Git Gutte!,Join forces with Sam B and get your hands on some firepower.,29 May 23,(10),11,1.14
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390038/personal-assistant-personally-assisted-achievement,Personal Assistant Personally Assisted,Track down Michael and rescue him from the Terror at Monarch Studios.,26 May 23,(10),11,1.12
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390041/apex-predator-achievement,Apex Predator,Knock down 10 Apex Variants.,26 May 23,(10),11,1.16
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390040/hazardous-materials-achievement,Hazardous Materials,"Slay 100 Zombies using Caustic, Fire, or Shock damage.",25 May 23,(10),10,1.09
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390045/break-a-leg-achievement,Break a Leg,Maim 100 limbs.,24 May 23,(10),10,1.05
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390044/hotel-california-achievement,Hotel California,Fight through the Halperin Hotel to make contact with the authorities.,24 May 23,(10),10,1.03
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390039/coup-de-grace-achievement,Coup de Grâce,Slay 25 zombies using finishing moves.,24 May 23,(10),10,1.07
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390046/welcome-to-hella-achievement,Welcome To Hell-A,"Survive a plane crash, get bitten, and create your first Zombie-Free Zone.",23 May 23,(10),10,1.0
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389179/conclusions-achievement,Conclusions,Complete the main story.,23 May 23,(15),37,2.47
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389178/binding-achievement,Binding,Complete Chapter 6.,23 May 23,(15),37,2.47
