achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Harry-Potter-and-the-Half-Blood-Prince/achievements,https://www.trueachievements.com/a34399/crest-collector-1-achievement,Crest Collector 1,Completed Crest Collector Level 1,27 Jul 10,(10),10,1.01
https://www.trueachievements.com/game/Harry-Potter-and-the-Half-Blood-Prince/achievements,https://www.trueachievements.com/a34400/grime-buster-achievement,Grime Buster,Cleaned up after Fred and George at The Burrow,27 Jul 10,(10),10,1.0
https://www.trueachievements.com/game/Harry-Potter-and-the-Half-Blood-Prince/achievements,https://www.trueachievements.com/a34401/quidditch-beginner-achievement,Quidditch Beginner,Earned the Quidditch Beginner's Luck Badge,27 Jul 10,(10),10,1.0
https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,https://www.trueachievements.com/a21049/off-the-boat-achievement,Off The Boat,You have completed the first mission.,Offline,(5),5,1.01
https://www.trueachievements.com/game/Game-Room/achievements,https://www.trueachievements.com/a60231/show-me-achievement,Show Me!,Visited the Showcase Arcade,23 Jul 10,(5),5,1.02
https://www.trueachievements.com/game/Game-Room/achievements,https://www.trueachievements.com/a60229/proptastic-achievement,Proptastic,Placed 5 arcade Decorations in your arcade,22 Jul 10,(20),27,1.38
https://www.trueachievements.com/game/Game-Room/achievements,https://www.trueachievements.com/a60228/room-filler-achievement,Room Filler,Filled a Room in your arcade,22 Jul 10,(20),30,1.5
https://www.trueachievements.com/game/Game-Room/achievements,https://www.trueachievements.com/a60230/my-first-decoration-achievement,My First Decoration,Placed 1 Decoration in your arcade,22 Jul 10,(5),6,1.21
https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,https://www.trueachievements.com/a21090/cut-your-teeth-achievement,Cut Your Teeth,You were successfully promoted up a rank in multiplayer.,22 Jul 10,(5),9,1.85
https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,https://www.trueachievements.com/a21098/let-sleeping-rockstars-lie-achievement,Let Sleeping Rockstars Lie,You killed a Rockstar in multiplayer.,15 Jul 10,(10),15,1.52
https://www.trueachievements.com/game/Fuel/achievements,https://www.trueachievements.com/a33596/rocket-science-achievement,Rocket science,Travel 80 meters in a single jump.,28 Jun 10,(15),23,1.58
https://www.trueachievements.com/game/Fuel/achievements,https://www.trueachievements.com/a33566/diy-achievement,DIY,Create a race using the race editor.,28 Jun 10,(15),25,1.68
