achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183917/a-family-friend-achievement,A Family Friend,"Did you spell a rude word on the stones? It doesn't matter now, the annoying Archaeologist is saved!",Offline,(25),45,1.81
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183921/a-wild-jack-appears-achievement,A Wild Jack Appears,"You caught up with Jack, and made the toughest choice of all.",Offline,(50),97,1.94
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183911/are-you-not-entertained-achievement,Are You Not Entertained?!,"You completed the Arena without rest, is this not why you were here?",Offline,(20),36,1.82
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183930/arthur-or-robin-achievement,Arthur or Robin?,"Whether you chose large biceps, or a hawk's-eye - you chose well.",Offline,(15),31,2.09
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183899/as-quiet-as-a-whisper-achievement,As Quiet As A Whisper,"You silenced Whisper in combat, who said chivalry was dead?",Offline,(10),14,1.42
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183936/beauty-or-the-beast-achievement,Beauty Or The Beast,"Mirror, mirror, on the wall. Who's the (insert choice here) of them all?",Offline,(20),35,1.77
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183913/becoming-a-man-achievement,Becoming A Man,"You went to Orchard Farm, made some decisions, and will now live by them.",Offline,(25),32,1.28
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183931/choosing-my-religion-achievement,Choosing My Religion,"Making a sacrifice is never easy. The decisions, the expense. . . the wriggling.",Offline,(15),37,2.47
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183900/feed-the-troll-achievement,Feed The Troll,"Apart from this one time, remember; never, EVER feed the Troll.",Offline,(10),16,1.63
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183918/fishing-in-a-graveyard-achievement,Fishing In A Graveyard,"Who goes fishing in graveyards? It seems you do! Nostro is at peace, so go fish somewhere normal.",Offline,(25),46,1.85
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183926/for-every-choice-an-achievement-achievement,"For Every Choice, An Achievement",Horns or Halo? Your choice of headgear has far reaching consequences.,Offline,(25),45,1.83
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183891/from-the-smallest-acorn-achievement,From The Smallest Acorn,"Your childhood is behind you, next stop: puberty. 5 years of out-of-control hormones awaits you.",Offline,(25),25,1.0
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183906/get-it-off-your-chest-achievement,Get It Off Your Chest,"That's one Silver Key Chest down! You're going to go on to open them all now, right?",Offline,(5),9,1.95
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183940/get-rich-or-die-tryin-achievement,Get Rich Or Die Tryin',"Being a landlord is a bit like being the Grim Reaper, so why not combine the two!",Offline,(15),28,1.88
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183916/gladiator-ready-achievement,"Gladiator, Ready!","You won the Arena, the highest accolade there is for a Hero! Now, onwards to saving the world!",Offline,(25),43,1.74
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183893/hero-their-health-is-low-achievement,"Hero, Their Health Is Low",The healing is not as rewarding as the hurting!,Offline,(5),10,2.09
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183910/i-am-legendary-achievement,I Am Legendary,"You've gone from a Chicken Chaser to a Legendary Hero. All in a day's work, I guess.",Offline,(25),48,1.93
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183933/project-ego-achievement,Project Ego,"The world has seen your ego for what it is, don't let it go to your head.",Offline,(15),26,1.75
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183909/thats-my-man-achievement,That's My Man!,You levelled up a complete abilities tree! Will you now become a real Hero and master all three?,Offline,(20),44,2.2
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183914/the-bloodline-part-i-achievement,The Bloodline Part I,"You located your sister, but little does she know how relevant she is to the future of Albion.",Offline,(25),39,1.58
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183919/the-bloodline-part-ii-achievement,The Bloodline Part II,"You located your mother, but little does she know how irrelevant she is to the future of Albion.",Offline,(25),46,1.86
