achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/MASSIVE-CHALICE/achievements,https://www.trueachievements.com/a201711/sage-right-achievement,"Sage, right?",Appointed a Sagewright,28 May 23,(10),13,1.35
https://www.trueachievements.com/game/MASSIVE-CHALICE/achievements,https://www.trueachievements.com/a201714/graduation-day-achievement,Graduation Day,Your first hero came of age,28 May 23,(10),13,1.31
https://www.trueachievements.com/game/Ghostlore/achievements,https://www.trueachievements.com/a377373/to-arms-achievement,To Arms,Try using each weapon type at least once.,28 May 23,(50),142,2.85
https://www.trueachievements.com/game/Railway-Empire-2/achievements,https://www.trueachievements.com/a379393/a-new-journey-achievement,A new Journey,Activate your first train line,28 May 23,(15),21,1.4
https://www.trueachievements.com/game/Railway-Empire-2/achievements,https://www.trueachievements.com/a379391/departure-achievement,Departure,Buy your first locomotive,28 May 23,(15),20,1.39
https://www.trueachievements.com/game/Railway-Empire-2/achievements,https://www.trueachievements.com/a379389/from-x-to-y-achievement,From X to Y,Connect two towns,28 May 23,(15),21,1.4
https://www.trueachievements.com/game/Railway-Empire-2/achievements,https://www.trueachievements.com/a379419/mind-the-gap-achievement,Mind the Gap,Build a bridge,28 May 23,(15),22,1.47
https://www.trueachievements.com/game/Railway-Empire-2/achievements,https://www.trueachievements.com/a379420/right-through-the-middle-achievement,Right through the middle,Build a tunnel,28 May 23,(15),23,1.54
https://www.trueachievements.com/game/Railway-Empire-2/achievements,https://www.trueachievements.com/a379379/apprentice-achievement,Apprentice,Complete the first tutorial,27 May 23,(15),17,1.19
https://www.trueachievements.com/game/MASSIVE-CHALICE/achievements,https://www.trueachievements.com/a201713/babies-achievement,BABIES!,The first baby was born,26 May 23,(10),11,1.13
https://www.trueachievements.com/game/MASSIVE-CHALICE/achievements,https://www.trueachievements.com/a201708/matchmaker-matchmaker-achievement,Matchmaker Matchmaker,Arranged your first Marriage,26 May 23,(10),10,1.06
https://www.trueachievements.com/game/MASSIVE-CHALICE/achievements,https://www.trueachievements.com/a201709/keep-defending-achievement,Keep Defending,Defended your first Keep,26 May 23,(10),10,1.0
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392386/battlefield-tour-achievement,Battlefield Tour,"Earn a total of 10,000 Valor points.",25 May 23,(50),73,1.46
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392378/cant-take-my-eyes-off-you-achievement,Can't Take My Eyes Off You,Earn 5000 Valor points in one match.,21 May 23,(125),173,1.38
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392387/land-dyed-red-achievement,Land Dyed Red,"Deal a total of 10,000 damage.",21 May 23,(50),59,1.19
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392383/new-warlander-achievement,New Warlander,Create a character.,21 May 23,(50),50,1.0
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392384/stronger-than-yesterday-achievement,Stronger than Yesterday,Edit your equipment.,21 May 23,(50),53,1.06
