achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340621/bobs-your-uncle-achievement,Bob's Your Uncle,Complete The Armory.,31 May 23,(15),26,1.75
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a379009/constant-vigilance-achievement,Constant Vigilance,Kill all variants of the Sentinel.,31 May 23,(10),20,2.06
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340617/enemy-of-mine-achievement,Enemy of Mine,Complete Blue Dog Hollow.,31 May 23,(15),23,1.58
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340618/act-1-recruit-achievement,Act 1 Recruit,Complete all Act 1 maps on Recruit difficulty or higher.,31 May 23,(30),53,1.77
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340636/snitches-get-stitches-achievement,Snitches Get Stitches,Kill a Snitch without it alerting the horde.,30 May 23,(15),32,2.14
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340616/breakfast-can-wait-achievement,Breakfast Can Wait,Complete The Dark Before The Dawn.,29 May 23,(15),21,1.44
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340655/smorgasbord-achievement,Smörgåsbord,Kill at least one of each non-boss Mutation.,29 May 23,(15),20,1.37
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340615/this-rounds-on-me-achievement,This Round's On Me,Complete Search & Rescue.,29 May 23,(15),20,1.37
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340640/no-time-for-a-nap-achievement,No Time for a Nap,Revive a fallen teammate.,29 May 23,(15),16,1.11
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340643/dont-ask-achievement,Don't Ask…,Rescue a teammate from a cocoon.,24 May 23,(15),19,1.32
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340645/expanding-the-arsenal-achievement,Expanding the Arsenal,Spend your first Supply Point.,22 May 23,(15),17,1.18
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340614/paid-the-toll-achievement,Paid the Toll,Complete The Devil's Return.,22 May 23,(15),19,1.28
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340649/dead-quiet-achievement,Dead Quiet,"Complete a map without ever triggering a horde from Reekers, Birds, Snitches, or alarms.",22 May 23,(15),17,1.15
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340650/stacked-deck-achievement,Stacked Deck,Play 25 cards in a single match.,22 May 23,(15),26,1.76
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340641/hippocrates-would-be-proud-achievement,Hippocrates Would be Proud,Heal a teammate.,22 May 23,(15),19,1.3
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340644/cleanup-crew-achievement,Cleanup Crew,Complete a mission without any players being incapacitated or killed.,22 May 23,(15),18,1.23
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340652/nemesis-achievement,Nemesis,Safely descend the ladder in the construction zone in Resurgence.,22 May 23,(15),26,1.76
https://www.trueachievements.com/game/Back-4-Blood/achievements,https://www.trueachievements.com/a340613/welcome-to-the-apocalypse-achievement,Welcome to the Apocalypse,"Good luck out there, you're gunna need it.",22 May 23,(10),10,1.01
https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,https://www.trueachievements.com/a296525/miner-achievement,Miner,Complete your first mission.,21 May 23,(25),25,1.02
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374152/hollow-heart-achievement,Hollow Heart,Survive 1 minute with any character.,20 May 23,(5),5,1.0
https://www.trueachievements.com/game/Double-Kick-Heroes/achievements,https://www.trueachievements.com/a305113/combo-achievement,Combo!,You reached a x9 Combo.,12 May 23,(10),11,1.16
https://www.trueachievements.com/game/Mortal-Shell/achievements,https://www.trueachievements.com/a305614/step-goal-achievement,Step Goal,You killed an enemy with a bear trap.,12 May 23,(25),49,1.98
https://www.trueachievements.com/game/Mortal-Shell/achievements,https://www.trueachievements.com/a305618/flesh-and-instinct-achievement,Flesh and Instinct,You've found your first Shell.,12 May 23,(25),25,1.0
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354667/biglasergun10000-achievement,Big-Laser-Gun-10000,"Complete ""Doomsday Device""",04 May 23,(30),55,1.84
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354681/baddies-go-bzzzzz-achievement,Baddies go 'BZZZZZ',Electrocute 50 enemies without Motoko's help,04 May 23,(30),56,1.89
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354679/gore-master-achievement,Gore Master,Kill 100 enemies with Gore weapons,04 May 23,(40),74,1.86
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354688/what-youre-cooking-here-achievement,What You're Cooking Here?,"Obtain ""Hungry, Hungry Heart"" Gore Tool from Chef Oboru Guruma",04 May 23,(10),18,1.82
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354666/i-dont-have-friends-i-got-egg-achievement,"I don't have friends, I got egg","Complete ""Egg Express""",04 May 23,(30),53,1.77
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354683/its-dangerous-out-there-achievement,It's dangerous out there,Kill 150 enemies with environmental hazards,04 May 23,(40),72,1.8
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354665/lo-wang-first-of-his-name-achievement,"Lo Wang, first of his name","Complete ""Walking on Eggshells""",04 May 23,(30),51,1.72
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354687/your-sword-is-mine-achievement,Your Sword is Mine!,"Obtain ""Blade of Hattori"" Gore Tool from Hattori",04 May 23,(10),15,1.59
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354664/damn-thats-a-big-dam-achievement,"Damn, that's a big dam","Complete ""That Damn Dam""",03 May 23,(30),45,1.5
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354686/new-year-has-come-early-achievement,New Year Has Come Early,"Obtain ""Swarm Launcher"" Gore Tool from Slinky Jakku",03 May 23,(10),14,1.49
