achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189660/iron-belly-achievement,Iron Belly,Stop starvation using Rotten Flesh,26 Jan 22,(20),35,1.79
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a288675/remember-reach-achievement,Remember Reach,Halo: Reach: Play a game of Halo: Reach on the 14th of any month.,15 Jan 22,(5),9,1.94
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346425/passion-for-fashion-achievement,Passion for Fashion,Wore a new armor customization item.,17 Nov 21,(5),5,1.18
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346500/clocking-in-achievement,Clocking In,Completed a Daily Challenge.,17 Nov 21,(5),5,1.1
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346508/sparring-partners-achievement,Sparring Partners,Changed any training mode option.,17 Nov 21,(10),22,2.27
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346507/getting-strong-now-achievement,Getting Strong Now,Launched into Training Mode for the first time.,17 Nov 21,(10),19,1.92
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346509/sharpshooter-achievement,Sharpshooter,Completed a Weapon Drill.,17 Nov 21,(5),8,1.66
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346512/doing-your-part-achievement,Doing Your Part,Completed the Tutorial.,17 Nov 21,(20),34,1.73
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346513/just-the-two-of-us-achievement,Just the Two of Us,Accessed your Personal AI.,17 Nov 21,(5),8,1.69
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346494/which-one-of-us-is-the-machine-achievement,Which One of Us is the Machine?,Got and equip a new AI.,16 Nov 21,(5),6,1.24
