achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37853/ding-novice-achievement,Ding! Novice,Earned level 10,21 Mar 16,(10),10,1.08
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37886/down-in-front-achievement,Down in Front!,Killed 15 enemies with the Soldier's action skill,21 Mar 16,(15),20,1.37
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37867/rootinest-tootinest-shootinest-achievement,"Rootinest, Tootinest, Shootinest",Killed 5 Rakk in under 10 seconds,21 Mar 16,(10),11,1.15
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37871/duelicious-achievement,Duel-icious,Won a duel against another player,21 Mar 16,(15),19,1.29
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37874/and-theyll-tell-two-friends-achievement,And They'll Tell Two Friends,Gamed with fame,21 Mar 16,(10),12,1.26
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37857/discovered-skag-gully-achievement,Discovered Skag Gully,Discovered Skag Gully,21 Mar 16,(5),5,1.03
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37852/ding-newbie-achievement,Ding! Newbie,Earned level 5,21 Mar 16,(5),5,1.02
https://www.trueachievements.com/game/Borderlands/achievements,https://www.trueachievements.com/a37845/paid-in-fyrestone-achievement,Paid in Fyrestone,Completed 5 missions in the Arid Badlands,21 Mar 16,(5),5,1.01
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a211705/youll-shoot-your-eye-out-achievement,You'll Shoot Your Eye Out!,You've damaged an enemy's viewfinder and commander.,10 Mar 16,(10),51,5.16
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a211711/breaking-stuff-achievement,Breaking Stuff,You have destroyed 100 non-track modules on enemy tanks.,09 Mar 16,(20),99,4.98
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a186468/pascucci-achievement,Pascucci,Destroyed three artillery during a match.,22 Feb 16,(10),34,3.49
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a211707/locked-and-loaded-achievement,Locked and Loaded,You have used 3 consumables during a battle.,18 Feb 16,(10),52,5.21
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175946/legendary-hero-achievement,Legendary Hero,Reached the max level.,17 Feb 16,(10),41,4.12
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175972/bad-omen-achievement,Bad omen,Completed all levels in the Jungle Hunt DLC without destroying any voodoo dolls.,17 Feb 16,(20),46,2.32
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175969/the-remedy-achievement,The remedy,Defeated the boss in Act 5.,17 Feb 16,(25),48,1.94
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175973/pool-party-achievement,Pool party,Jumped into the piranha pool next to the boss.,17 Feb 16,(10),19,1.91
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175971/swimming-instructor-achievement,Swimming instructor,Threw 10 enemies into the Naruvu River.,17 Feb 16,(15),29,1.95
https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,https://www.trueachievements.com/a199400/how-long-was-that-runway-achievement,How Long Was That Runway?,Completed the Cargo Plane Showcase,15 Feb 16,(100),135,1.35
https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,https://www.trueachievements.com/a199407/scratch-that-achievement,Scratch That,"Performed 3 ""Trading Paint"" Skills",15 Feb 16,(30),36,1.2
https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,https://www.trueachievements.com/a199398/perks-of-the-job-achievement,Perks of the Job,Acquired the Maserati Ghibli,15 Feb 16,(40),53,1.32
https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,https://www.trueachievements.com/a199397/9-second-car-achievement,9 Second Car,Acquired the Bugatti Veyron,14 Feb 16,(40),50,1.27
https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,https://www.trueachievements.com/a199411/chain-reaction-achievement,Chain Reaction,"Banked a Skill Chain of 15,000 or more",14 Feb 16,(30),41,1.38
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175949/ironhide-achievement,Ironhide,Unlocked 30 different armors.,13 Feb 16,(15),57,3.83
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175963/untouchable-achievement,Untouchable,Completed a level without taking any damage from enemies.,13 Feb 16,(20),52,2.62
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175954/theres-no-david-achievement,There's no David,Killed 20 large enemies while riding a mount.,10 Feb 16,(15),49,3.3
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175968/deconstruction-achievement,Deconstruction,Killed the mini-boss in the Lost Metropolis without being hit by it.,10 Feb 16,(15),53,3.55
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175964/its-over-9000-achievement,"It's over 9,000!!!","Dealt over 9,000 damage with a single attack.",10 Feb 16,(15),46,3.11
https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,https://www.trueachievements.com/a199393/just-dont-scratch-it-achievement,Just don't scratch it,Acquired the McLaren MP1,10 Feb 16,(40),49,1.23
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a211710/silent-assassin-achievement,Silent Assassin,You have destroyed an enemy tank while undetected.,08 Feb 16,(10),29,2.97
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a211706/i-am-a-super-man-achievement,I Am a Super Man,You've blocked more damage than 2x the hitpoints of your tank.,08 Feb 16,(30),107,3.57
https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,https://www.trueachievements.com/a211709/grim-no-more-achievement,Grim No More,"You have earned the ""Reaper"" medal.",07 Feb 16,(10),37,3.74
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175948/arsenal-achievement,Arsenal,Unlocked 100 different weapons.,07 Feb 16,(15),48,3.2
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175960/mutual-benefit-achievement,Mutual benefit,Completed all levels in multiplayer.,07 Feb 16,(15),42,2.84
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175966/tank-me-later-achievement,Tank me later,Completed the Tank Garrison level without using the tank.,06 Feb 16,(15),37,2.52
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175965/pesky-carts-achievement,Pesky carts,Avoided the minecarts in the Mine level.,06 Feb 16,(15),34,2.28
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175956/brute-achievement,Brute,Completed all levels as the Warrior.,05 Feb 16,(10),29,2.94
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175962/invincible-achievement,Invincible,Completed all levels without dying.,05 Feb 16,(20),62,3.13
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175944/you-and-what-army-achievement,You and what army?,Defeated the boss in Act 4.,05 Feb 16,(15),31,2.09
https://www.trueachievements.com/game/Sacred-Citadel/achievements,https://www.trueachievements.com/a175952/heads-up-achievement,Heads up!,Avoided all falling rocks in the Citadel level.,05 Feb 16,(15),51,3.43
