achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250809/adventuring-time-achievement,Adventuring Time,Discover 17 biomes.,27 May 22,(40),50,1.25
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a252307/ahoy-achievement,Ahoy!,Find a shipwreck,26 May 22,(20),46,2.31
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250777/hot-topic-achievement,Hot Topic,Construct a furnace out of eight cobblestone blocks.,26 May 22,(15),18,1.22
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250805/time-to-strike-achievement,Time to Strike!,Use planks and sticks to make a sword.,20 May 22,(10),11,1.16
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250758/getting-an-upgrade-achievement,Getting an Upgrade,Construct a better pickaxe.,20 May 22,(15),17,1.15
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250761/time-to-mine-achievement,Time to Mine!,Use planks and sticks to make a pickaxe.,20 May 22,(10),11,1.11
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250789/monster-hunter-achievement,Monster Hunter,Attack and destroy a monster.,20 May 22,(15),16,1.12
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250770/cow-tipper-achievement,Cow Tipper,Harvest some leather.,20 May 22,(15),18,1.21
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250760/benchmaking-achievement,Benchmaking,Craft a workbench with four blocks of wooden planks.,18 May 22,(10),11,1.1
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250762/getting-wood-achievement,Getting Wood,Punch a tree until a block of wood pops out.,18 May 22,(10),10,1.05
https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,https://www.trueachievements.com/a250763/taking-inventory-achievement,Taking Inventory,Open your inventory.,18 May 22,(10),10,1.0
https://www.trueachievements.com/game/Kinect-Sports/achievements,https://www.trueachievements.com/a67468/hattrick-hero-achievement,Hat-trick Hero,Scored a perfect hat-trick in a match in Football,24 Dec 15,(15),26,1.74
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26913/last-best-hope-of-humanity-achievement,"Last, Best Hope of Humanity",Reached Level 20 with Good Karma,11 Sep 15,(30),50,1.69
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26898/tenpenny-tower-achievement,Tenpenny Tower,"Completed ""Tenpenny Tower""",22 Aug 15,(20),30,1.53
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26903/agathas-song-achievement,Agatha's Song,"Completed ""Agatha's Song""",15 Aug 15,(20),34,1.73
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26915/doesnt-play-well-with-others-achievement,Doesn't Play Well with Others,Killed 300 people,29 Jul 15,(20),33,1.68
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26901/stealing-independence-achievement,Stealing Independence,"Completed ""Stealing Independence""",26 Jul 15,(20),31,1.59
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26910/ambassador-of-peace-achievement,Ambassador of Peace,Reached Level 14 with Good Karma,26 Jul 15,(20),31,1.55
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26916/slayer-of-beasts-achievement,Slayer of Beasts,Killed 300 creatures,25 Jul 15,(20),29,1.45
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26921/psychotic-prankster-achievement,Psychotic Prankster,Placed a grenade or mine while pickpocketing,25 Jul 15,(10),16,1.61
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26919/keys-are-for-cowards-achievement,Keys are for Cowards,Picked 50 locks,23 Jul 15,(20),31,1.55
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26900/you-gotta-shoot-em-in-the-head-achievement,You Gotta Shoot 'Em in the Head,"Completed ""You Gotta Shoot 'Em in the Head""",19 Jul 15,(20),35,1.76
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26879/galaxy-news-radio-achievement,Galaxy News Radio,"Completed ""Galaxy News Radio""",17 Jul 15,(20),26,1.34
https://www.trueachievements.com/game/Fallout-3/achievements,https://www.trueachievements.com/a26895/blood-ties-achievement,Blood Ties,"Completed ""Blood Ties""",11 Jul 15,(20),28,1.42
