achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363039/temple-warrior-achievement,Temple Warrior,"In a single game, defeat 5 enemies in Shadowjade Mine.",Yesterday,(15),38,2.56
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363020/miracle-encounter-achievement,Miracle Encounter,Kill a Golden Toad.,01 Jun 23,(15),35,2.36
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363041/captains-bloodlust-achievement,Captain's Bloodlust,"In a single game, defeat 5 enemies in Shipwreck Expanse.",01 Jun 23,(15),30,2.03
https://www.trueachievements.com/game/Farworld-Pioneers/achievements,https://www.trueachievements.com/a394290/you-monster-achievement,You Monster!,Allow Buddy to die.,30 May 23,(60),69,1.15
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363038/divine-lord-achievement,Divine Lord,"In a single game, defeat 5 enemies in Celestra.",29 May 23,(15),20,1.36
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363040/sunwings-messenger-achievement,Sunwing's Messenger,"In a single game, defeat 5 enemies in Sunwing's Rest.",26 May 23,(15),33,2.25
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391009/this-is-the-world-we-live-in-achievement,This Is The World We Live In,Complete the tutorial,26 May 23,(10),14,1.4
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391026/spread-your-wings-achievement,Spread Your Wings,Obtain the Mothwing Glide ability,26 May 23,(10),12,1.27
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391007/kayleigh-achievement,Kayleigh,Unlock Kayleigh,26 May 23,(5),5,1.17
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391008/counting-sheep-achievement,Counting Sheep,Obtain Bansheep,26 May 23,(5),5,1.11
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391010/i-want-candy-achievement,I Want Candy,Obtain Candevil,26 May 23,(5),9,1.95
https://www.trueachievements.com/game/Darkest-Dungeon/achievements,https://www.trueachievements.com/a248418/a-killer-of-striking-force-and-wit-achievement,A killer of striking force and wit...,Kill 50 enemies with one hero,24 May 23,(15),36,2.46
https://www.trueachievements.com/game/Darkest-Dungeon/achievements,https://www.trueachievements.com/a248402/weeding-out-the-weak-achievement,Weeding out the weak...,Dismiss your first hero,24 May 23,(15),32,2.17
https://www.trueachievements.com/game/Eastern-Exorcist/achievements,https://www.trueachievements.com/a393094/python-yaksha-achievement,Python Yaksha,Eliminate Python Yaksha,24 May 23,(15),21,1.43
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363018/deep-pockets-achievement,Deep Pockets,"Possess 30,000 Dark Tide Coins.",24 May 23,(15),27,1.86
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363036/yis-instrument-achievement,Yi's Instrument,"Deal 5,000 damage with Swarms.",21 May 23,(15),68,4.56
https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,https://www.trueachievements.com/a363006/apogee-achievement,Apogee,Attain 'Undying Glory' 20 times.,21 May 23,(100),305,3.05
https://www.trueachievements.com/game/Fable-Anniversary/achievements,https://www.trueachievements.com/a183891/from-the-smallest-acorn-achievement,From The Smallest Acorn,"Your childhood is behind you, next stop: puberty. 5 years of out-of-control hormones awaits you.",19 May 23,(25),25,1.0
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27108/the-pied-piper-achievement,The Pied Piper,"You, or a friend, threw a really swinging party. No one spreads joy like a Hero.",18 May 23,(10),12,1.24
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27091/the-romantic-achievement,The Romantic,"You, or a friend, organised the perfect date. Let's hope it was worth the trouble.",18 May 23,(10),17,1.75
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27122/the-artisan-achievement,The Artisan,"You, or a friend, showed what it takes to be a model employee.",18 May 23,(10),13,1.32
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27099/the-hero-of-many-names-achievement,The Hero of Many Names,"You, or a friend, changed titles. We still know who you really are. No one hides from us.",18 May 23,(5),5,1.11
https://www.trueachievements.com/game/Ghostlore/achievements,https://www.trueachievements.com/a377351/coming-of-age-achievement,Coming of Age,Listen to what the Master Ghosthunter has to say when you reach Seaport for the first time.,18 May 23,(10),10,1.02
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27092/the-spouse-achievement,The Spouse,"You, or a friend, got married! You don't remember the wedding night? You were probably drunk.",18 May 23,(10),11,1.14
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27090/the-persuader-achievement,The Persuader,"You, or a friend, convinced someone to hand over a present.",18 May 23,(5),5,1.11
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27128/the-hero-of-strength-achievement,The Hero of Strength,You were there when the Hero of Strength was recruited.,18 May 23,(100),110,1.1
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27086/the-showoff-achievement,The Show-off,"You, or a friend, performed a perfect expression and impressed a villager. Heroes are such a posers.",18 May 23,(5),5,1.03
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27124/the-muse-achievement,The Muse,The whole of Albion has heard the songs you've commissioned about yourself. Show-off.,18 May 23,(5),5,1.14
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27089/the-dog-trainer-achievement,The Dog Trainer,"Your dog, or another Hero's, has one more trick in his repertoire.",18 May 23,(5),5,1.06
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27098/the-workhorse-achievement,The Workhorse,There is nothing more fulfilling than doing one's job well!,18 May 23,(10),10,1.07
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27084/the-new-hero-achievement,The New Hero,Thag the Impatient has been defeated. Albion has a new Hero.,18 May 23,(50),51,1.03
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27087/the-pooch-pamperer-achievement,The Pooch Pamperer,"You, or your friend, played fetch with the dog. That little fellow just loves to play.",18 May 23,(5),5,1.06
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27088/the-archaeologist-achievement,The Archaeologist,"You, or a friend, excavated a site discovered by the dog and found something.",18 May 23,(5),5,1.03
https://www.trueachievements.com/game/Fable-2/achievements,https://www.trueachievements.com/a27085/the-whippersnapper-achievement,The Whippersnapper,A child Hero collected five gold pieces for a fateful purpose.,17 May 23,(25),25,1.0
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297697/diamond-sword-achievement,Diamond Sword,"Defeat 2,500 mobs.",17 May 23,(30),40,1.36
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297706/oooh-shiny-achievement,Oooh! Shiny!,"Collect a total of 5,000 emeralds.",17 May 23,(100),148,1.48
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297698/passive-aggressive-achievement,Passive Aggressive,Defeat 50 passive mobs.,17 May 23,(10),14,1.44
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a349356/meet-and-greet-achievement,Meet and Greet,Make a purchase from each of the tower's vendors.,17 May 23,(10),39,3.97
