achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/ROBLOX/achievements,https://www.trueachievements.com/a211714/trailblazer-achievement,Trailblazer,Played 15 different Roblox games.,26 Jan 19,(200),234,1.17
https://www.trueachievements.com/game/ROBLOX/achievements,https://www.trueachievements.com/a211717/one-name-many-faces-achievement,"One Name, Many Faces",You changed your avatar's look!,26 Jan 19,(50),56,1.12
https://www.trueachievements.com/game/ROBLOX/achievements,https://www.trueachievements.com/a211713/explorer-achievement,Explorer,You played 5 different Roblox games.,26 Jan 19,(50),53,1.06
https://www.trueachievements.com/game/ROBLOX/achievements,https://www.trueachievements.com/a211712/scout-achievement,Scout,You played a Roblox game!,26 Jan 19,(10),10,1.01
https://www.trueachievements.com/game/TNT-Racers/achievements,https://www.trueachievements.com/a147102/wrong-direction-achievement,Wrong Direction,"Complete a lap on Peak in 18.1s - driving in the wrong direction, multiplayer only.",23 Feb 13,(10),36,3.62
https://www.trueachievements.com/game/Prizefighter/achievements,https://www.trueachievements.com/a21984/whos-winning-then-achievement,Who's Winning Then?,That's what friends are for! Played ten back to back Multiplayer games.,08 Jan 13,(10),35,3.53
https://www.trueachievements.com/game/Prizefighter/achievements,https://www.trueachievements.com/a21986/loser-achievement,Loser!,You Loser... Lost 3 fights in a row.,08 Jan 13,(3),4,1.55
https://www.trueachievements.com/game/Prizefighter/achievements,https://www.trueachievements.com/a21956/first-steps-achievement,First Steps,Now the hard work starts... Turned Pro.,08 Jan 13,(5),5,1.07
https://www.trueachievements.com/game/Prizefighter/achievements,https://www.trueachievements.com/a21957/new-kid-on-the-block-achievement,New Kid On The Block,"Don't take any trash talk out there, kid! Created a Career boxer.",08 Jan 13,(5),5,1.03
https://www.trueachievements.com/game/UFC-Undisputed-3/achievements,https://www.trueachievements.com/a160896/first-of-many-achievement,First of Many!,Win a ranked Xbox LIVE match for the first time.,14 Dec 12,(10),28,2.8
https://www.trueachievements.com/game/UFC-Undisputed-3/achievements,https://www.trueachievements.com/a160908/making-it-rain-achievement,Making it Rain,"10,000 or more shop points accumulated.",29 Nov 12,(15),19,1.27
https://www.trueachievements.com/game/UFC-Undisputed-3/achievements,https://www.trueachievements.com/a160884/online-amateur-achievement,Online Amateur,Play 10 or more ranked Xbox LIVE matches.,29 Nov 12,(10),34,3.41
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157684/brag-rags-achievement,Brag Rags,Earn 1 star in Special Ops Mission Mode.,15 Nov 12,(10),11,1.16
https://www.trueachievements.com/game/Need-for-Speed-Shift-2-Unleashed/achievements,https://www.trueachievements.com/a148679/i-am-iron-man-achievement,I. Am. Iron Man.,Placed 1st in 5 consecutive Online events,18 Feb 12,(10),39,3.93
https://www.trueachievements.com/game/Need-for-Speed-Shift-2-Unleashed/achievements,https://www.trueachievements.com/a148707/im-going-to-hollywood-achievement,I'm Going To Hollywood!,Got through the Qualifying round in the Driver Duel Championship,18 Feb 12,(10),33,3.38
https://www.trueachievements.com/game/Need-for-Speed-Shift-2-Unleashed/achievements,https://www.trueachievements.com/a148685/proving-grounds-achievement,Proving Grounds,Won JR's GTR Challenge,18 Feb 12,(10),15,1.55
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153485/level-15-achievement,Level 15,Reached level 15.,17 Feb 12,(15),18,1.26
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153484/level-10-achievement,Level 10,Reached level 10.,06 Feb 12,(10),10,1.07
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153483/level-5-achievement,Level 5,Reached level 5.,03 Feb 12,(5),5,1.02
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153472/welcome-to-horde-mode-achievement,Welcome to Horde Mode,Survived the first 10 waves of Horde.,14 Dec 11,(10),13,1.33
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a159504/zeta-team-go-achievement,"Zeta Team, Go!",Defeated the first 10 waves of Horde with every member of Zeta in your party.,14 Dec 11,(75),270,3.6
https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Advanced-Warfighter/achievements,https://www.trueachievements.com/a12215/master-of-ceremonies-achievement,Master of Ceremonies,Hosted 1000 matches,05 Jul 11,(24),176,7.33
https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Advanced-Warfighter/achievements,https://www.trueachievements.com/a12217/committed-multiplayer-achievement,Committed (Multiplayer),Played for 8 hours straight in multiplayer,05 Jun 11,(28),128,4.57
https://www.trueachievements.com/game/PDC-Darts-Pro-Tour/achievements,https://www.trueachievements.com/a78029/whole-achievement,Whole,Complete a game of Half-It without being halved,12 Mar 11,(20),29,1.49
https://www.trueachievements.com/game/PDC-Darts-Pro-Tour/achievements,https://www.trueachievements.com/a78005/fives-alive-achievement,Five's alive,Score '36' after three darts in a game of Fives,12 Mar 11,(15),21,1.46
https://www.trueachievements.com/game/PDC-Darts-Pro-Tour/achievements,https://www.trueachievements.com/a78011/lipstick-achievement,Lipstick,Score a treble 20,12 Mar 11,(5),5,1.0
https://www.trueachievements.com/game/PDC-Darts-Pro-Tour/achievements,https://www.trueachievements.com/a78001/demon-bowler-us-achievement,Demon bowler US,Hit three consecutive numbers in three consecutive darts in one turn of US rules Cricket,12 Mar 11,(5),7,1.47
https://www.trueachievements.com/game/PDC-Darts-Pro-Tour/achievements,https://www.trueachievements.com/a78003/doubling-up-achievement,Doubling up,Finish a game of Black & White with a score of 20 or more,12 Mar 11,(15),21,1.43
https://www.trueachievements.com/game/PDC-Darts-Pro-Tour/achievements,https://www.trueachievements.com/a78009/keeping-time-achievement,Keeping time,Hit three consecutive numbers in three consecutive darts in one turn of Around The Clock,12 Mar 11,(10),12,1.27
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71964/collector-achievement,Collector,Collect 2000 B.I.N.K.E.Y. in any single level as Megamind,Offline,(50),50,1.01
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71966/destruction-doom-achievement,Destruction Doom,"Complete ""Demolition Site"" Level as Megamind",Offline,(40),41,1.03
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71967/downtown-domination-achievement,Downtown Domination,"Complete ""Downtown"" Level as Megamind",Offline,(30),30,1.02
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71973/lair-clean-up-achievement,Lair Clean Up,Collect 150 B.I.N.K.E.Y. in the Lair as Megamind,Offline,(25),25,1.01
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71974/mega-collector-achievement,Mega Collector,Collect 3000 B.I.N.K.E.Y. in any single level as Megamind,Offline,(75),76,1.02
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71978/megaskill-achievement,Mega-Skill,Complete any story mission without dying as Megamind,Offline,(50),51,1.03
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71979/museum-master-achievement,Museum Master,"Complete ""The Museum"" Level as Megamind",Offline,(30),30,1.0
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71980/pod-race-achievement,Pod Race,Unlock the Pod Race mini-game as Megamind,Offline,(25),25,1.02
https://www.trueachievements.com/game/Megamind/achievements,https://www.trueachievements.com/a71963/assistant-collector-achievement,Assistant Collector,Collect 1000 B.I.N.K.E.Y. in any single level as Megamind,Offline,(25),25,1.0
https://www.trueachievements.com/game/Pure/achievements,https://www.trueachievements.com/a25951/finished-an-event-achievement,Finished an event,Complete an event.,31 Dec 10,(5),5,1.02
https://www.trueachievements.com/game/FIFA-Street-3/achievements,https://www.trueachievements.com/a13486/timed-match-achievement,Timed Match,Complete a Timed match with the lead FIFA Street 3 profile.,12 Oct 10,(15),15,1.04
https://www.trueachievements.com/game/FIFA-Street-3/achievements,https://www.trueachievements.com/a13467/street-fever-achievement,Street Fever,Complete an Xbox LIVE match against another player who has Street Fever with the lead FS3 profile.,12 Oct 10,(45),84,1.87
https://www.trueachievements.com/game/FIFA-Street-3/achievements,https://www.trueachievements.com/a13468/get-online-achievement,Get Online,Complete a ranked or unranked match with the lead FIFA Street 3 profile on Xbox LIVE.,12 Oct 10,(25),44,1.79
https://www.trueachievements.com/game/Track-and-Field/achievements,https://www.trueachievements.com/a11551/bird-catcher-achievement,Bird Catcher,Spear a bird!,Offline,(15),18,1.21
https://www.trueachievements.com/game/Track-and-Field/achievements,https://www.trueachievements.com/a11549/super-sprinter-achievement,Super Sprinter,Complete the 100 Meter Dash in less than 10 seconds.,Offline,(10),10,1.09
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12613/archer-apparel-achievement,Archer Apparel,Unlocked all the outfits for Hawkeye.,Offline,(20),40,2.0
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12636/battle-tested-achievement,Battle Tested,Won 1 Arcade Mode Level.,Offline,(5),10,2.03
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12615/creeds-cloth-achievement,Creed's Cloth,Unlocked all the outfits for Sabretooth.,Offline,(20),38,1.94
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12612/dooms-duds-achievement,Doom's Duds,Unlocked all the outfits for Doom.,Offline,(20),38,1.92
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12622/gamma-garb-achievement,Gamma Garb,Unlocked all the outfits for the Hulk.,Offline,(20),35,1.79
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12618/magnetic-regalia-achievement,Magnetic Regalia,Unlocked all the outfits for Magneto.,Offline,(20),39,1.95
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12619/optic-outfits-achievement,Optic Outfits,Unlocked all the outfits for Cyclops.,Offline,(20),38,1.93
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12614/teleport-threads-achievement,Teleport Threads,Unlocked all the outfits for Nightcrawler,Offline,(20),39,1.95
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12665/blue-screen-of-death-achievement,Blue Screen of Death,M.O.D.O.K was defeated.,Offline,(15),18,1.22
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12654/defeated-grey-gargoyle-achievement,Defeated Grey Gargoyle,Grey Gargoyle was defeated.,Offline,(15),20,1.36
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12668/dragon-slayer-achievement,Dragon Slayer,Fin Fang Foom was defeated.,Offline,(15),16,1.1
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12669/fledgling-super-hero-achievement,Fledgling Super Hero,Defeated 10 enemies.,Offline,(5),5,1.0
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12656/i-have-a-friend-achievement,I have a friend,Completed a level with at least 1 other player.,Offline,(5),6,1.24
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12666/legendary-super-hero-achievement,Legendary Super Hero,Defeated 100 enemies.,Offline,(15),17,1.17
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12653/mandarins-downfall-achievement,Mandarin's Downfall,The evil Mandarin was crushed by the forces of good.,Offline,(45),62,1.38
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12661/pugilist-achievement,Pugilist,Performed 5 Finishing Moves.,Offline,(5),5,1.15
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12655/super-hero-team-achievement,Super Hero Team,Completed 25 levels with at least 1 other player.,Offline,(15),29,1.93
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12658/swimming-with-the-fish-achievement,Swimming with the Fish,The mighty Kraken was defeated.,Offline,(15),19,1.31
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12616/symbiote-skins-achievement,Symbiote Skins,Unlocked all the outfits for Venom.,Offline,(20),38,1.9
https://www.trueachievements.com/game/Marvel-Ultimate-Alliance/achievements,https://www.trueachievements.com/a12659/underwater-battle-achievement,Underwater Battle,Tigershark and Attuma were defeated.,Offline,(15),19,1.31
https://www.trueachievements.com/game/Madden-NFL-06/achievements,https://www.trueachievements.com/a13631/activate-rs-card-achievement,Activate RS Card,Activate any of the RS cards.,Offline,(10),10,1.06
https://www.trueachievements.com/game/Madden-NFL-06/achievements,https://www.trueachievements.com/a13627/complete-an-offline-game-achievement,Complete an Offline Game,Successfully complete an offline game,Offline,(30),30,1.01
https://www.trueachievements.com/game/Madden-NFL-06/achievements,https://www.trueachievements.com/a13625/enter-history-book-achievement,Enter History Book,Enter any of the history book screens in Franchise mode.,Offline,(10),11,1.11
https://www.trueachievements.com/game/Madden-NFL-06/achievements,https://www.trueachievements.com/a13623/four-sacks-in-one-game-achievement,Four Sacks in One Game,Amass four sacks in one game.,Offline,(100),108,1.08
