achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368545/becoming-unplayable-achievement,Becoming Unplayable,Unlock all the traits within a skill-tree in Pro Clubs,28 May 23,(15),48,3.25
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387722/back-to-back-jacks-achievement,Back to Back Jacks!,Hit back to back home runs within any mode. (Excludes simulated gameplay),28 May 23,(70),98,1.4
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387727/designated-dinger-achievement,Designated Dinger,"In any mode, hit a home run with your team's Designated Hitter. (Excludes simulated gameplay)",28 May 23,(40),51,1.29
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387741/to-the-moon-achievement,To the Moon!,Hit a HR with at least 5 seconds or more of hang time. (Excludes simulated gameplay),28 May 23,(20),21,1.05
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387726/guess-whats-coming-achievement,Guess What's Coming,"In any game mode, strikeout a batter using only one type of pitch. Excludes simulation, Quick Counts",28 May 23,(40),46,1.16
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387735/looking-good-achievement,Looking Good!,Create your team's custom uniform in Diamond Dynasty.,28 May 23,(20),44,2.2
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368549/make-the-grade-achievement,Make the Grade,Receive an A grade in a Pro Clubs Skill Game,24 May 23,(30),74,2.47
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368548/specialist-achievement,Specialist,Unlock an Archetype in Pro Clubs,24 May 23,(15),37,2.51
https://www.trueachievements.com/game/Among-Us/achievements,https://www.trueachievements.com/a379434/hidden-talent-achievement,HIDDEN TALENT,Survive a Game as Crew in Hide n Seek Mode,22 May 23,(15),49,3.28
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368527/sharing-is-caring-achievement,Sharing is Caring,Purchase a shareable item in the VOLTA Shop,22 May 23,(30),88,2.95
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368525/shop-till-you-drop-achievement,Shop till you drop,Purchase an item in the VOLTA Shop,22 May 23,(15),38,2.54
https://www.trueachievements.com/game/Among-Us/achievements,https://www.trueachievements.com/a345748/slasher-achievement,SLASHER,Win a game by killing all crewmates as Impostor.,21 May 23,(40),55,1.39
https://www.trueachievements.com/game/Among-Us/achievements,https://www.trueachievements.com/a345757/circumventer-achievement,CIRCUMVENTER,Win a game without using vents as Impostor.,21 May 23,(90),138,1.54
