achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191301/how-do-you-feel-achievement,How Do You Feel?,"Completed ""The Quarantine""",16 Sep 20,(10),19,1.94
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191331/power-games-achievement,Power Games,Accessed 10 different rewire points,11 Sep 20,(10),18,1.88
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191300/you-shouldnt-be-there-achievement,You Shouldn't Be There.,"Completed ""Seegson Communications""",11 Sep 20,(10),17,1.73
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191319/not-a-scratch-achievement,Not a Scratch,Escaped from android combat without taking damage,11 Sep 20,(20),33,1.65
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191334/fault-detected-achievement,Fault Detected,Killed an Android,11 Sep 20,(20),32,1.61
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191317/every-bullet-counts-achievement,Every Bullet Counts,Used the revolver,11 Sep 20,(10),15,1.54
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191326/build-to-survive-achievement,Build to Survive,Constructed an item,11 Sep 20,(5),6,1.21
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191299/a-hunt-begins-achievement,A Hunt Begins,"Completed ""Encounters""",11 Sep 20,(10),15,1.5
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191321/a-perfect-organism-achievement,A Perfect Organism,Encountered the Alien in Sevastopol for the first time,11 Sep 20,(10),14,1.41
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191318/self-defense-achievement,Self Defense,Killed 10 humans,10 Sep 20,(10),22,2.28
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191322/shes-in-the-vents-achievement,She's in the Vents...,Used the vent system 20 times,10 Sep 20,(20),31,1.56
https://www.trueachievements.com/game/Alien-Isolation/achievements,https://www.trueachievements.com/a191311/the-missing-achievement,The Missing,Collected an ID tag,10 Sep 20,(10),12,1.21
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274337/knights-achievement,Knights!,Complete all chapters,29 Aug 20,(100),135,1.35
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274338/coronation-achievement,Coronation,Complete chapter 16,29 Aug 20,(30),40,1.34
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274340/the-blacksmith-achievement,The Blacksmith,Find Rodric's forge,28 Aug 20,(15),23,1.57
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274342/remembrance-achievement,Remembrance,Complete chapter 15,28 Aug 20,(15),19,1.31
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274344/blood-ties-achievement,Blood Ties,Complete chapter 14,28 Aug 20,(15),19,1.3
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274345/penance-achievement,Penance,Complete chapter 13,28 Aug 20,(15),19,1.29
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274346/all-that-remains-achievement,All That Remains,Complete chapter 12,28 Aug 20,(15),19,1.29
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274349/alive-achievement,Alive,Complete chapter 11,28 Aug 20,(15),19,1.28
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274350/the-way-of-roses-achievement,The Way of Roses,Complete chapter 10,28 Aug 20,(15),19,1.28
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274351/in-the-shadow-of-ramparts-achievement,In the Shadow of Ramparts,Complete chapter 9,28 Aug 20,(15),19,1.27
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274353/alchemist-achievement,Alchemist,Craft 100 ammunitions,28 Aug 20,(15),19,1.27
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274355/our-home-achievement,Our Home,Complete chapter 8,28 Aug 20,(15),18,1.24
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274357/the-path-before-us-achievement,The Path Before Us,Complete chapter 7,28 Aug 20,(15),18,1.23
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274358/damaged-goods-achievement,Damaged Goods,Complete chapter 6,28 Aug 20,(15),18,1.21
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274359/the-ravens-spoils-achievement,The Ravens' Spoils,Complete chapter 5,27 Aug 20,(15),17,1.19
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274361/the-apprentice-achievement,The Apprentice,Complete chapter 4,27 Aug 20,(15),17,1.15
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274362/retribution-achievement,Retribution,Complete chapter 3,27 Aug 20,(15),16,1.1
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a288685/im-sorry-dave-achievement,"I'm Sorry, Dave",Halo: Reach: Find the hidden binary signature.,10 May 20,(5),6,1.32
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193125/your-journey-begins-achievement,Your Journey Begins,Complete a campaign mission or a match of multiplayer.,10 May 20,(5),5,1.0
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242837/keep-playing-achievement,Keep Playing,Wait for the game to resume after the credits,08 May 20,(10),15,1.56
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242809/revolution-achievement,Revolution,Beat the game,08 May 20,(50),77,1.55
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242798/the-ausmerzer-achievement,The Ausmerzer,Capture the Ausmerzer,08 May 20,(10),15,1.55
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242834/retro-achievement,Retro,Play Wolfstone 3D,07 May 20,(10),15,1.54
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242797/venus-achievement,Venus,Travel to outer space,06 May 20,(10),14,1.48
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242796/sermons-and-moonshine-achievement,Sermons and Moonshine,Recruit Horton's group,05 May 20,(10),14,1.46
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,https://www.trueachievements.com/a242827/plus-package-achievement,Plus Package,Upgrade a Contraption,05 May 20,(20),32,1.6
