achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267624/scavenger-achievement,Scavenger,Find and take 80 items from the world.,13 Apr 23,(15),16,1.11
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267655/first-blood-achievement,First Blood,Destroy your first machine.,13 Apr 23,(15),15,1.0
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216085/group-health-plan-achievement,Group Health Plan,Restore 150 health for 4 allies without dying as Mercy in Quick or Competitive Play.,25 Mar 23,(15),22,1.48
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216059/level-10-achievement,Level 10,Earn 10 battle pass tiers.,25 Mar 23,(20),22,1.13
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a244235/simple-trigonometry-achievement,Simple Trigonometry,Fully deplete both types of Moira's Biotic Orb without dying in Quick or Competitive Play.,15 Mar 23,(15),28,1.91
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216094/cant-touch-this-achievement,Can't Touch This,Prevent the attacking team from touching the payload for 1 minute in Quick or Competitive Play.,15 Mar 23,(20),21,1.08
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216069/decorated-achievement,Decorated,Complete 50 challenges.,18 Jan 23,(20),21,1.08
https://www.trueachievements.com/game/EA-SPORTS-UFC-3/achievements,https://www.trueachievements.com/a246800/ufc-1-the-beginning-achievement,UFC 1: The Beginning,Complete the UFC 3 Introduction.,17 Jan 23,(25),26,1.07
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216095/shutout-achievement,Shutout,Win a Control map without the enemy capturing an objective in Quick or Competitive Play.,16 Jan 23,(20),22,1.14
https://www.trueachievements.com/game/Stranded-Deep/achievements,https://www.trueachievements.com/a298222/back-to-the-stone-age-achievement,Back to the stone age,Crafted a stone tool,15 Jan 23,(20),20,1.0
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a199115/be-prepared-achievement,Be Prepared,You completed a Heist Setup.,05 Jan 23,(10),12,1.28
https://www.trueachievements.com/game/ROBLOX/achievements,https://www.trueachievements.com/a211716/marathon-achievement,Marathon,You played a Roblox game for one hour!,30 Dec 22,(50),59,1.19
https://www.trueachievements.com/game/ROBLOX/achievements,https://www.trueachievements.com/a211721/strength-in-numbers-achievement,Strength in Numbers,You joined an Xbox party and played Roblox.,30 Dec 22,(45),56,1.25
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60162/bitter-sweet-achievement,Bitter Sweet,Save Beatrice,Offline,(50),72,1.45
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60165/brotherhood-achievement,Brotherhood,Defeat Francesco,Offline,(40),57,1.43
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60170/confessional-achievement,Confessional,Kill 5 Heretics,Offline,(10),14,1.4
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60172/gates-of-dis-achievement,Gates of Dis,Enter the lower circles of The Inferno,Offline,(35),48,1.39
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60163/indigestion-achievement,Indigestion,Kill 5 Gluttons,Offline,(10),14,1.44
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60159/lucifers-match-achievement,Lucifer's Match,Defeat the Emperor of the Woeful Realm,Offline,(100),147,1.47
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60167/old-friend-achievement,Old Friend,Find and absolve Brunetto Latini,Offline,(20),31,1.56
https://www.trueachievements.com/game/Dantes-Inferno/achievements,https://www.trueachievements.com/a60174/sorcerers-apprentice-achievement,Sorcerer's Apprentice,Open 20 Mana fountains,Offline,(10),14,1.4
