achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/SoulCalibur-V/achievements,https://www.trueachievements.com/a160541/history-repeats-achievement,History Repeats,Battled in SOULCALIBUR V for the first time (excluding training and VS battle).,Offline,(5),5,1.0
https://www.trueachievements.com/game/Ms-Splosion-Man/achievements,https://www.trueachievements.com/a152847/hell-hath-no-fury-achievement,Hell Hath No Fury,Destroy 10 pieces of scenery.,Offline,(5),5,1.0
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165261/combo-hero-achievement,Combo Hero,Do a finishing move,05 Apr 15,(20),23,1.18
https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,https://www.trueachievements.com/a185857/in-a-hole-in-the-ground-achievement,In a hole in the ground...,Complete ''An Unexpected Party'',Offline,(25),26,1.04
https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,https://www.trueachievements.com/a185860/more-of-a-letteropener-really-achievement,"More of a letter-opener, really!",Complete ''The Troll Hoard'',Offline,(25),28,1.15
https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,https://www.trueachievements.com/a185858/slunk-back-from-whence-he-came-achievement,Slunk back from whence he came,Complete ''Azog the Defiler'',Offline,(25),27,1.08
https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,https://www.trueachievements.com/a185890/someone-to-share-in-an-adventure-achievement,Someone to share in an adventure,Play a level in co-op,Offline,(10),12,1.28
https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,https://www.trueachievements.com/a185862/thatll-do-it-achievement,That'll do it...,Complete ''Goblin Town'',Offline,(25),30,1.21
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163952/hot-topic-achievement,Hot Topic,Construct a furnace out of eight cobblestone blocks.,21 Jul 14,(15),15,1.05
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163954/benchmarking-achievement,Benchmarking,Craft a workbench with four blocks of wooden planks.,21 Jul 14,(10),10,1.02
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163951/cow-tipper-achievement,Cow Tipper,Harvest some leather.,21 Jul 14,(15),15,1.04
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163963/time-to-strike-achievement,Time to Strike!,Use planks and sticks to make a sword.,21 Jul 14,(10),10,1.07
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163953/time-to-mine-achievement,Time to Mine!,Use planks and sticks to make a pickaxe.,21 Jul 14,(10),10,1.03
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163956/taking-inventory-achievement,Taking Inventory,Open your inventory.,21 Jul 14,(10),10,1.0
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163955/getting-wood-achievement,Getting Wood,Punch a tree until the block of wood pops out.,21 Jul 14,(10),10,1.0
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165241/down-to-earth-achievement,Down to Earth,Complete story level 10,Offline,(25),34,1.38
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165242/underground-retreat-achievement,Underground Retreat,Complete story level 11,Offline,(25),34,1.39
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165240/research-and-development-achievement,Research and Development,Complete story level 9,02 Mar 13,(25),34,1.37
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165239/destination-metropolis-achievement,Destination Metropolis,Complete story level 8,02 Mar 13,(25),33,1.35
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165238/unwelcome-guests-achievement,Unwelcome Guests,Complete story level 7,02 Mar 13,(25),33,1.32
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165237/chemical-signature-achievement,Chemical Signature,Complete story level 6,09 Feb 13,(25),32,1.3
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165231/chemical-crisis-achievement,Chemical Crisis,Complete story level 5,09 Feb 13,(25),31,1.27
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165232/its-a-bird-its-a-plane-achievement,It's A Bird... It's A Plane...,Fly with Superman,09 Feb 13,(20),24,1.24
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165233/asylum-assignment-achievement,Asylum Assignment,Complete story level 4,20 Jan 13,(25),30,1.2
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165234/arkham-asylum-antics-achievement,Arkham Asylum Antics,Complete story level 3,20 Jan 13,(25),28,1.15
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165235/harboring-a-criminal-achievement,Harboring a Criminal,Complete story level 2,20 Jan 13,(25),27,1.09
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165236/theatrical-pursuits-achievement,Theatrical Pursuits,Complete story level 1,20 Jan 13,(25),25,1.01
https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,https://www.trueachievements.com/a165256/dynamic-duo-achievement,Dynamic Duo,Play a level in co-op,20 Jan 13,(20),26,1.32
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171802/one-does-not-simply-achievement,One does not simply...,Walk into Mordor.,13 Jan 13,(5),7,1.42
https://www.trueachievements.com/game/FIFA-10/achievements,https://www.trueachievements.com/a36920/off-the-woodwork-achievement,Off the Woodwork,Score off the post or cross bar in a match,Offline,(15),16,1.11
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171789/the-lord-of-the-ring-achievement,The Lord of the Ring.,Complete the Bonus Level.,30 Dec 12,(30),45,1.51
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171780/its-gone-achievement,It's gone.,Complete 'Mount Doom'.,30 Dec 12,(25),32,1.31
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171779/this-day-we-fight-achievement,This day we fight!,Complete 'The Black Gate'.,30 Dec 12,(25),32,1.31
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171776/we-did-it-mr-frodo-achievement,"We did it, Mr. Frodo.",Complete 'Cirith Ungol'.,30 Dec 12,(25),32,1.29
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171778/you-and-whose-army-achievement,You and whose army?,Complete 'The Battle of Pelennor Fields'.,30 Dec 12,(25),32,1.29
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171805/that-still-only-counts-as-one-achievement,That still only counts as one!,Defeat an Oliphaunt as Legolas.,30 Dec 12,(10),13,1.34
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171777/they-have-been-summoned-achievement,They have been summoned.,Complete 'The Paths of the Dead'.,30 Dec 12,(25),32,1.28
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171775/naughty-little-fly-achievement,Naughty little fly...,Complete 'The Secret Stairs'.,30 Dec 12,(25),31,1.27
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171774/a-wizard-should-know-better-achievement,A Wizard should know better!,Complete 'Osgiliath'.,28 Dec 12,(25),31,1.26
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171773/the-battle-is-about-to-begin-achievement,The battle is about to begin...,Complete 'Helm's Deep'.,28 Dec 12,(25),31,1.24
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171772/stinking-creatures-achievement,Stinking creatures...,Complete 'Warg Attack'.,28 Dec 12,(25),30,1.23
https://www.trueachievements.com/game/Rayman-Origins/achievements,https://www.trueachievements.com/a157190/betillas-back-achievement,Betilla's Back!,Head Nymph Betilla is Free!,27 Dec 12,(15),15,1.0
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171770/soft-and-quick-as-shadows-achievement,Soft and quick as shadows...,Complete 'The Dead Marshes'.,27 Dec 12,(25),30,1.22
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171771/safe-is-where-ill-keep-you-achievement,Safe is where I'll keep you.,Complete 'Track Hobbits'.,27 Dec 12,(25),30,1.22
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171769/on-the-precious-achievement,On the Precious...,Complete 'Taming Gollum'.,27 Dec 12,(25),30,1.2
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171768/lets-hunt-some-orc-achievement,Let's hunt some Orc!,Complete 'Amon Hen'.,27 Dec 12,(25),29,1.17
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171767/this-is-no-mine-its-a-tomb-achievement,This is no mine... it's a tomb.,Complete 'The Mines of Moria'.,27 Dec 12,(25),28,1.15
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171766/the-long-way-around-achievement,The long way around.,Complete 'The Pass of Caradhras'.,27 Dec 12,(25),28,1.13
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171803/great-where-are-we-going-achievement,Great! ...Where are we going?,Form The Fellowship of the Ring.,27 Dec 12,(5),5,1.12
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171765/that-is-no-trinket-you-carry-achievement,That is no trinket you carry.,Complete 'Weathertop'.,27 Dec 12,(25),27,1.08
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171764/its-a-dangerous-business-achievement,It's a dangerous business...,Complete 'The Black Rider'.,27 Dec 12,(25),25,1.03
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171762/the-strength-of-men-failed-achievement,The strength of Men failed.,Complete 'Prologue'.,27 Dec 12,(25),25,1.01
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171791/im-glad-to-be-with-you-achievement,I'm glad to be with you.,Complete a level in co-op.,27 Dec 12,(10),12,1.24
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152202/youll-never-get-away-with-it-achievement,You'll Never Get Away With It,Defeated an Archenemy in a game,10 Mar 12,(20),22,1.13
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152208/final-exam-achievement,Final Exam,Defeated Karn in a campaign game,10 Mar 12,(30),35,1.17
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152207/wielding-steel-achievement,Wielding Steel,Defeated Gideon in the Single-Player Campaign,10 Mar 12,(25),29,1.16
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152206/unquenchable-fire-achievement,Unquenchable Fire,Defeated Chandra in the Single-Player Campaign,06 Mar 12,(20),22,1.12
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152205/ancient-depths-achievement,Ancient Depths,Defeated Kiora in the Single-Player Campaign,04 Mar 12,(15),16,1.07
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152204/mythic-achievement,Mythic,Cast a Mythic rare spell in a game,04 Mar 12,(10),10,1.06
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152201/magic-the-puzzling-achievement,Magic: The Puzzling,Solved a Challenge,04 Mar 12,(10),10,1.06
https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,https://www.trueachievements.com/a152200/strength-of-stone-achievement,Strength of Stone,Defeated Koth in the Single-Player Campaign,04 Mar 12,(10),10,1.01
https://www.trueachievements.com/game/Mass-Effect-2/achievements,https://www.trueachievements.com/a148669/the-ultimate-sacrifice-achievement,The Ultimate Sacrifice,Complete the Arrival DLC pack,02 Mar 12,(50),68,1.36
https://www.trueachievements.com/game/Mass-Effect-2/achievements,https://www.trueachievements.com/a61031/detail-orientated-achievement,Detail Orientated,Use all information terminals in the Shadow Broker’s stronghold,26 Feb 12,(40),54,1.37
https://www.trueachievements.com/game/Mass-Effect-2/achievements,https://www.trueachievements.com/a61035/catching-up-achievement,Catching Up,Reminisce with Liara on the Normandy,26 Feb 12,(25),33,1.32
https://www.trueachievements.com/game/Mass-Effect-2/achievements,https://www.trueachievements.com/a61033/heart-of-darkness-achievement,Heart of Darkness,Confront the Shadow Broker,26 Feb 12,(50),65,1.3
https://www.trueachievements.com/game/Mass-Effect-2/achievements,https://www.trueachievements.com/a61032/most-dangerous-game-achievement,Most Dangerous Game,Defeat the Shadow Broker’s Assassin,26 Feb 12,(35),45,1.3
https://www.trueachievements.com/game/Mass-Effect-2/achievements,https://www.trueachievements.com/a61030/digital-exorcist-achievement,Digital Exorcist,Successfully shut down the rogue VI in Project Overlord,25 Feb 12,(15),20,1.35
