achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183871/a-survivor-is-born-achievement,A Survivor Is Born,Game completed.,17 Jan 23,(75),,"A Survivor Is Born
Game completed."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183859/equalizer-achievement,Equalizer,75 enemies killed with the rifle.,10 Jan 23,(10),,"Equalizer
75 enemies killed with the rifle."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183852/now-were-getting-serious-achievement,Now We're Getting Serious,One weapon fully modded and completely upgraded.,10 Jan 23,(25),,"Now We're Getting Serious
One weapon fully modded and completely upgraded."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183855/tastes-like-chicken-achievement,Tastes Like Chicken!,10 small animals killed and looted.,10 Jan 23,(15),,"Tastes Like Chicken!
10 small animals killed and looted."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183873/crab-cakes-achievement,Crab Cakes,FeeFee the crab killed.,09 Jan 23,(5),,"Crab Cakes
FeeFee the crab killed."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183848/scrounger-achievement,Scrounger,5000 pieces of salvage collected.,08 Jan 23,(20),,"Scrounger
5000 pieces of salvage collected."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183849/picky-achievement,Picky,200 enemies looted.,08 Jan 23,(15),,"Picky
200 enemies looted."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183845/looking-for-trouble-achievement,Looking for Trouble,25% of all GPS caches found.,08 Jan 23,(10),,"Looking for Trouble
25% of all GPS caches found."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183857/sharp-shooter-achievement,Sharp Shooter,50 headshot kills performed in the single player campaign.,07 Jan 23,(15),,"Sharp Shooter
50 headshot kills performed in the single player campaign."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183869/unfinished-business-achievement,Unfinished Business,One challenge completed.,07 Jan 23,(20),,"Unfinished Business
One challenge completed."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183862/epic-fumble-achievement,Epic Fumble,Forced an enemy to drop dynamite that killed two people.,07 Jan 23,(15),,"Epic Fumble
Forced an enemy to drop dynamite that killed two people."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183860/widowmaker-achievement,Widowmaker,40 enemies killed with the shotgun.,07 Jan 23,(10),,"Widowmaker
40 enemies killed with the shotgun."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183843/relic-hunter-achievement,Relic Hunter,25% of all relics collected.,07 Jan 23,(10),,"Relic Hunter
25% of all relics collected."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183861/gunslinger-achievement,Gunslinger,35 enemies killed with the pistol.,07 Jan 23,(10),,"Gunslinger
35 enemies killed with the pistol."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183864/opportunist-achievement,Opportunist,25 unaware enemies killed.,07 Jan 23,(15),,"Opportunist
25 unaware enemies killed."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183858/predator-achievement,Predator,50 enemies killed with the bow.,06 Jan 23,(10),,"Predator
50 enemies killed with the bow."
https://www.trueachievements.com/game/Resident-Evil-6-Xbox-360/achievements,https://www.trueachievements.com/a168135/the-longest-night-achievement,The Longest Night,Complete the tutorial.,Offline,(10),,"The Longest Night
Complete the tutorial."
https://www.trueachievements.com/game/Tomb-Raider/achievements,https://www.trueachievements.com/a174121/feather-duster-achievement,Feather Duster,10 flying animals killed and looted.,Offline,(15),,"Feather Duster
10 flying animals killed and looted."
https://www.trueachievements.com/game/Tomb-Raider/achievements,https://www.trueachievements.com/a174107/historian-achievement,Historian,75% of all documents found.,Offline,(15),,"Historian
75% of all documents found."
https://www.trueachievements.com/game/Tomb-Raider/achievements,https://www.trueachievements.com/a174110/looking-for-trouble-achievement,Looking for Trouble,25% of all GPS caches found.,Offline,(10),,"Looking for Trouble
25% of all GPS caches found."
https://www.trueachievements.com/game/Tomb-Raider/achievements,https://www.trueachievements.com/a174117/now-were-getting-serious-achievement,Now We're Getting Serious,One weapon fully modded and completely upgraded.,Offline,(25),,"Now We're Getting Serious
One weapon fully modded and completely upgraded."
https://www.trueachievements.com/game/Tomb-Raider/achievements,https://www.trueachievements.com/a174133/unfinished-business-achievement,Unfinished Business,One challenge completed.,Offline,(20),,"Unfinished Business
One challenge completed."
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28332/prologue-achievement,Prologue,Prologue successfully completed,Offline,(25),,"Prologue
Prologue successfully completed"
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183840/one-smart-cookie-achievement,One Smart Cookie,One optional tomb completed.,01 Jan 23,(20),,"One Smart Cookie
One optional tomb completed."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183841/bookworm-achievement,Bookworm,25% of all documents found.,01 Jan 23,(10),,"Bookworm
25% of all documents found."
https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,https://www.trueachievements.com/a183854/big-game-hunter-achievement,Big Game Hunter,10 large animals killed and looted.,28 Dec 22,(15),,"Big Game Hunter
10 large animals killed and looted."
https://www.trueachievements.com/game/Rise-of-the-Tomb-Raider/achievements,https://www.trueachievements.com/a209074/fearless-achievement,Fearless,Defeat a Deathless Swordsman using only melee attacks and a finisher,23 Dec 22,(15),,"Fearless
Defeat a Deathless Swordsman using only melee attacks and a finisher"
https://www.trueachievements.com/game/Shadow-of-the-Tomb-Raider/achievements,https://www.trueachievements.com/a259782/tomb-raider-achievement,Tomb Raider,Complete all main game Challenge Tombs,20 Dec 22,(50),,"Tomb Raider
Complete all main game Challenge Tombs"
https://www.trueachievements.com/game/Shadow-of-the-Tomb-Raider/achievements,https://www.trueachievements.com/a259794/specialized-achievement,Specialized,Earn all Skills in one category,20 Dec 22,(15),,"Specialized
Earn all Skills in one category"
