achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Dying-Light/achievements,https://www.trueachievements.com/a196660/mouths-wide-open-achievement,Mouths Wide Open,Kill a Volatile,14 May 23,(25),30,1.22
https://www.trueachievements.com/game/Tiny-Tinas-Wonderlands/achievements,https://www.trueachievements.com/a356334/quest-get-achievement,Quest Get!,"Completed ""Bunkers & Badasses"".",22 Jan 23,(10),10,1.0
https://www.trueachievements.com/game/Tiny-Tinas-Wonderlands/achievements,https://www.trueachievements.com/a356360/they-havent-invented-podcasts-yet-achievement,They Haven't Invented Podcasts Yet,Picked up a lore scroll.,22 Jan 23,(10),10,1.0
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a381771/kamura-amulet-achievement,Kamura Amulet,A trinket given to new hunters who have proved themselves capable.,20 Jan 23,(10),10,1.0
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a374977/ultimate-grinder-achievement,Ultimate Grinder,Reach Level 100.,01 Jan 23,(13),40,3.14
https://www.trueachievements.com/game/Dying-Light/achievements,https://www.trueachievements.com/a196658/cant-touch-this-achievement,Can't Touch This,Kill 20 enemies in a row without taking damage.,31 Dec 22,(25),31,1.26
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a374996/worm-hunter-achievement,Worm Hunter,Kill 50 Desert worms without taking any damage.,27 Dec 22,(15),52,3.53
https://www.trueachievements.com/game/Dying-Light/achievements,https://www.trueachievements.com/a196634/flight-of-the-crane-achievement,Flight of the Crane,Jump from the Crane,27 Dec 22,(10),10,1.01
https://www.trueachievements.com/game/Dying-Light/achievements,https://www.trueachievements.com/a196635/little-craftsman-achievement,Little Craftsman,Craft your first item,27 Dec 22,(10),10,1.0
https://www.trueachievements.com/game/Dying-Light/achievements,https://www.trueachievements.com/a196636/is-it-really-necessary-achievement,Is It Really Necessary?,Kill your first Infected,27 Dec 22,(5),5,1.0
https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,https://www.trueachievements.com/a295359/first-day-on-the-job-achievement,First Day on the Job,Complete first delivery,22 Dec 22,(15),15,1.02
https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,https://www.trueachievements.com/a295363/wardrobe-makeover-achievement,Wardrobe Makeover,Change your clothes,22 Dec 22,(15),18,1.2
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a375001/painting-master-achievement,Painting Master,Unlock all monsters in the logbook.,17 Dec 22,(14),46,3.3
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a375013/fresh-start-achievement,Fresh Start,Complete one Daily Challenge.,17 Dec 22,(19),88,4.64
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a375000/erudition-achievement,Erudition,Encounter all elite monsters.,17 Dec 22,(14),44,3.17
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a375020/pacified-serpent-achievement,Pacified Serpent,Defeat Abyssal Serpent for the first time.,17 Dec 22,(11),27,2.53
https://www.trueachievements.com/game/Gunfire-Reborn/achievements,https://www.trueachievements.com/a374972/rambo-achievement,Rambo,"Fire 100,000 ammo.",17 Dec 22,(13),36,2.79
