achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235026/vulture-achievement,Vulture,"In a public match, escape with an item that another player brought into the match.",Today,(10),18,1.81
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a246737/cherish-your-life-achievement,Cherish your Life,"In a public match, repair the generator in The Game's Bathroom and live to tell the story.",Today,(10),19,1.99
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235006/made-it-out-alive-achievement,Made it out alive!,"In public matches, escape the match alive for a total of 50 times.",Today,(10),19,1.98
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a243863/escaping-the-nightmare-achievement,Escaping the Nightmare,"In public matches, open the exit gate 35 times as a Survivor.",Today,(10),21,2.18
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a361606/outrun-the-overlap-achievement,Outrun the Overlap,"In a public match, repair the generator in the main house in the Garden of Joy and escape.",Yesterday,(10),34,3.49
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a246736/neardeath-experience-achievement,Near-Death Experience,"In public matches, get downed only once and escape the match alive, 25 times.",Yesterday,(10),22,2.2
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a308882/every-last-drop-achievement,Every Last Drop,Deplete 30 items in public matches.,Yesterday,(10),21,2.19
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235035/i-achievement,I,Reach prestige Level I with any character.,06 Jun 23,(10),18,1.82
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a295132/old-west-oasis-achievement,Old West Oasis,"In a public match, repair the generator in the Saloon and escape.",06 Jun 23,(10),21,2.18
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235012/medic-achievement,Medic,"In public matches, heal others for a total of 100 health states.",06 Jun 23,(10),20,2.06
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235019/not-half-bad-achievement,Not half bad,Raise a character level to 25.,06 Jun 23,(10),13,1.38
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a377829/adept-vittorio-achievement,Adept Vittorio,Escape with Vittorio Toscano using only his 3 unique perks in a public match.,06 Jun 23,(20),141,7.06
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235008/backdoor-escape-achievement,Backdoor Escape,"In a public match, escape through the hatch.",06 Jun 23,(10),14,1.46
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a368939/adept-rebecca-achievement,Adept Rebecca,Escape with Rebecca using only her 3 unique perks in a public match.,06 Jun 23,(20),55,2.77
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a368938/adept-ada-achievement,Adept Ada,Escape with Ada using only her 3 unique perks in a public match.,06 Jun 23,(10),27,2.74
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a361611/adept-haddie-achievement,Adept Haddie,Escape with Haddie Kaur using only her 3 unique perks in a public match.,06 Jun 23,(20),125,6.26
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a348489/with-scars-to-show-achievement,With Scars to Show,Go from healthy to injured during a chase and escape. Do this 50 times in public matches.,06 Jun 23,(10),27,2.7
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a355182/adept-yoichi-achievement,Adept Yoichi,Escape with Yoichi using only his 3 unique perks in a public match.,06 Jun 23,(20),58,2.91
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a289112/grim-pilgrimage-achievement,Grim Pilgrimage,"In a public match, repair the generator in the upper level of the Shrine and escape.",06 Jun 23,(10),22,2.28
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a348491/adept-jonah-achievement,Adept Jonah,Escape with Jonah using only his 3 unique perks in a public match.,06 Jun 23,(20),119,5.95
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a343254/adept-mikaela-achievement,Adept Mikaela,Escape with Mikaela using only her 3 unique perks in a public match.,06 Jun 23,(10),47,4.79
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a330611/adept-leon-achievement,Adept Leon,Escape with Leon using only his 3 unique perks in a public match.,05 Jun 23,(10),23,2.34
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a330612/adept-jill-achievement,Adept Jill,Escape with Jill using only her 3 unique perks in a public match.,05 Jun 23,(10),24,2.4
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a330613/raccoon-city-recruit-achievement,Raccoon City Recruit,"In a public match, repair the generator on the 1st floor of the RPD station’s main hall and escape.",05 Jun 23,(20),54,2.7
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a324708/adept-yunjin-achievement,Adept Yun-Jin,Escape with Yun-Jin using only her 3 unique perks in a public match.,05 Jun 23,(20),105,5.29
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a283434/operation-survival-achievement,Operation: Survival,"In a public match, repair the generator in the Treatment Theatre’s operation theatre and escape.",05 Jun 23,(20),44,2.24
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235013/handyman-achievement,Handyman,"In public matches, repair generators for a total of 100 full repairs.",05 Jun 23,(10),17,1.7
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a316673/adept-elodie-achievement,Adept Élodie,Escape with Élodie using only her 3 unique perks in a public match.,04 Jun 23,(20),106,5.33
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a308878/adept-felix-achievement,Adept Felix,Escape with Felix Richter using only his 3 unique perks in a public match.,04 Jun 23,(20),106,5.3
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235048/all-aboard-achievement,All Aboard,"In a public match, activate the Foghorn by repairing the generator in the Steamboat and escape.",04 Jun 23,(10),19,1.98
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235010/ive-got-your-back-achievement,I've got your back,"In public matches, save a total of 50 survivors from death.",04 Jun 23,(10),16,1.66
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a301526/adept-cheryl-achievement,Adept Cheryl,Escape with Cheryl Mason using only her 3 unique perks in a public match.,04 Jun 23,(20),47,2.37
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a295134/adept-zarina-achievement,Adept Zarina,Escape with Zarina Kassir using only her 3 unique perks in a public match.,04 Jun 23,(20),102,5.11
