achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383700/artisan-achievement,Artisan,Create a weapon in a crafting machine,03 Mar 23,(15),19,1.32
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383704/polymerization-achievement,Polymerization,Collect 100 jelly,03 Mar 23,(30),40,1.35
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383691/happy-polymerization-day-achievement,Happy Polymerization Day!,Fly out of Chelomey,02 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366820/best-friends-achievement,Best Friends,Have students become best friends,21 Aug 22,(20),21,1.09
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366817/take-a-scroll-achievement,Take a Scroll,Have a student graduate,17 Aug 22,(10),13,1.3
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366814/soul-mates-achievement,Soul Mates,Develop 50 soul mates,17 Aug 22,(40),60,1.52
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366815/unlocked-and-loaded-achievement,Unlocked and Loaded,"Earn 1,000 kudosh",15 Aug 22,(20),27,1.35
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366812/a-little-wiser-achievement,A Little Wiser,Train a staff member,15 Aug 22,(10),17,1.74
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366816/club-sandwich-achievement,Club Sandwich,Have a club with 5 members,15 Aug 22,(20),29,1.45
https://www.trueachievements.com/game/Two-Point-Campus/achievements,https://www.trueachievements.com/a366818/campus-management-101-achievement,Campus Management 101,Earn 1 star in Freshleigh Meadows,15 Aug 22,(10),10,1.05
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a287372/berber-victory-achievement,Berber Victory,Won a game playing as the Berbers.,03 Jul 22,(5),14,2.87
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a287458/out-of-their-element-achievement,Out of Their Element,You destroyed a ship using a melee unit.,03 Jul 22,(20),34,1.74
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227769/staving-off-the-infection-achievement,Staving Off the Infection,Completed Mission 9 on any difficulty.,25 Apr 22,(10),16,1.65
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227721/sweet-naptime-achievement,Sweet Naptime,Mission 9: Every Colony put in Hibernation Mode at the same time.,25 Apr 22,(5),11,2.28
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227768/saving-the-parade-achievement,Saving the Parade,Completed Mission 8 on any difficulty.,25 Apr 22,(10),16,1.63
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227767/dancing-with-the-beam-queen-achievement,Dancing with the Beam Queen,Completed Mission 7 on any difficulty.,25 Apr 22,(10),16,1.6
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227766/great-form-achievement,Great Form!,Completed Mission 6 on any difficulty.,25 Apr 22,(10),15,1.53
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227765/patience-is-a-virtue-achievement,Patience IS a Virtue,Completed Mission 5 on any difficulty.,25 Apr 22,(10),14,1.46
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227764/high-class-escort-achievement,High Class Escort,Completed Mission 4 on any difficulty.,14 Apr 22,(10),14,1.41
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227707/mommas-boy-achievement,Momma's Boy,Got a Gold Medal on any mission.,14 Apr 22,(5),6,1.21
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227763/smash-and-grab-achievement,Smash and Grab,Completed Mission 3 on any difficulty.,14 Apr 22,(10),12,1.23
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227715/covenant-hot-drop-achievement,"Covenant ""Hot Drop""",Mission 3: Killed at least 5 Covenant Units with the Bridge.,14 Apr 22,(5),10,2.07
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227762/build-for-success-achievement,Build for Success,Completed Mission 2 on any difficulty.,14 Apr 22,(10),11,1.16
https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,https://www.trueachievements.com/a227704/meet-sergeant-forge-achievement,Meet Sergeant Forge,Completed Mission 1 on any difficulty.,14 Apr 22,(10),10,1.06
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346461/bloodstars-bane-achievement,Bloodstars' Bane,Eliminated all 15 Banished High-Value Targets.,13 Apr 22,(20),36,1.81
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346459/no-one-left-behind-achievement,No One Left Behind,Answered all UNSC distress calls.,13 Apr 22,(20),38,1.91
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346452/big-brother-achievement,Big Brother,Fully upgraded the Threat Sensor ability.,13 Apr 22,(10),18,1.86
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346454/bunker-buster-achievement,Bunker Buster,Completed all seven Banished outposts.,13 Apr 22,(20),35,1.75
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346482/passing-the-gas-achievement,Passing the Gas,Killed a Grunt that's been thrown by a Brute.,13 Apr 22,(10),29,2.99
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346456/resurgency-achievement,Resurgency,Captured all available Forward Operating Bases.,13 Apr 22,(20),34,1.7
