achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/The-Walking-Dead/achievements,https://www.trueachievements.com/a192717/everythings-going-to-be-okay-achievement,Everything's Going to be Okay,"Completed Episode 1: ""A New Day""",27 May 23,(25),29,1.18
https://www.trueachievements.com/game/The-Walking-Dead/achievements,https://www.trueachievements.com/a192716/two-enter-one-leaves-achievement,"Two Enter, One Leaves",Chose between friends.,27 May 23,(20),23,1.17
https://www.trueachievements.com/game/The-Walking-Dead/achievements,https://www.trueachievements.com/a192714/its-just-one-bullet-achievement,It's Just One Bullet,Met a girl at the end of her rope.,18 May 23,(20),23,1.15
https://www.trueachievements.com/game/The-Walking-Dead/achievements,https://www.trueachievements.com/a192713/rock-and-a-hard-place-achievement,Rock and a Hard Place,Chose between two sons.,18 May 23,(20),21,1.08
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10068/giant-killer-achievement,Giant Killer,Survive the rooftop strider battle in the ruins of City 17.,Offline,(10),16,1.67
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10065/singularity-collapse-achievement,Singularity Collapse,Destroy the Citadel's reactor core.,Offline,(25),42,1.69
https://www.trueachievements.com/game/Resident-Evil-6/achievements,https://www.trueachievements.com/a214372/i-spy-achievement,I Spy,Complete Chapter 1 in Ada's campaign.,06 May 23,(15),27,1.85
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10069/fight-the-power-achievement,Fight the Power,Shut down the supression device by disabling its generators.,30 Apr 23,(10),16,1.65
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10070/plaza-defender-achievement,Plaza Defender,Survive the generator plaza standoff in chapter Anticitizen One.,30 Apr 23,(10),16,1.63
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389504/impressive-gifts-achievement,Impressive Gifts,Complete the tutorial.,22 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10071/radiation-levels-detected-achievement,"""Radiation Levels Detected""",Get through the toxic tunnel under City 17 in Half-Life 2.,21 Apr 23,(5),8,1.62
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10073/follow-freeman-achievement,Follow Freeman,Gain command of a squad of rebels in the uprising.,21 Apr 23,(10),16,1.6
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10074/warden-freeman-achievement,Warden Freeman,Survive the second turret standoff in Nova Prospekt.,20 Apr 23,(10),16,1.6
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10076/bug-hunt-achievement,Bug Hunt,Use the antlions to kill 50 enemies.,20 Apr 23,(10),15,1.55
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10075/one-man-army-achievement,One Man Army,Destroy six gunships in Half-Life 2.,20 Apr 23,(5),8,1.64
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201939/the-frequency-of-fear-achievement,The Frequency of Fear,Scan Gotham City to pinpoint Scarecrow's location.,29 Mar 23,(20),22,1.13
https://www.trueachievements.com/game/Resident-Evil-5-Xbox-One/achievements,https://www.trueachievements.com/a218179/completed-chapter-1--1-achievement,Completed Chapter 1 - 1,Complete Chapter 1 - 1 on any difficulty setting.,29 Mar 23,(15),15,1.03
https://www.trueachievements.com/game/Resident-Evil-5-Xbox-One/achievements,https://www.trueachievements.com/a218213/get-physical-achievement,Get Physical,Defeat 20 enemies with physical attacks.,29 Mar 23,(15),18,1.2
