achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393122/knee-bending-achievement,Knee bending,Bending the knee gets you further,23 May 23,(10),,"Knee bending
Bending the knee gets you further"
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393121/high-jump-achievement,High Jump,Jump Higher!,23 May 23,(10),,"High Jump
Jump Higher!"
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393120/hit-rock-bottom-achievement,Hit Rock Bottom,Hit Rock Bottom,23 May 23,(10),,"Hit Rock Bottom
Hit Rock Bottom"
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393119/speed-achievement,Speed,Run faster,23 May 23,(10),,"Speed
Run faster"
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393118/rocket-launched-achievement,Rocket Launched,He did all the work,23 May 23,(5),,"Rocket Launched
He did all the work"
https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,https://www.trueachievements.com/a393117/good-morning-achievement,Good Morning,You're halfway through the game already,23 May 23,(5),,"Good Morning
You're halfway through the game already"
https://www.trueachievements.com/game/Elden-Ring/achievements,https://www.trueachievements.com/a354515/leonine-misbegotten-achievement,Leonine Misbegotten,Defeated the Leonine Misbegotten,16 May 23,(15),,"Leonine Misbegotten
Defeated the Leonine Misbegotten"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287285/trust-only-in-the-force-achievement,Trust Only In The Force,Completed the story,10 May 23,(50),,"Trust Only In The Force
Completed the story"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287290/the-holocron-awaits-achievement,The Holocron Awaits,Opened the Vault,10 May 23,(25),,"The Holocron Awaits
Opened the Vault"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287312/full-house-achievement,Full House,Recruited all possible crew members for the Mantis,10 May 23,(20),,"Full House
Recruited all possible crew members for the Mantis"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287296/i-knew-he-was-no-good-achievement,I Knew He Was No Good,Defeated a former Jedi Master,10 May 23,(25),,"I Knew He Was No Good
Defeated a former Jedi Master"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287305/look-out-below-achievement,Look Out Below,Sent 25 enemies over the edge,10 May 23,(10),,"Look Out Below
Sent 25 enemies over the edge"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287308/blade-master-achievement,Blade Master,Hit a single enemy with all lightsaber types,10 May 23,(25),,"Blade Master
Hit a single enemy with all lightsaber types"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287295/for-a-more-civilized-age-achievement,For A More Civilized Age,Crafted a lightsaber of your own,10 May 23,(25),,"For A More Civilized Age
Crafted a lightsaber of your own"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287294/gorgara-falls-achievement,Gorgara Falls,Defeated the winged terror on Dathomir,10 May 23,(25),,"Gorgara Falls
Defeated the winged terror on Dathomir"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287292/her-name-was-masana-tide-achievement,Her Name Was Masana Tide,Defeated the Ninth Sister,09 May 23,(25),,"Her Name Was Masana Tide
Defeated the Ninth Sister"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287307/bank-shot-achievement,Bank Shot,Defeated an enemy by colliding them with another enemy,09 May 23,(10),,"Bank Shot
Defeated an enemy by colliding them with another enemy"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287303/dont-mess-with-bd1-achievement,Don't Mess With BD-1,Defeated an enemy with a hacked droid,09 May 23,(10),,"Don't Mess With BD-1
Defeated an enemy with a hacked droid"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287289/everything-is-connected-achievement,Everything is Connected,Completed the Tomb of Miktrull,09 May 23,(25),,"Everything is Connected
Completed the Tomb of Miktrull"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287291/happy-go-wookiee-achievement,Happy Go Wookiee,Freed the Wookiees from Imperial imprisonment,08 May 23,(25),,"Happy Go Wookiee
Freed the Wookiees from Imperial imprisonment"
https://www.trueachievements.com/game/Brawlhalla/achievements,https://www.trueachievements.com/a303005/big-hunk-of-metal-achievement,Big Hunk of Metal,Reach level 10 with a Greatsword Legend,05 May 23,(15),,"Big Hunk of Metal
Reach level 10 with a Greatsword Legend"
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389523/excitable-new-friends-achievement,Excitable New Friends,Forge an alliance with the creepers.,25 Apr 23,(20),,"Excitable New Friends
Forge an alliance with the creepers."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389525/they-really-like-that-flower-achievement,They REALLY Like That Flower,Forge an alliance with the zombies.,25 Apr 23,(20),,"They REALLY Like That Flower
Forge an alliance with the zombies."
https://www.trueachievements.com/game/Super-Animal-Royale/achievements,https://www.trueachievements.com/a327427/a-repair-job-achievement,A+ Repair Job,50 Super Tape used,23 Apr 23,(50),,"A+ Repair Job
50 Super Tape used"
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389505/with-light-comes-hope-achievement,With Light Comes Hope,Destroy the Night Beacon Base.,23 Apr 23,(30),,"With Light Comes Hope
Destroy the Night Beacon Base."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389530/banner-expert-achievement,Banner Expert,Give 25 orders from Banner View in a single world.,23 Apr 23,(20),,"Banner Expert
Give 25 orders from Banner View in a single world."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389520/no-time-for-swine-achievement,No Time for Swine,"Defeat 1,000 piglins in a single world.",23 Apr 23,(40),,"No Time for Swine
Defeat 1,000 piglins in a single world."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389503/ridin-the-grain-train-achievement,Ridin’ the Grain Train,Spend 2 minutes buffed by speed wheat in a single world.,23 Apr 23,(10),,"Ridin’ the Grain Train
Spend 2 minutes buffed by speed wheat in a single world."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389512/working-together-achievement,Working Together,Play a game of co-op.,22 Apr 23,(20),,"Working Together
Play a game of co-op."
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389504/impressive-gifts-achievement,Impressive Gifts,Complete the tutorial.,19 Apr 23,(10),,"Impressive Gifts
Complete the tutorial."
https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,https://www.trueachievements.com/a345299/command-and-conquest-achievement,Command and Conquest,Captured 100 objectives in Conquest,18 Apr 23,(15),,"Command and Conquest
Captured 100 objectives in Conquest"
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a287276/avalanche-achievement,Avalanche,"Complete ""Ice""",18 Apr 23,(20),,"Avalanche
Complete ""Ice"""
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a287277/tricky-achievement,Tricky,"Complete the slope jump in ""Ice"" with 2 snowboards strapped to your feet",18 Apr 23,(40),,"Tricky
Complete the slope jump in ""Ice"" with 2 snowboards strapped to your feet"
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a232709/let-it-rain-achievement,Let it rain,Respawn 100 times,18 Apr 23,(20),,"Let it rain
Respawn 100 times"
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345268/the-winner-takes-it-all-achievement,The Winner Takes It All,Won 42 rounds across all game modes.,10 Apr 23,(35),,"The Winner Takes It All
Won 42 rounds across all game modes."
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345265/command-and-conquest-achievement,Command and Conquest,Captured 100 objectives in Conquest,10 Apr 23,(15),,"Command and Conquest
Captured 100 objectives in Conquest"
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385708/give-it-my-all-achievement,Give It My All,Defeated the opponent with less than 30% of health left while in a match.,08 Apr 23,(35),,"Give It My All
Defeated the opponent with less than 30% of health left while in a match."
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385690/gateway-to-the-tower-achievement,Gateway to the Tower,[ONLINE MATCH] Fought a match in the Rank Tower.,08 Apr 23,(15),,"Gateway to the Tower
[ONLINE MATCH] Fought a match in the Rank Tower."
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385692/the-room-where-demons-dwell-achievement,The Room where Demons Dwell,[ONLINE MATCH] Completed the Network Mode Tutorial.,08 Apr 23,(15),,"The Room where Demons Dwell
[ONLINE MATCH] Completed the Network Mode Tutorial."
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385694/this-years-fashion-trend-achievement,This Year's Fashion Trend,"Customize the hair, top, bottom, shoes, hat and equipment of your avatar.",08 Apr 23,(35),,"This Year's Fashion Trend
Customize the hair, top, bottom, shoes, hat and equipment of your avatar."
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385677/battle-ready-achievement,Battle Ready,[TUTORIAL] Finished the tutorial until the end.,08 Apr 23,(15),,"Battle Ready
[TUTORIAL] Finished the tutorial until the end."
https://www.trueachievements.com/game/For-Honor/achievements,https://www.trueachievements.com/a229482/play-your-way-achievement,Play Your Way,"Equip a different Effect, Emote and Execution on a single Hero.",06 Apr 23,(10),,"Play Your Way
Equip a different Effect, Emote and Execution on a single Hero."
https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,https://www.trueachievements.com/a345302/the-winner-takes-it-all-achievement,The Winner Takes It All,Won 42 rounds across all game modes.,02 Apr 23,(35),,"The Winner Takes It All
Won 42 rounds across all game modes."
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345292/good-company-achievement,Good Company,Earned first place as a squad,02 Apr 23,(35),,"Good Company
Earned first place as a squad"
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345293/showoff-achievement,Showoff,Was one of the top players in a round,02 Apr 23,(35),,"Showoff
Was one of the top players in a round"
