achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,https://www.trueachievements.com/a374295/time-for-pints-achievement,Time for Pints,Finish the Campaign on any difficulty.,09 Apr 23,(100),114,1.14
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a212775/clean-sheet-achievement,Clean Sheet,Win a game without giving up a single Goal,02 Nov 22,(15),16,1.09
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a212779/nice-hat-achievement,Nice Hat,"With a Topper equipped, score 3 Goals in a single game",02 Nov 22,(15),18,1.22
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a212785/pitch-veteran-achievement,Pitch Veteran,Play a total of 20 games across any game mode,02 Nov 22,(20),23,1.18
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a200591/high-tide-achievement,High Tide,"Complete In Darkness on Hardened, Veteran, or Realistic.",19 Aug 22,(20),37,1.85
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a200590/a-second-chance-achievement,A Second Chance,"Complete New World on Hardened, Veteran, or Realistic.",19 Aug 22,(20),33,1.69
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a209596/sting-like-a-talon-achievement,Sting like a Talon,"In Campaign, kill 20 enemies while flying the same Talon.",14 Aug 22,(20),39,1.96
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a209597/foe-to-friend-achievement,Foe To Friend,Use an enemy combat robot to kill 10 enemies.,14 Aug 22,(10),12,1.24
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a209598/disavowed-achievement,Disavowed,"Complete Black Ops on Hardened, Veteran, or Realistic.",14 Aug 22,(20),31,1.55
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a209605/decimator-achievement,Decimator,"In Campaign, kill 10 enemies in under 3 seconds.",14 Aug 22,(20),25,1.28
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,https://www.trueachievements.com/a209599/cant-hide-achievement,Can't Hide,"In Campaign, kill an enemy through a wall or obstruction.",14 Aug 22,(10),10,1.08
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317458/the-world-achievement,The World,Complete the main storyline.,05 Jul 22,(90),145,1.61
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317465/judy-vs-night-city-achievement,Judy vs Night City,Complete Judy Alvarez's storyline.,04 Jul 22,(15),25,1.72
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317468/breathtaking-achievement,Breathtaking,Collect all items that once belonged to Johnny Silverhand.,30 Jun 22,(30),67,2.23
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317463/to-protect-and-serve-achievement,To Protect and Serve,Complete River Ward's storyline.,05 Jun 22,(15),26,1.77
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317457/the-high-priestess-achievement,The High Priestess,Talk with Hanako Arasaka.,24 May 22,(15),22,1.46
https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,https://www.trueachievements.com/a227554/your-first-day-achievement,Your first day...,You survived a full day and night on the ARK!,04 Apr 22,(20),20,1.04
https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,https://www.trueachievements.com/a227557/your-first-ride-achievement,Your first ride...,You Rode a Dinosaur!,04 Apr 22,(20),22,1.11
https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,https://www.trueachievements.com/a227556/your-first-dino-achievement,Your first dino...,You tamed a Dinosaur!,04 Apr 22,(20),22,1.12
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345221/the-tip-of-the-spear-achievement,The Tip Of The Spear,Beat Call of Duty: Vanguard's Campaign on Veteran difficulty,22 Feb 22,(100),354,3.54
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345226/shell-be-right-mate-achievement,She'll Be Right Mate,"In the battle of El Alamein, get twice as many kills as Des during the final defend",20 Feb 22,(15),30,2.0
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345237/not-your-fairy-godmother-achievement,Not Your Fairy Godmother,"In Campaign, throw back 15 grenades that would have killed or damaged your allies",20 Feb 22,(30),95,3.17
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345227/pied-piper-achievement,Pied Piper,"In The Rats of Tobruk, lead the Rats through the desert without getting detected",20 Feb 22,(15),38,2.54
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345229/bird-of-prey-achievement,Bird Of Prey,"In Lady Nightingale, kill 5 snipers across the open field without getting hit by them",20 Feb 22,(15),37,2.49
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345217/oh-yeah-achievement,OH YEAH!,"In Campaign, Tactical Sprint through 5 Destructible walls",20 Feb 22,(15),51,3.42
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345250/bling-pro-20-achievement,Bling Pro 2.0,Reach max level with a weapon (base game weapons only),12 Feb 22,(30),40,1.35
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345233/pop-goes-the-nightingale-achievement,Pop Goes The Nightingale,"As Polina, kill 15 enemies immediately after emerging from a crawlspace",04 Feb 22,(15),31,2.09
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345249/top-of-the-mountain-achievement,Top Of The Mountain,Reach max level with an operator in Multiplayer (base game operators only),31 Jan 22,(35),49,1.4
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345234/actions-speak-louder-than-words-achievement,Actions Speak Louder Than Words,"In Operation Tonga, protect Evans with quick reflexes",10 Jan 22,(15),30,2.01
