achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Horizon-4/achievements,https://www.trueachievements.com/a301460/stay-safe-achievement,Stay Safe,Get 25 Clean Racing Skills in any A Class Car.,27 Oct 21,(30),,"Stay Safe
Get 25 Clean Racing Skills in any A Class Car."
https://www.trueachievements.com/game/Age-of-Empires-III-Definitive-Edition/achievements,https://www.trueachievements.com/a311667/every-moment-i-live-is-agony-achievement,Every moment I live... is agony,Revived your fallen Explorer,16 Oct 20,(10),,"Every moment I live... is agony
Revived your fallen Explorer"
https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,https://www.trueachievements.com/a286571/ticket-to-anywhere-achievement,Ticket to Anywhere,Got your very own ship.,04 Sep 20,(30),,"Ticket to Anywhere
Got your very own ship."
https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,https://www.trueachievements.com/a286543/best-friend-achievement,Best Friend,Recruited a companion.,04 Sep 20,(15),,"Best Friend
Recruited a companion."
https://www.trueachievements.com/game/DiRT-Rally-2-Windows/achievements,https://www.trueachievements.com/a284172/the-right-way-up-achievement,The Right Way Up,Rolled your car during a Rally stage in Australia and continued,05 Mar 20,(10),,"The Right Way Up
Rolled your car during a Rally stage in Australia and continued"
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193101/just-getting-started-achievement,Just Getting Started,Kill 100 enemies or players.,01 Feb 20,(5),,"Just Getting Started
Kill 100 enemies or players."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a194873/bite-the-hand-achievement,Bite The Hand,Kill a 343 developer in matchmaking or someone who has this achievement.,01 Feb 20,(10),,"Bite The Hand
Kill a 343 developer in matchmaking or someone who has this achievement."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a288598/were-just-getting-started-achievement,We're Just Getting Started,Halo: Reach: Complete Winter Contingency.,01 Feb 20,(10),,"We're Just Getting Started
Halo: Reach: Complete Winter Contingency."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a288683/what-about-bob-achievement,What About Bob?,Halo: Reach: Find and eliminate one of the hidden Ranger Commander Elites.,31 Jan 20,(10),,"What About Bob?
Halo: Reach: Find and eliminate one of the hidden Ranger Commander Elites."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a288685/im-sorry-dave-achievement,"I'm Sorry, Dave",Halo: Reach: Find the hidden binary signature.,31 Jan 20,(5),,"I'm Sorry, Dave
Halo: Reach: Find the hidden binary signature."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193125/your-journey-begins-achievement,Your Journey Begins,Complete a campaign mission or a match of multiplayer.,31 Jan 20,(5),,"Your Journey Begins
Complete a campaign mission or a match of multiplayer."
https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,https://www.trueachievements.com/a286539/welcome-to-halcyon-achievement,Welcome to Halcyon!,Landed in Emerald Vale.,27 Oct 19,(30),,"Welcome to Halcyon!
Landed in Emerald Vale."
https://www.trueachievements.com/game/Forza-Horizon-4/achievements,https://www.trueachievements.com/a259006/snow-problem-achievement,Snow Problem,Qualify for Horizon Winter.,17 Oct 19,(10),,"Snow Problem
Qualify for Horizon Winter."
