achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,https://www.trueachievements.com/a204363/window-shopping-achievement,Window Shopping,Halo 2: Complete a match on at least 4 different game types in classic multiplayer.,29 Nov 21,(10),21,2.15
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,https://www.trueachievements.com/a204664/mvp-achievement,MVP,Halo 2A MP: Finished as the top player on the winning team in a matchmade game.,28 Nov 21,(10),20,2.05
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,https://www.trueachievements.com/a204549/tempered-blade-achievement,Tempered Blade,Win 10 multiplayer games.,28 Nov 21,(5),7,1.55
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,https://www.trueachievements.com/a204490/just-browsing-achievement,Just Browsing,Halo 3: Complete a match on at least 4 different game types in multiplayer.,28 Nov 21,(10),20,2.06
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,https://www.trueachievements.com/a204343/where-am-i-achievement,Where Am I?,Complete 10 missions or multiplayer games.,28 Nov 21,(5),6,1.21
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,https://www.trueachievements.com/a204392/your-journey-begins-achievement,Your Journey Begins,Complete a campaign mission or a match of multiplayer.,28 Nov 21,(5),5,1.01
https://www.trueachievements.com/game/VASARA-Collection/achievements,https://www.trueachievements.com/a279767/the-easy-way-achievement,"The ""Easy"" way",Finished Vasara 2 on 6 Stages Rank Mode,13 Nov 19,(50),136,2.73
https://www.trueachievements.com/game/VASARA-Collection/achievements,https://www.trueachievements.com/a279764/samurai-slayer-achievement,Samurai Slayer,Defeated your first Boss,13 Nov 19,(10),10,1.04
https://www.trueachievements.com/game/VASARA-Collection/achievements,https://www.trueachievements.com/a279763/marksman-achievement,Marksman,Finished any Stage without using melee attacks,13 Nov 19,(20),22,1.11
https://www.trueachievements.com/game/VASARA-Collection/achievements,https://www.trueachievements.com/a279761/power-up-achievement,POWER UP,Reached maximum fire power,13 Nov 19,(10),10,1.0
https://www.trueachievements.com/game/VASARA-Collection/achievements,https://www.trueachievements.com/a279760/now-i-get-it-achievement,Now I get it!,Filled your first Vasara Gauge,13 Nov 19,(10),10,1.04
https://www.trueachievements.com/game/Hand-of-the-Gods-SMITE-Tactics/achievements,https://www.trueachievements.com/a248274/apotheosis-novice-achievement,Apotheosis Novice,Play 10 matches (excludes Training Mode),04 Oct 19,(10),17,1.71
https://www.trueachievements.com/game/Hand-of-the-Gods-SMITE-Tactics/achievements,https://www.trueachievements.com/a248265/divine-spawner-novice-achievement,Divine Spawner Novice,Spawn or deploy 10 God cards (excludes Training Mode),27 Sep 19,(10),13,1.34
https://www.trueachievements.com/game/Hand-of-the-Gods-SMITE-Tactics/achievements,https://www.trueachievements.com/a248266/massacre-novice-achievement,Massacre Novice,Kill 10 units (excludes Training Mode),27 Sep 19,(10),11,1.13
https://www.trueachievements.com/game/Shadowrun/achievements,https://www.trueachievements.com/a11176/winning-streak-achievement,Winning Streak,Win ten consecutive rounds.,21 Sep 19,(10),22,2.25
https://www.trueachievements.com/game/Gears-of-War/achievements,https://www.trueachievements.com/a10409/always-remember-your-first-achievement,Always Remember Your First,Finish playing a versus ranked match,17 Sep 19,(10),16,1.68
https://www.trueachievements.com/game/Hand-of-the-Gods-SMITE-Tactics/achievements,https://www.trueachievements.com/a248264/leave-no-survivors-achievement,Leave no survivors,Win with no opponent units remaining on the battlefield (excludes Training Mode),11 Sep 19,(20),29,1.47
https://www.trueachievements.com/game/Hand-of-the-Gods-SMITE-Tactics/achievements,https://www.trueachievements.com/a248300/unbreakable-achievement,Unbreakable,Win a game with your Summoning Stone at 25 or more health (excludes Training Mode),11 Sep 19,(30),36,1.22
https://www.trueachievements.com/game/Hand-of-the-Gods-SMITE-Tactics/achievements,https://www.trueachievements.com/a248268/overwhelming-force-achievement,Overwhelming Force,Win a game by turn 5 (excludes Training Mode),11 Sep 19,(10),18,1.81
https://www.trueachievements.com/game/Evolve/achievements,https://www.trueachievements.com/a197130/shearproblems-achievement,#shearproblems,Destroy 100 objects outside of the Tutorials,12 Aug 18,(5),10,2.11
https://www.trueachievements.com/game/Evolve/achievements,https://www.trueachievements.com/a201443/gladiator-achievement,Gladiator,Win an Arena match as a Monster,12 Aug 18,(20),65,3.27
https://www.trueachievements.com/game/Evolve/achievements,https://www.trueachievements.com/a197116/left-for-dead-achievement,Left For Dead,Incapacitate a Hunter and leave them to bleed out outside of the Tutorials,12 Aug 18,(5),11,2.29
https://www.trueachievements.com/game/Battlestations-Pacific/achievements,https://www.trueachievements.com/a33020/wrath-of-the-empire-achievement,Wrath of the Empire,Participate in 100 online sessions as the Japanese.,30 Jul 18,(50),451,9.03
https://www.trueachievements.com/game/Battlestations-Pacific/achievements,https://www.trueachievements.com/a33019/fist-of-the-empire-achievement,Fist of the Empire,Participate in 25 online sessions as the Japanese.,30 Jul 18,(20),121,6.06
https://www.trueachievements.com/game/Battlestations-Pacific/achievements,https://www.trueachievements.com/a32996/supply-line-achievement,Supply Line,Use the support manager to successfully send up a plane or request a ship.,28 Jul 18,(5),5,1.03
https://www.trueachievements.com/game/Aliens-vs-Predator/achievements,https://www.trueachievements.com/a61626/welcome-to-the-war-achievement,Welcome to The War,Play and complete your first Ranked Match in standard Deathmatch mode,17 Jul 18,(15),30,2.06
