achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379154/winning-streak-achievement,Winning Streak,Win 100 Battles.,11 Jan 23,(15),32,2.18
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379148/ahoy-ye-heartie-achievement,Ahoy ye Heartie,Join the Adventurer’s Guild.,10 Jan 23,(15),33,2.21
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379142/reward-addict-achievement,Reward Addict,Get a Reward Board chain of over 20.,08 Jan 23,(15),34,2.33
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379153/death-to-my-enemies-achievement,Death to my Enemies,Win 50 Battles.,05 Jan 23,(15),28,1.9
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379136/hitchcock-was-right-achievement,Hitchcock was Right,Disturb 60 birds.,05 Jan 23,(15),30,2.04
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379141/reward-starter-achievement,Reward Starter,Get a Reward Board chain of over 5.,04 Jan 23,(10),18,1.88
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379156/praying-achievement,Praying,Find a Class Emblem.,03 Jan 23,(15),24,1.6
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379130/the-beginning-achievement,The Beginning,Finish the prologue.,29 Dec 22,(30),30,1.0
https://www.trueachievements.com/game/It-Takes-Two/achievements,https://www.trueachievements.com/a322278/on-rails-experience-achievement,On Rails Experience,Choo Choo!,27 Dec 22,(50),68,1.36
https://www.trueachievements.com/game/It-Takes-Two/achievements,https://www.trueachievements.com/a322274/break-the-bank-achievement,Break the Bank,Guess it was time to cash out.,27 Dec 22,(50),76,1.52
https://www.trueachievements.com/game/It-Takes-Two/achievements,https://www.trueachievements.com/a322275/a-daring-devil-achievement,A Daring Devil,Put on a show and die trying.,25 Dec 22,(25),31,1.27
https://www.trueachievements.com/game/It-Takes-Two/achievements,https://www.trueachievements.com/a322273/look-at-him-go-achievement,Look At Him Go,"Shoot for the stars, literally.",25 Dec 22,(50),58,1.17
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374162/ebony-wings-achievement,Ebony Wings,Get Peachone to Level 7.,14 Dec 22,(5),6,1.32
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374169/bloody-tear-achievement,Bloody Tear,Evolve the Whip.,13 Dec 22,(5),6,1.31
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374165/hyper-mad-forest-achievement,Hyper Mad Forest,Defeat the giant Blue Venus in the Mad Forest.,13 Dec 22,(20),26,1.33
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374179/dommario-achievement,Dommario,Earn 5000 coins in a single run.,13 Dec 22,(10),12,1.29
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374164/pentagram-achievement,Pentagram,Survive 20 minutes with any character.,13 Dec 22,(5),5,1.19
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374183/thunder-loop-achievement,Thunder Loop,Evolve the Lightning Ring.,13 Dec 22,(5),6,1.31
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374197/il-molise-achievement,Il Molise,Unlock Hyper mode for any normal stage.,13 Dec 22,(5),6,1.22
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374141/hellfire-achievement,Hellfire,Evolve the Fire Wand.,13 Dec 22,(5),6,1.32
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374139/grim-grimoire-achievement,Grim Grimoire,Find the Grim Grimoire.,13 Dec 22,(5),5,1.16
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374156/arca-achievement,Arca,Get Fire Wand to Level 4.,13 Dec 22,(5),5,1.16
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374170/holy-wand-achievement,Holy Wand,Evolve the Magic Wand.,13 Dec 22,(5),6,1.26
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374153/duplicator-achievement,Duplicator,Get Magic Wand to Level 7.,12 Dec 22,(5),5,1.18
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374155/bracer-achievement,Bracer,Get King Bible to Level 4.,12 Dec 22,(5),5,1.13
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374143/mortaccio-achievement,Mortaccio,Defeat a total of 3000 Skeletons.,12 Dec 22,(10),11,1.18
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374154/porta-achievement,Porta,Get Lightning Ring to Level 4.,12 Dec 22,(5),5,1.18
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374161/candelabrador-achievement,Candelabrador,Get Santa Water to Level 4.,12 Dec 22,(5),5,1.15
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374140/suor-clerici-achievement,Suor Clerici,Recover a total of 1000 HP.,12 Dec 22,(5),5,1.15
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374157/empty-tome-achievement,Empty Tome,Hold 6 different weapons at once.,11 Dec 22,(5),5,1.07
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374142/inlaid-library-achievement,Inlaid Library,Reach Level 20 in the Mad Forest.,11 Dec 22,(5),5,1.13
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374144/lightning-ring-achievement,Lightning Ring,Defeat a total of 5000 enemies.,11 Dec 22,(5),5,1.09
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374147/magnet-achievement,Magnet,Find a Vacuum.,11 Dec 22,(5),5,1.11
