achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385677/battle-ready-achievement,Battle Ready,[TUTORIAL] Finished the tutorial until the end.,02 May 23,(15),,"Battle Ready
[TUTORIAL] Finished the tutorial until the end."
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271192/welcome-to-truberbrook-achievement,Welcome to Trüberbrook,Finish Chapter One,27 Mar 23,(50),,"Welcome to Trüberbrook
Finish Chapter One"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271209/ode-to-klaus-achievement,Ode to Klaus,Save Klaus,27 Mar 23,(25),,"Ode to Klaus
Save Klaus"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271210/the-patron-of-truberbrook-achievement,The Patron of Trüberbrook,Listen to the Baron's Story,27 Mar 23,(15),,"The Patron of Trüberbrook
Listen to the Baron's Story"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271199/wrapped-in-plastic-achievement,Wrapped in Plastic,Record 15 Dictaphone Entries,27 Mar 23,(15),,"Wrapped in Plastic
Record 15 Dictaphone Entries"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271211/family-business-achievement,Family Business,Listen to Trude's Story,27 Mar 23,(15),,"Family Business
Listen to Trude's Story"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271218/the-star-cybernetician-achievement,The Star Cybernetician,Listen to Leni's Story,27 Mar 23,(15),,"The Star Cybernetician
Listen to Leni's Story"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271198/beverly-achievement,Beverly,Record 10 Dictaphone Entries,27 Mar 23,(10),,"Beverly
Record 10 Dictaphone Entries"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271213/road-trip-achievement,Road Trip,Listen to Gretchen's Story,19 Mar 23,(15),,"Road Trip
Listen to Gretchen's Story"
https://www.trueachievements.com/game/Truberbrook/achievements,https://www.trueachievements.com/a271191/the-lazarus-incident-achievement,The Lazarus Incident,Finish the Prologue,19 Mar 23,(50),,"The Lazarus Incident
Finish the Prologue"
https://www.trueachievements.com/game/Forza-Horizon-4/achievements,https://www.trueachievements.com/a259005/spring-into-action-achievement,Spring Into Action,Qualify for Horizon Spring.,11 Feb 23,(10),,"Spring Into Action
Qualify for Horizon Spring."
https://www.trueachievements.com/game/Forza-Horizon-4/achievements,https://www.trueachievements.com/a301460/stay-safe-achievement,Stay Safe,Get 25 Clean Racing Skills in any A Class Car.,11 Feb 23,(30),,"Stay Safe
Get 25 Clean Racing Skills in any A Class Car."
https://www.trueachievements.com/game/Tunic/achievements,https://www.trueachievements.com/a355776/mr-mayor-achievement,Mr Mayor,Found Secret Treasure #1,30 Dec 22,(50),,"Mr Mayor
Found Secret Treasure #1"
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153469/anvil-gates-last-resort-achievement,Anvil Gate's Last Resort,Defended Anvil Gate from the Locust siege.,Offline,(10),,"Anvil Gate's Last Resort
Defended Anvil Gate from the Locust siege."
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153448/bairds-favorite-kind-of-toy-achievement,Baird's Favorite Kind of Toy,Launched the sub.,Offline,(10),,"Baird's Favorite Kind of Toy
Launched the sub."
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153466/brothers-to-the-end-achievement,Brothers to the End,Found and activated the fuel pump.,Offline,(10),,"Brothers to the End
Found and activated the fuel pump."
https://www.trueachievements.com/game/Gears-of-War-3/achievements,https://www.trueachievements.com/a153450/look-at-that-instant-summer-achievement,"Look at That, Instant Summer.",Turned off the Maelstrom device.,Offline,(10),,"Look at That, Instant Summer.
Turned off the Maelstrom device."
