achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Planet-of-Lana/achievements,https://www.trueachievements.com/a393566/finding-secret-shrine-110-achievement,Finding Secret Shrine 1/10,Discovered a secret shrine,26 May 23,(40),,"Finding Secret Shrine 1/10
Discovered a secret shrine"
https://www.trueachievements.com/game/Planet-of-Lana/achievements,https://www.trueachievements.com/a393564/the-journey-begins-achievement,The Journey Begins,Surviving the invasion,26 May 23,(10),,"The Journey Begins
Surviving the invasion"
https://www.trueachievements.com/game/Planet-of-Lana/achievements,https://www.trueachievements.com/a393565/sneaky-sisters-achievement,Sneaky Sisters,Sneaking past the chef,26 May 23,(10),,"Sneaky Sisters
Sneaking past the chef"
https://www.trueachievements.com/game/DOOM-1993/achievements,https://www.trueachievements.com/a278813/timing-is-everything-achievement,Timing Is Everything,Kill 2 enemies with a single barrel explosion,25 May 23,(50),,"Timing Is Everything
Kill 2 enemies with a single barrel explosion"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295513/crystal-craving-achievement,Crystal Craving,"Upgrade Health, Armor, or Ammo",18 May 23,(20),,"Crystal Craving
Upgrade Health, Armor, or Ammo"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295501/doomsday-achievement,Doomsday,Complete Hell on Earth,18 May 23,(20),,"Doomsday
Complete Hell on Earth"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295502/darn-it-they-keep-breaking-achievement,"Darn It, They Keep BREAKING",Perform 33 Unique Glory Kills in a single save slot,18 May 23,(33),,"Darn It, They Keep BREAKING
Perform 33 Unique Glory Kills in a single save slot"
https://www.trueachievements.com/game/Out-of-Space/achievements,https://www.trueachievements.com/a312476/moving-out-achievement,Moving out,Complete the tutorial.,17 May 23,(10),,"Moving out
Complete the tutorial."
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345293/showoff-achievement,Showoff,Was one of the top players in a round,15 May 23,(35),,"Showoff
Was one of the top players in a round"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287291/happy-go-wookiee-achievement,Happy Go Wookiee,Freed the Wookiees from Imperial imprisonment,13 May 23,(25),,"Happy Go Wookiee
Freed the Wookiees from Imperial imprisonment"
https://www.trueachievements.com/game/Out-of-Space/achievements,https://www.trueachievements.com/a312478/not-the-best-place-yet-achievement,Not the best place yet,Play 8 matches.,11 May 23,(30),,"Not the best place yet
Play 8 matches."
https://www.trueachievements.com/game/Out-of-Space/achievements,https://www.trueachievements.com/a312484/think-about-the-environment-achievement,Think about the environment!,Recycle 250 Items.,11 May 23,(25),,"Think about the environment!
Recycle 250 Items."
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273892/wipeout-achievement,Wipeout,Get REKT,11 May 23,(10),,"Wipeout
Get REKT"
https://www.trueachievements.com/game/Descenders/achievements,https://www.trueachievements.com/a273896/represent-your-style-achievement,Represent your style,Complete a team node,11 May 23,(10),,"Represent your style
Complete a team node"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287288/the-obstacle-is-the-way-achievement,The Obstacle is the Way,Completed the Tomb of Eilram,11 May 23,(25),,"The Obstacle is the Way
Completed the Tomb of Eilram"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287297/back-at-you-achievement,Back At You,Defeated 50 enemies with reflected blaster bolts,11 May 23,(10),,"Back At You
Defeated 50 enemies with reflected blaster bolts"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287315/the-full-glowup-achievement,The Full Glow-Up,"Customized the look of Cal, BD-1, and the Mantis",11 May 23,(10),,"The Full Glow-Up
Customized the look of Cal, BD-1, and the Mantis"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287287/a-long-time-ago-achievement,A Long Time Ago,Discovered the Bogano Vault,10 May 23,(25),,"A Long Time Ago
Discovered the Bogano Vault"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287314/sabersmith-achievement,Sabersmith,Fully customized your lightsaber,10 May 23,(10),,"Sabersmith
Fully customized your lightsaber"
https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,https://www.trueachievements.com/a287286/the-mantis-achievement,The Mantis,Joined the crew,10 May 23,(25),,"The Mantis
Joined the crew"
https://www.trueachievements.com/game/Darkest-Dungeon/achievements,https://www.trueachievements.com/a248388/welcome-home-achievement,Welcome home...,Reach the Estate,09 May 23,(15),,"Welcome home...
Reach the Estate"
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257075/slash-slash-roll-achievement,Slash! Slash! Roll!,Unlock 10 weapons.,09 May 23,(10),,"Slash! Slash! Roll!
Unlock 10 weapons."
https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,https://www.trueachievements.com/a194202/customized-achievement,Customized,Enchant or upgrade a piece of equipment in single-player mode.,04 May 23,(15),,"Customized
Enchant or upgrade a piece of equipment in single-player mode."
https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,https://www.trueachievements.com/a194188/the-wrath-of-heaven-achievement,The Wrath of Heaven,Finish the prologue.,04 May 23,(15),,"The Wrath of Heaven
Finish the prologue."
https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,https://www.trueachievements.com/a194210/synergized-achievement,Synergized,Trigger a cross-class combo with a character you control in single-player mode.,04 May 23,(15),,"Synergized
Trigger a cross-class combo with a character you control in single-player mode."
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257057/finally-a-moment-of-rest-achievement,"Finally, a moment of rest...",Reach the Black Bridge for the first time.,04 May 23,(10),,"Finally, a moment of rest...
Reach the Black Bridge for the first time."
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257056/a-room-with-a-view-achievement,A room with a view!,Reach the Ramparts for the first time.,04 May 23,(10),,"A room with a view!
Reach the Ramparts for the first time."
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257081/arriba-arriba-andale-andale-achievement,"¡Arriba, arriba! ¡Ándale, ándale!",Open your first timed door.,04 May 23,(10),,"¡Arriba, arriba! ¡Ándale, ándale!
Open your first timed door."
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257080/absolution-achievement,Absolution,Be cursed... Survive.,04 May 23,(10),,"Absolution
Be cursed... Survive."
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257064/quit-tickling-achievement,Quit tickling!,Absorb the Vine Rune.,04 May 23,(20),,"Quit tickling!
Absorb the Vine Rune."
https://www.trueachievements.com/game/Dead-Cells/achievements,https://www.trueachievements.com/a257054/shrewd-sleuth-achievement,Shrewd sleuth,Find your first secret zone.,04 May 23,(10),,"Shrewd sleuth
Find your first secret zone."
https://www.trueachievements.com/game/Out-of-Space/achievements,https://www.trueachievements.com/a312483/work-work-achievement,"""Work, work""",Build 50 pieces of furniture.,02 May 23,(25),,"""Work, work""
Build 50 pieces of furniture."
https://www.trueachievements.com/game/Out-of-Space/achievements,https://www.trueachievements.com/a312500/hey-roomies-achievement,"""Hey, roomies!""",Play with friends.,02 May 23,(25),,"""Hey, roomies!""
Play with friends."
https://www.trueachievements.com/game/Out-of-Space/achievements,https://www.trueachievements.com/a312479/bachelors-apartment-achievement,Bachelor's apartment,Win a match in a Small Ship.,02 May 23,(20),,"Bachelor's apartment
Win a match in a Small Ship."
https://www.trueachievements.com/game/Medieval-Dynasty/achievements,https://www.trueachievements.com/a340466/oopsie-daisy-achievement,Oopsie daisy,Die.,02 May 23,(5),,"Oopsie daisy
Die."
https://www.trueachievements.com/game/Medieval-Dynasty/achievements,https://www.trueachievements.com/a340444/camp-achievement,Camp,Reach Camp development level.,02 May 23,(15),,"Camp
Reach Camp development level."
https://www.trueachievements.com/game/Medieval-Dynasty/achievements,https://www.trueachievements.com/a340435/a-new-home-achievement,A new home,Build your first house.,02 May 23,(10),,"A new home
Build your first house."
https://www.trueachievements.com/game/Medieval-Dynasty/achievements,https://www.trueachievements.com/a340443/hermitage-achievement,Hermitage,Reach Hermitage development level.,02 May 23,(10),,"Hermitage
Reach Hermitage development level."
