achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10104/heartbreaker-achievement,Heartbreaker,Complete Portal.,03 Jul 21,(10),13,1.32
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10105/long-jump-achievement,Long Jump,Jump 300 feet.,03 Jul 21,(5),10,2.03
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10106/partygoer-achievement,Partygoer,Make the correct party escort submission position decision.,03 Jul 21,(5),6,1.3
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10107/fratricide-achievement,Fratricide,Do whatever it takes to survive.,03 Jul 21,(5),6,1.23
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10108/friendly-fire-achievement,Friendly Fire,Knock down a turret with another turret.,03 Jul 21,(5),6,1.34
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200109/pest-control-achievement,Pest Control,"Destroy all monster nests in the Velen / Novigrad region, or in Skellige.",01 Jul 21,(30),68,2.27
https://www.trueachievements.com/game/The-Orange-Box/achievements,https://www.trueachievements.com/a10109/lab-rat-achievement,Lab Rat,Acquire the fully powered Aperture Science Handheld Portal Device.,28 Jun 21,(5),5,1.11
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200115/armed-and-dangerous-achievement,Armed and Dangerous,Find and equip all the elements of one set of witcher gear.,21 Jun 21,(30),58,1.93
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216679/dressed-to-kill-achievement,Dressed to Kill,Unlock the bonus for equipping all the witcher gear elements from one School.,21 Jun 21,(35),74,2.11
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216674/embodiment-of-the-five-virtues-achievement,Embodiment of the Five Virtues,Be given Aerondight by the Lady of the Lake.,21 Jun 21,(35),62,1.79
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216677/i-have-a-gwent-problem-achievement,I Have a Gwent Problem,Collect all the cards in the Skellige deck.,21 Jun 21,(50),112,2.25
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200122/geralt-and-friends-achievement,Geralt and Friends,Win a round of gwent using only neutral cards.,20 Jun 21,(15),28,1.89
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a208379/killed-it-achievement,Killed It,Win a round of gwent with a total strength of at least 187.,20 Jun 21,(50),166,3.33
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200111/gwent-master-achievement,Gwent Master,Defeat Tybalt and win the gwent tournament held at the Passiflora.,24 May 21,(15),35,2.38
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216678/the-grapes-of-wrath-stomped-achievement,The Grapes of Wrath Stomped,Help unite the warring vineyards and have a wine named in your honor.,23 May 21,(35),67,1.92
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200117/brawl-master-achievement,Brawl Master,"Complete all fistfighting quests in Velen, Skellige and Novigrad.",23 May 21,(15),28,1.9
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200104/brawler-achievement,Brawler,"Defeat Olaf, the Skellige champion of unarmed combat.",23 May 21,(30),54,1.81
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200128/ashes-to-ashes-achievement,Ashes to Ashes,Complete the contract on Therazane.,22 Nov 20,(15),25,1.67
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a208378/rad-steez-bro-achievement,"Rad Steez, Bro!",Slide downhill uninterrupted for at least 10 seconds.,20 Nov 20,(35),65,1.86
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200125/fearless-vampire-slayer-achievement,Fearless Vampire Slayer,Complete the contract on Sarasti.,17 Nov 20,(15),24,1.63
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200129/the-doppler-effect-achievement,The Doppler Effect,Resolve the doppler problem in Novigrad.,17 Nov 20,(15),22,1.5
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200127/fiend-or-foe-achievement,Fiend or Foe?,Complete the contract on Morvudd.,15 Nov 20,(15),26,1.76
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216671/last-action-hero-achievement,Last Action Hero,Be decorated with the Order of Vitis Vinifera.,12 Nov 20,(35),61,1.75
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216673/a-knight-to-remember-achievement,A Knight to Remember,Obtain a flawless victory in all the competitions during the knights' tourney.,01 Nov 20,(35),65,1.86
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216680/weapon-w-achievement,"Weapon ""W""",Develop a mutation.,27 Oct 20,(35),57,1.63
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216675/playing-house-achievement,Playing House,Use all available options for developing Corvo Bianco.,25 Oct 20,(35),60,1.74
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200131/mutant-achievement,Mutant,Fill all mutagen slots.,24 Oct 20,(15),23,1.56
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a216670/the-witchers-gone-south-achievement,The Witcher's Gone South,Travel to the Duchy of Toussaint.,23 Oct 20,(35),51,1.47
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a208371/pacta-sunt-servanda-achievement,Pacta Sunt Servanda,"Finish the ""Hearts of Stone"" expansion.",23 Oct 20,(35),54,1.56
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a208370/curator-of-nightmares-achievement,Curator of Nightmares,Recreate all of Iris' nightmares in the Painted World.,20 Oct 20,(35),66,1.9
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a208369/shopaholic-achievement,Shopaholic,Buy all the items put on the block at the Borsodis' Auction House.,18 Oct 20,(35),69,1.99
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a208367/im-not-kissing-that-achievement,I'm Not Kissing That,Kill the prince cursed into a toad.,16 Oct 20,(35),51,1.47
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200119/munchkin-achievement,Munchkin,Reach character development level 35.,16 Oct 20,(65),111,1.7
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200087/passed-the-trial-achievement,Passed the Trial,Finish the game on any difficulty.,16 Oct 20,(15),24,1.61
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200086/the-king-is-dead-achievement,The King is Dead,Defeat Eredin.,16 Oct 20,(30),48,1.61
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200092/assassin-of-kings-achievement,Assassin of Kings,Take part in the assassination of King Radovid.,16 Oct 20,(15),29,1.96
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200108/globetrotter-achievement,Globetrotter,Discover 100 fast travel points.,11 Oct 20,(15),23,1.56
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,https://www.trueachievements.com/a200085/xenonaut-achievement,Xenonaut,Visit Tir ná Lia and convince Ge'els to betray Eredin.,10 Oct 20,(15),23,1.57
