achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,https://www.trueachievements.com/a71864/sally-likes-blood-achievement,Sally Likes Blood,Demonstrate killer economic sensibilities by taking down 3 enemies with a single bullet.,18 Jan 20,(15),19,1.3
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286461/out-of-the-fire-achievement,Out of the Fire,Complete every single player mission on Veteran or Realism difficulty.,21 Nov 19,(150),336,2.24
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286457/hang-time-achievement,Hang Time,Kill 3 Enemies while you are on a ladder.,30 Oct 19,(20),36,1.82
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286477/circus-tour-achievement,Circus Tour,"Kill at least one enemy while inside The Reading Place, Aural Chic and both Subway undergrounds.",30 Oct 19,(30),75,2.51
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286466/golden-path-achievement,Golden Path,Complete 'Clean House' without being hit using one bullet per threat.,30 Oct 19,(50),126,2.53
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286464/companion-block-achievement,Companion Block,Only use one cinder block and bring it to the end of 'Embedded'.,29 Oct 19,(40),84,2.12
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286463/play-dead-achievement,Play Dead,Kill all the enemies in the 'Embedded' field of dead bodies.,29 Oct 19,(25),50,2.0
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286456/ashes-to-ashes-achievement,Ashes to Ashes,Burn 4 enemies with a single molotov.,28 Oct 19,(25),46,1.86
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286459/wild-fire-achievement,Wild Fire,Take down a flying Helicopter with a molotov.,28 Oct 19,(40),88,2.21
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286458/long-way-down-achievement,Long Way Down,Crash a helicopter by shooting the pilot.,28 Oct 19,(30),43,1.45
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286454/nothing-but-net-achievement,Nothing but Net,Neutralize the 'Fog of War' machine gun with a frag grenade.,28 Oct 19,(20),29,1.48
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286465/wall-hax-achievement,Wall Hax,Save Alpha 3-2 from being downed.,28 Oct 19,(25),48,1.92
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286453/trigger-discipline-achievement,Trigger Discipline,Do not injure any civilians in 'Piccadilly'.,28 Oct 19,(50),68,1.36
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286460/good-effect-on-target-achievement,Good Effect on Target,Kill an enemy with a direct hit from a smoke grenade.,28 Oct 19,(20),49,2.45
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286455/press-boom-to-defuse-achievement,Press [BOOM] to Defuse,Blow up 3 tripwires with explosives.,28 Oct 19,(20),34,1.71
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286462/tea-time-achievement,Tea Time,Complete the single player Campaign on any difficulty.,28 Oct 19,(100),114,1.14
