achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343750/guardians-of-the-galaxy-achievement,Guardians of the Galaxy,Complete Marvel's Guardians of the Galaxy.,19 Feb 23,(100),145,1.45
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343757/poetry-critic-achievement,Poetry Critic,Defeat The Magus.,19 Feb 23,(15),21,1.43
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343749/the-magus-achievement,The Magus,Complete Chapter 16.,19 Feb 23,(15),21,1.43
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343748/broken-promises-achievement,Broken Promises,Complete Chapter 15.,19 Feb 23,(15),21,1.43
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343756/faithless-achievement,Faithless,Defeat Grand Unifier Raker.,19 Feb 23,(15),21,1.42
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343777/herbal-remedy-achievement,Herbal Remedy,Revive or Heal Companions 10 times with Groot's Gift of the Florae.,19 Feb 23,(15),22,1.49
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343747/into-the-fire-achievement,Into The Fire,Complete Chapter 14.,19 Feb 23,(15),21,1.42
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343769/drax-the-dismemberer-achievement,Drax the Dismemberer,Dismember an Inquisitor with Drax's Call to Action.,19 Feb 23,(15),29,1.97
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343776/boom-show-achievement,Boom Show,Defeat 20 enemies with Rocket's Five Barrel Barrage.,19 Feb 23,(15),23,1.54
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203834/bake-bread-achievement,Bake Bread,Turn wheat into bread.,18 Feb 23,(15),22,1.48
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203844/getting-wood-achievement,Getting Wood,Punch a tree until a block of wood pops out.,18 Feb 23,(10),10,1.04
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343746/against-all-odds-achievement,Against All Odds,Complete Chapter 13.,01 Feb 23,(15),21,1.41
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343759/fully-loaded-achievement,Fully Loaded,Invest in all Special Abilities for all Companions.,01 Feb 23,(15),21,1.42
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343755/fooms-doom-achievement,Foom's Doom,Defeat Fin Fang Foom.,01 Feb 23,(15),21,1.41
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343763/lava-launcher-achievement,Lava Launcher,Acquire the Plasma Element for Star-Lord's guns.,01 Feb 23,(15),21,1.4
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343773/bullet-hell-achievement,Bullet Hell,Defeat 15 enemies with Star-Lord's Fan the Hammer ability.,01 Feb 23,(15),25,1.69
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343745/knowhere-to-run-achievement,Knowhere to Run,Complete Chapter 12.,27 Jan 23,(15),20,1.39
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343774/adding-injury-to-insult-achievement,Adding Injury to Insult,Defeat 10 enemies affected by Drax's Wrath of Katath ability.,27 Jan 23,(15),21,1.42
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343744/mind-over-matter-achievement,Mind Over Matter,Complete Chapter 11.,27 Jan 23,(15),20,1.37
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374139/grim-grimoire-achievement,Grim Grimoire,Find the Grim Grimoire.,27 Jan 23,(5),5,1.16
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374200/mindbender-achievement,Mindbender,Fill 50 entries in the Collection.,27 Jan 23,(5),6,1.3
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343754/titanslayer-achievement,Titanslayer,Survive the manifestations of Thanos.,24 Jan 23,(15),20,1.37
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343743/test-of-faith-achievement,Test of Faith,Complete Chapter 10.,24 Jan 23,(15),20,1.37
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343779/killer-friendship-achievement,Killer Friendship,Execute an Auto-Combo with Gamora.,24 Jan 23,(15),18,1.25
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343762/fan-friction-achievement,Fan Friction,Acquire the Wind Element for Star-Lord's guns.,24 Jan 23,(15),20,1.36
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343768/groot-canal-achievement,Groot Canal,Interrupt a Charger with Groot's Call to Action.,24 Jan 23,(15),31,2.09
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343742/desperate-times-achievement,Desperate Times,Complete Chapter 9.,22 Jan 23,(15),20,1.35
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343787/galactic-frugality-achievement,Galactic Frugality,Pay your Nova Corps fine.,22 Jan 23,(15),25,1.67
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343741/the-matriarch-achievement,The Matriarch,Complete Chapter 8.,20 Jan 23,(15),20,1.33
