achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344761/first-love-achievement,First Love,Purchase your first car from the Autoshow,14 Nov 21,(10),,"First Love
Purchase your first car from the Autoshow"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344779/manufacturer-affinity-achievement,Manufacturer Affinity,Earn a Manufacturer Bonus,12 Nov 21,(10),,"Manufacturer Affinity
Earn a Manufacturer Bonus"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344767/far-from-the-mudding-crowd-achievement,Far from the Mudding Crowd,Build the Horizon Apex outpost,12 Nov 21,(10),,"Far from the Mudding Crowd
Build the Horizon Apex outpost"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344782/no-stone-unturned-achievement,No Stone Unturned,Complete your first Expedition,12 Nov 21,(30),,"No Stone Unturned
Complete your first Expedition"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344781/an-item-of-extreme-value-achievement,An Item Of Extreme Value,Discover and photograph the Golden Tlaloc Totem,12 Nov 21,(10),,"An Item Of Extreme Value
Discover and photograph the Golden Tlaloc Totem"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344802/stunning-photography-achievement,Stunning Photography,Take a photo during a tropical storm,12 Nov 21,(10),,"Stunning Photography
Take a photo during a tropical storm"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344808/new-tune-achievement,New Tune,Find a place to install the Horizon Pulse Radio Beacon,12 Nov 21,(10),,"New Tune
Find a place to install the Horizon Pulse Radio Beacon"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344762/this-is-the-way-achievement,This Is The Way,Start a new chapter of the Horizon Adventure,12 Nov 21,(20),,"This Is The Way
Start a new chapter of the Horizon Adventure"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344760/mi-casa-achievement,Mi Casa,Unlock the first Player House,12 Nov 21,(10),,"Mi Casa
Unlock the first Player House"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344757/race-into-action-achievement,Race into Action,Complete any Horizon Race Event,12 Nov 21,(10),,"Race into Action
Complete any Horizon Race Event"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344758/adaptable-achievement,Adaptable,Complete the On a Wing and a Prayer Showcase Event,10 Nov 21,(10),,"Adaptable
Complete the On a Wing and a Prayer Showcase Event"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344756/welcome-to-mexico-achievement,Welcome to Mexico,Arrive at Horizon Festival Mexico site,10 Nov 21,(10),,"Welcome to Mexico
Arrive at Horizon Festival Mexico site"
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249773/keeper-of-a-glittering-hoard-achievement,Keeper of a Glittering Hoard,"Received the Commendation for earning 150,000 gold from Gold Hoarder voyages.",14 Aug 21,(30),,"Keeper of a Glittering Hoard
Received the Commendation for earning 150,000 gold from Gold Hoarder voyages."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a273715/well-done-achievement,Well Done!,You burned a piece of food.,02 Aug 20,(5),,"Well Done!
You burned a piece of food."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a273741/the-cursed-rogue-achievement,The Cursed Rogue,Completed 'The Cursed Rogue' Tall Tale.,29 Jul 20,(10),,"The Cursed Rogue
Completed 'The Cursed Rogue' Tall Tale."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a273731/five-a-day-achievement,Five a Day,You've eaten at least one piece of every kind of fruit.,26 Jul 20,(5),,"Five a Day
You've eaten at least one piece of every kind of fruit."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249733/im-on-a-whole-new-adventure-achievement,I'm On A Whole New Adventure,You voted for and began a voyage put forward by one of your crew.,26 Jul 20,(10),,"I'm On A Whole New Adventure
You voted for and began a voyage put forward by one of your crew."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249761/legends--this-is-unacceptable-achievement,"Legends - ""This is Unacceptable!""",Another crew took one of your chests and cashed it in.,26 Jul 20,(25),,"Legends - ""This is Unacceptable!""
Another crew took one of your chests and cashed it in."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249731/i-dont-see-your-ship-achievement,I Don’t See Your Ship,You took part in the sinking of another crew's ship.,26 Jul 20,(20),,"I Don’t See Your Ship
You took part in the sinking of another crew's ship."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249739/handbrake-turn-achievement,Handbrake Turn,You changed course by dropping anchor while the ship's wheel was at full lock.,26 Jul 20,(10),,"Handbrake Turn
You changed course by dropping anchor while the ship's wheel was at full lock."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249735/when-youre-a-professional-pirate-achievement,When You're A Professional Pirate,You earned ten Commendations.,23 Jul 20,(20),,"When You're A Professional Pirate
You earned ten Commendations."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a273740/the-shroudbreaker-achievement,The Shroudbreaker,Completed 'The Shroudbreaker' Tall Tale.,20 Jul 20,(10),,"The Shroudbreaker
Completed 'The Shroudbreaker' Tall Tale."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249740/i-wanna-be-a-pirate-achievement,I Wanna Be A Pirate!,Your reputation level with a Trading Company increased for the first time.,20 Jul 20,(10),,"I Wanna Be A Pirate!
Your reputation level with a Trading Company increased for the first time."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249738/full-billow-achievement,Full Billow,You sailed with all sails fully with the wind.,20 Jul 20,(5),,"Full Billow
You sailed with all sails fully with the wind."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249727/bonecronch-achievement,Bone-Cronch,You killed a skeleton while it was 'cronching' on a banana.,20 Jul 20,(10),,"Bone-Cronch
You killed a skeleton while it was 'cronching' on a banana."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249749/how-appropriate-you-fight-like-a-chicken-achievement,How Appropriate! You Fight Like A Chicken,"You had an attack blocked by an opponent, and were hit by them within five seconds.",20 Jul 20,(10),,"How Appropriate! You Fight Like A Chicken
You had an attack blocked by an opponent, and were hit by them within five seconds."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249748/you-fight-like-a-merchant-achievement,You Fight Like A Merchant,"You blocked a melee attack, then struck your opponent within five seconds.",20 Jul 20,(10),,"You Fight Like A Merchant
You blocked a melee attack, then struck your opponent within five seconds."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a273716/not-so-well-done-achievement,Not So Well Done,You became sick from undercooked food.,20 Jul 20,(5),,"Not So Well Done
You became sick from undercooked food."
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249743/what-shall-we-do-with-a-drunken-sailor-achievement,What Shall We Do with a Drunken Sailor?,You vomited for the first time.,20 Jul 20,(10),,"What Shall We Do with a Drunken Sailor?
You vomited for the first time."
