game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"720 / 4,427","465 / 2,070",28 / 91,Owned,Playing now,,49 hrs 28 mins,04 Jul 22,,31 May 23
Fallout 4,https://www.trueachievements.com/game/Fallout-4/achievements,xbox-one,"21 / 1,751","20 / 1,000",2 / 50,Owned,Playing now,,2 hrs 22 mins,23 May 23,,23 May 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"989 / 1,991","605 / 1,000",33 / 45,Owned,Playing now,,47 hrs 59 mins,06 Feb 23,,15 May 23
Dead Island 2,https://www.trueachievements.com/game/Dead-Island-2/achievements,xbox-one,"1,584 / 1,758","880 / 1,000",42 / 45,Owned,Playing now,,46 hrs 55 mins,21 Apr 23,,14 May 23
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"1,581 / 2,421","885 / 1,190",46 / 56,Owned,Playing now,,29 hrs 32 mins,27 Nov 22,,08 May 23
Stardew Valley,https://www.trueachievements.com/game/Stardew-Valley/achievements,xbox-one,"2,050 / 3,166","790 / 1,000",35 / 40,Owned,Playing now,,199 hrs 15 mins,30 May 22,,03 May 23
Coffee Talk Episode 2: Hibiscus and Butterfly,https://www.trueachievements.com/game/Coffee-Talk-Episode-2/achievements,xbox-one,"2,473 / 2,473","1,000 / 1,000",53 / 53,Owned,Playing now,,15 hrs 1 min,24 Apr 23,02 May 23,02 May 23
7 Days to Die,https://www.trueachievements.com/game/7-Days-to-Die/achievements,xbox-one,"1,116 / 4,590","405 / 1,000",22 / 43,Owned,Playing now,,,30 May 22,,02 May 23
Borderlands: Game of the Year Edition,https://www.trueachievements.com/game/Borderlands-Game-of-the-Year-Edition/achievements,xbox-one,"1,986 / 3,247","1,270 / 1,750",61 / 80,Owned,Playing now,,47 hrs 16 mins,27 Oct 22,,29 Apr 23
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"2,977 / 2,977","1,000 / 1,000",36 / 36,Owned,Playing now,,7 hrs 34 mins,21 Mar 23,22 Mar 23,22 Mar 23
Fallout Shelter,https://www.trueachievements.com/game/Fallout-Shelter/achievements,xbox-one,"137 / 2,490","110 / 1,000",7 / 35,Owned,Playing now,,8 hrs 43 mins,18 Mar 23,,21 Mar 23
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"1,957 / 2,051","1,200 / 1,240",22 / 23,Owned,Playing now,,1121 hrs 22 mins,12 Jul 22,,07 Mar 23
Dying Light 2: Stay Human,https://www.trueachievements.com/game/Dying-Light-2/achievements,xbox-one,"2,413 / 3,497","990 / 1,115",59 / 65,Owned,Playing now,,99 hrs 52 mins,01 Jul 22,,19 Feb 23
Dead Space,https://www.trueachievements.com/game/Dead-Space/achievements,xbox-series-x-s,"1,435 / 1,906","840 / 1,000",45 / 47,Owned,Playing now,,25 hrs 32 mins,27 Jan 23,,04 Feb 23
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"3,192 / 3,192","1,550 / 1,550",75 / 75,Owned,Playing now,,83 hrs 59 mins,05 Nov 22,24 Jan 23,24 Jan 23
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"4,684 / 5,495","2,690 / 2,915",124 / 127,Owned,Playing now,,91 hrs 18 mins,31 Dec 22,,23 Jan 23
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"421 / 3,767","265 / 1,250",14 / 59,Owned,Playing now,,589 hrs 36 mins,17 Sep 22,,20 Jan 23
Fallout 3,https://www.trueachievements.com/game/Fallout-3/achievements,xbox-360,"2,506 / 2,505","1,550 / 1,550",72 / 72,Owned,Playing now,,,10 Jun 22,05 Dec 22,05 Dec 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"2,878 / 2,878","1,000 / 1,000",40 / 40,Owned,Playing now,,62 hrs 20 mins,15 Jul 22,02 Dec 22,02 Dec 22
Yakuza 6: The Song of Life,https://www.trueachievements.com/game/Yakuza-6/achievements,xbox-one,"2,114 / 2,114","1,000 / 1,000",59 / 59,Owned,Playing now,,53 hrs 3 mins,13 Sep 22,02 Dec 22,02 Dec 22
Far Cry New Dawn,https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,xbox-one,"1,526 / 1,526","1,000 / 1,000",50 / 50,Owned,Playing now,,26 hrs 35 mins,03 Oct 22,02 Dec 22,02 Dec 22
Cult of the Lamb,https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,xbox-one,"2,024 / 2,024","1,000 / 1,000",37 / 37,Owned,Playing now,,25 hrs 21 mins,07 Oct 22,04 Nov 22,04 Nov 22
Grand Theft Auto V,https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,xbox-series-x-s,"16 / 3,209","15 / 1,000",2 / 50,Owned,Playing now,,1 hr 10 mins,16 Sep 22,,16 Sep 22
Coffee Talk,https://www.trueachievements.com/game/Coffee-Talk/achievements,xbox-one,"1,821 / 1,821","1,000 / 1,000",24 / 24,Owned,Playing now,,6 hrs 16 mins,05 Sep 22,06 Sep 22,06 Sep 22
The Quarry,https://www.trueachievements.com/game/The-Quarry/achievements,xbox-series-x-s,"3,353 / 3,353","1,000 / 1,000",40 / 40,Owned,Playing now,,39 hrs 22 mins,26 Jul 22,08 Aug 22,08 Aug 22
Outriders,https://www.trueachievements.com/game/Outriders/achievements,xbox-one,"2,955 / 2,955","1,305 / 1,305",52 / 52,Owned,Playing now,,57 hrs 20 mins,24 Jun 22,07 Jul 22,07 Jul 22
