game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Gears Tactics,https://www.trueachievements.com/game/Gears-Tactics/achievements,xbox-one,"122 / 8,558","85 / 1,000",11 / 50,Owned,Playing now,,14 hrs 46 mins,28 Apr 20,,23 Apr 23
Halo Wars 2,https://www.trueachievements.com/game/Halo-Wars-2/achievements,xbox-one,"116 / 3,295","90 / 1,060",8 / 60,Owned,Playing now,,6 hrs 53 mins,07 Sep 19,,01 Jan 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"913 / 2,441","575 / 1,000",22 / 32,Owned,Playing now,,38 hrs 4 mins,15 Dec 22,,30 Dec 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,457 / 5,391","825 / 2,020",72 / 144,Owned,Playing now,,51 hrs 34 mins,19 Nov 21,,30 Nov 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"175 / 20,154","115 / 5,500",16 / 550,Owned,,,7 hrs 1 min,06 Jan 15,,08 Aug 21
The Outer Worlds (Windows),https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,windows,"1,231 / 3,223","580 / 1,000",25 / 48,Owned,Playing now,,91 hrs 12 mins,27 Oct 19,,21 Jun 20
ACA NEOGEO METAL SLUG X (Windows),https://www.trueachievements.com/game/ACA-NEOGEO-METAL-SLUG-X-Windows/achievements,windows,"174 / 1,501","160 / 1,000",2 / 12,Owned,Playing now,,53 mins,17 May 20,,17 May 20
Crackdown 3: Campaign,https://www.trueachievements.com/game/Crackdown-3/achievements,xbox-one,"161 / 2,637","125 / 1,000",17 / 70,Owned,Playing now,,49 hrs 10 mins,21 Jan 20,,01 Mar 20
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"692 / 2,036","470 / 1,000",37 / 62,Owned,Playing now,,11 hrs 55 mins,27 Nov 19,,05 Jan 20
Gears POP!,https://www.trueachievements.com/game/Gears-POP/achievements,windows,"260 / 3,581","205 / 1,000",16 / 45,Owned,Playing now,,5 hrs 15 mins,21 Dec 19,,24 Dec 19
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"497 / 4,977","245 / 1,000",22 / 68,Owned,Playing now,,40 hrs 38 mins,07 Sep 19,,21 Dec 19
Madden NFL 18,https://www.trueachievements.com/game/Madden-NFL-18/achievements,xbox-one,"503 / 2,630","260 / 1,000",16 / 40,Owned,Playing now,,77 hrs 13 mins,21 Jan 18,,23 Mar 18
Madden NFL 17,https://www.trueachievements.com/game/Madden-NFL-17/achievements,xbox-one,"1,001 / 2,358","520 / 1,000",22 / 35,Owned,Playing now,,108 hrs 10 mins,22 Nov 16,,31 Oct 17
Rayman 3 HD,https://www.trueachievements.com/game/Rayman-3-HD/achievements,xbox-360,"5 / 2,154",5 / 200,1 / 12,Owned,Playing now,,,20 Oct 17,,20 Oct 17
HITMAN,https://www.trueachievements.com/game/HITMAN/achievements,xbox-one,148 / 665,115 / 300,7 / 17,Owned,Playing now,,38 mins,20 Oct 17,,20 Oct 17
FIFA 17,https://www.trueachievements.com/game/FIFA-17/achievements,xbox-one,"34 / 2,215","30 / 1,000",2 / 44,Owned,Playing now,,16 hrs 15 mins,06 Oct 17,,08 Oct 17
NBA 2K17,https://www.trueachievements.com/game/NBA-2K17/achievements,xbox-one,"543 / 5,289","320 / 1,000",16 / 49,Owned,Playing now,,146 hrs 20 mins,20 Oct 16,,01 Oct 17
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"713 / 5,370","545 / 1,500",44 / 93,Owned,Playing now,,28 hrs 42 mins,18 Oct 16,,22 Sep 17
Trials Fusion,https://www.trueachievements.com/game/Trials-Fusion/achievements,xbox-one,"25 / 4,928","25 / 1,000",1 / 16,Owned,Playing now,,1 hr 6 mins,20 Sep 17,,20 Sep 17
Forza Motorsport 5,https://www.trueachievements.com/game/Forza-Motorsport-5/achievements,xbox-one,"15 / 4,359","15 / 1,000",3 / 78,Owned,Playing now,,1 hr 37 mins,18 Sep 17,,18 Sep 17
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"401 / 1,626","300 / 1,000",5 / 13,Owned,Playing now,,37 hrs 44 mins,11 Sep 17,,15 Sep 17
Tekken Tag Tournament 2,https://www.trueachievements.com/game/Tekken-Tag-Tournament-2/achievements,xbox-360,"185 / 2,644","140 / 1,000",8 / 50,Owned,Playing now,,,30 May 17,,30 May 17
Project CARS,https://www.trueachievements.com/game/Project-CARS/achievements,xbox-one,"78 / 5,715","45 / 1,000",4 / 45,Owned,Playing now,,2 hrs 51 mins,27 Mar 17,,19 May 17
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"196 / 1,797","155 / 1,000",4 / 11,Owned,Playing now,,5 hrs 45 mins,14 Feb 17,,15 Feb 17
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"392 / 1,488","305 / 1,000",21 / 48,Owned,Playing now,,38 hrs 0 mins,27 Aug 16,,01 Feb 17
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"1,197 / 1,821","740 / 1,000",44 / 50,Owned,Playing now,,85 hrs 11 mins,10 Dec 16,,17 Jan 17
Mortal Kombat X,https://www.trueachievements.com/game/Mortal-Kombat-X/achievements,xbox-one,"205 / 4,663","145 / 1,000",12 / 60,Owned,Playing now,,16 hrs 26 mins,21 Dec 16,,10 Jan 17
Battlefield 1,https://www.trueachievements.com/game/Battlefield-1/achievements,xbox-one,"312 / 2,687","200 / 1,000",6 / 31,Owned,Playing now,,46 hrs 7 mins,23 Oct 16,,07 Jan 17
Super Mega Baseball: Extra Innings,https://www.trueachievements.com/game/Super-Mega-Baseball-Extra-Innings/achievements,xbox-one,"129 / 7,800","60 / 1,000",5 / 25,Owned,Playing now,,6 hrs 12 mins,31 Oct 16,,24 Nov 16
WWE 2K16,https://www.trueachievements.com/game/WWE-2K16/achievements,xbox-one,"143 / 4,834","90 / 1,000",6 / 55,Owned,Playing now,,7 hrs 50 mins,17 Sep 16,,20 Sep 16
NBA 2K17: The Prelude,https://www.trueachievements.com/game/NBA-2K17-The-Prelude/achievements,xbox-one,"458 / 1,267","400 / 1,000",6 / 10,Owned,Playing now,,4 hrs 0 mins,18 Sep 16,,18 Sep 16
