game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Planet of Lana,https://www.trueachievements.com/game/Planet-of-Lana/achievements,xbox-one,"20 / 3,849","20 / 1,000",2 / 25,Owned,Playing now,,37 mins,29 May 23,,29 May 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"551 / 23,398","280 / 2,855",24 / 143,Owned,Playing now,,19 hrs 53 mins,04 Jul 22,,12 May 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"99 / 4,483","80 / 1,000",6 / 44,Owned,Playing now,,1 hr 26 mins,19 Feb 23,,05 Mar 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"32 / 2,696","30 / 1,000",2 / 51,Owned,Playing now,,57 mins,05 Mar 23,,05 Mar 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"84 / 2,441","80 / 1,000",4 / 32,Owned,Playing now,,2 hrs 41 mins,20 Dec 22,,25 Dec 22
The Walking Dead,https://www.trueachievements.com/game/The-Walking-Dead/achievements,xbox-one,"1,206 / 1,348","910 / 1,000",44 / 48,Owned,Playing now,,,30 Oct 22,,08 Nov 22
The Walking Dead: A New Frontier,https://www.trueachievements.com/game/The-Walking-Dead-A-New-Frontier/achievements,xbox-one,"1,026 / 1,068","960 / 1,000",28 / 30,Owned,Playing now,,,05 Nov 22,,06 Nov 22
The Walking Dead: Season Two,https://www.trueachievements.com/game/The-Walking-Dead-Season-Two/achievements,xbox-one,"993 / 1,119","890 / 1,000",36 / 40,Owned,Playing now,,,04 Nov 22,,05 Nov 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"525 / 3,085","340 / 1,130",25 / 61,Owned,Playing now,,25 hrs 51 mins,11 Nov 21,,29 Oct 22
Farming Simulator 22,https://www.trueachievements.com/game/Farming-Simulator-22/achievements,xbox-one,"655 / 3,389","345 / 1,000",19 / 45,Owned,Playing now,,136 hrs 49 mins,05 Feb 22,,29 Oct 22
Maneater,https://www.trueachievements.com/game/Maneater/achievements,xbox-one,"2,141 / 2,795","1,080 / 1,350",37 / 44,Owned,Playing now,,135 hrs 54 mins,11 Jun 20,,26 Oct 22
Just Cause 4,https://www.trueachievements.com/game/Just-Cause-4/achievements,xbox-one,"101 / 4,515","80 / 1,000",3 / 34,Owned,Playing now,,5 hrs 32 mins,23 Oct 22,,24 Oct 22
Totally Reliable Delivery Service,https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,xbox-one,"295 / 4,187","165 / 1,000",10 / 25,Owned,Playing now,,15 hrs 13 mins,27 Mar 21,,24 Oct 22
Cooking Simulator,https://www.trueachievements.com/game/Cooking-Simulator/achievements,xbox-one,"1,070 / 3,303","280 / 1,000",11 / 33,Owned,Playing now,,9 hrs 2 mins,21 Oct 22,,23 Oct 22
For Honor,https://www.trueachievements.com/game/For-Honor/achievements,xbox-one,"61 / 2,635","40 / 1,000",4 / 54,Owned,Playing now,,4 hrs 8 mins,15 Oct 22,,17 Oct 22
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"29 / 2,988","16 / 1,000",1 / 27,Owned,Playing now,,4 hrs 55 mins,16 Oct 22,,16 Oct 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"2,395 / 2,878","870 / 1,000",36 / 40,Owned,Playing now,,137 hrs 35 mins,16 Jul 22,,14 Oct 22
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"20 / 1,764","20 / 1,000",2 / 49,Owned,Playing now,,,13 Oct 22,,13 Oct 22
Watch Dogs: Legion,https://www.trueachievements.com/game/Watch-Dogs-Legion/achievements,xbox-one,"1,297 / 2,961","610 / 1,165",25 / 48,Owned,Playing now,,224 hrs 2 mins,30 Dec 21,,10 Oct 22
