game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Zombie Army 4: Dead War,https://www.trueachievements.com/game/Zombie-Army-4-Dead-War/achievements,xbox-one,"1,978 / 3,221","755 / 1,060",45 / 57,Owned,Playing now,,209 hrs 22 mins,17 Apr 20,,11 Aug 22
PAW Patrol: Mighty Pups Save Adventure Bay,https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,xbox-one,"870 / 1,532","625 / 1,000",17 / 30,Owned,Playing now,,43 hrs 30 mins,17 Jul 22,,24 Jul 22
Hellblade: Senua's Sacrifice,https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,xbox-one,"1,345 / 1,631","900 / 1,000",13 / 14,Owned,,,26 hrs 0 mins,09 Jan 20,,19 Jul 22
PAW Patrol The Movie: Adventure City Calls,https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,xbox-one,"454 / 2,054","310 / 1,000",14 / 30,Owned,Playing now,,7 hrs 5 mins,15 Jul 22,,16 Jul 22
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"2,079 / 3,097","1,030 / 1,340",51 / 64,Owned,Playing now,,1312 hrs 25 mins,16 Jan 22,,09 Jul 22
A Plague Tale: Innocence,https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,xbox-one,"1,193 / 1,872","725 / 1,000",30 / 35,Owned,Playing now,,75 hrs 37 mins,07 Jun 22,,21 Jun 22
Tomb Raider: Definitive Edition,https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,xbox-one,"1,020 / 2,452","655 / 1,000",31 / 50,Owned,,,24 hrs 3 mins,16 Jan 20,,15 Jun 22
Dead Space 3,https://www.trueachievements.com/game/Dead-Space-3/achievements,xbox-360,"809 / 2,484","525 / 1,000",32 / 50,Owned,Playing now,,,29 Apr 22,,20 May 22
Dead Space: Ignition,https://www.trueachievements.com/game/Dead-Space-Ignition/achievements,xbox-360,46 / 350,45 / 200,3 / 12,Owned,Playing now,,,18 May 22,,18 May 22
Dead Space 2,https://www.trueachievements.com/game/Dead-Space-2/achievements,xbox-360,"1,395 / 1,723","905 / 1,000",47 / 50,Owned,Playing now,,,12 Nov 20,,27 Apr 22
The Witcher 3: Wild Hunt,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,xbox-one,"105 / 2,128","90 / 1,000",5 / 52,Owned,Playing now,,,11 Jan 22,,11 Jan 22
Mortal Shell: Enhanced Edition,https://www.trueachievements.com/game/Mortal-Shell/achievements,xbox-one,"25 / 5,288","25 / 1,000",1 / 25,Owned,Playing now,,57 mins,10 Jan 22,,10 Jan 22
Resident Evil 6,https://www.trueachievements.com/game/Resident-Evil-6/achievements,xbox-one,"1,858 / 5,872","790 / 1,500",43 / 70,Owned,Playing now,,128 hrs 55 mins,13 Feb 20,,09 Jan 22
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"2,435 / 2,918","1,550 / 1,770",75 / 85,Owned,Playing now,,498 hrs 9 mins,07 Feb 21,,03 Jan 22
Metro Exodus,https://www.trueachievements.com/game/Metro-Exodus/achievements,xbox-one,"2,648 / 3,598","1,115 / 1,300",55 / 60,Owned,,,137 hrs 22 mins,23 Aug 19,,28 Dec 21
Metro Redux,https://www.trueachievements.com/game/Metro-Redux/achievements,xbox-one,"3,397 / 3,875","1,770 / 2,000",90 / 98,Owned,Playing now,,169 hrs 32 mins,18 Aug 19,,24 Dec 21
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"870 / 3,759","590 / 1,600",53 / 119,Owned,Playing now,,80 hrs 51 mins,09 Dec 21,,15 Dec 21
Remnant: From the Ashes,https://www.trueachievements.com/game/Remnant-From-the-Ashes/achievements,xbox-one,"1,942 / 2,195","920 / 1,000",36 / 40,Owned,Playing now,,256 hrs 58 mins,25 Jan 21,,24 Nov 21
