game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"95 / 1,975","85 / 1,000",9 / 50,Owned,,,,14 Dec 11,,09 Jan 12
Gears of War,https://www.trueachievements.com/game/Gears-of-War/achievements,xbox-360,"21 / 2,676","20 / 1,000",2 / 49,Owned,,,,26 Jan 07,,12 Dec 11
Tom Clancy's Ghost Recon Advanced Warfighter,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Advanced-Warfighter/achievements,xbox-360,"180 / 5,535","135 / 1,000",6 / 43,Owned,,,,28 Feb 07,,12 Dec 11
Over G Fighters,https://www.trueachievements.com/game/Over-G-Fighters/achievements,xbox-360,"52 / 4,527","50 / 1,000",2 / 38,Owned,,,,21 Apr 07,,12 Dec 11
Full Auto,https://www.trueachievements.com/game/Full-Auto/achievements,xbox-360,"15 / 2,065","15 / 1,000",2 / 50,Owned,,,,27 Jun 07,,12 Dec 11
Dead Rising (Xbox 360),https://www.trueachievements.com/game/Dead-Rising/achievements,xbox-360,"47 / 2,484","40 / 1,000",2 / 50,Owned,,,,27 Jul 07,,12 Dec 11
The Darkness,https://www.trueachievements.com/game/The-Darkness/achievements,xbox-360,"37 / 2,356","35 / 1,000",3 / 50,Owned,,,,31 Jul 07,,12 Dec 11
DiRT,https://www.trueachievements.com/game/DiRT/achievements,xbox-360,"294 / 1,629","240 / 1,000",16 / 49,Owned,,,,22 Jun 07,,12 Dec 11
Crackdown,https://www.trueachievements.com/game/Crackdown/achievements,xbox-360,"409 / 2,060",290 / 900,17 / 43,Owned,,,,26 Mar 07,,12 Dec 11
Stranglehold,https://www.trueachievements.com/game/Stranglehold/achievements,xbox-360,"402 / 2,728","275 / 1,000",15 / 45,Owned,,,,16 Sep 07,,12 Dec 11
Medal of Honor: Airborne,https://www.trueachievements.com/game/Medal-of-Honor-Airborne/achievements,xbox-360,"176 / 4,015","120 / 1,000",10 / 46,Owned,,,,01 Nov 07,,12 Dec 11
Kane & Lynch: Dead Men,https://www.trueachievements.com/game/Kane-And-Lynch-Dead-Men/achievements,xbox-360,"94 / 3,735","80 / 1,000",5 / 47,Owned,,,,28 Nov 07,,12 Dec 11
BioShock,https://www.trueachievements.com/game/BioShock/achievements,xbox-360,"35 / 1,507","35 / 1,000",4 / 50,Owned,,,,11 Jan 08,,12 Dec 11
Bankshot Billiards 2,https://www.trueachievements.com/game/Bankshot-Billiards-2/achievements,xbox-360,5 / 453,5 / 200,1 / 12,Owned,,,,08 Apr 07,,12 Dec 11
Call of Duty 4: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-4/achievements,xbox-360,"350 / 1,494","320 / 1,000",17 / 37,Owned,,,,10 Nov 07,,12 Dec 11
Luxor 2,https://www.trueachievements.com/game/Luxor-2/achievements,xbox-360,"97 / 1,291",76 / 200,5 / 12,Owned,,,,05 Apr 07,,12 Dec 11
CSI: Hard Evidence,https://www.trueachievements.com/game/CSI-Hard-Evidence/achievements,xbox-360,"406 / 1,054","400 / 1,000",2 / 5,Owned,,,,18 Jan 08,,12 Dec 11
Turok (2008),https://www.trueachievements.com/game/Turok-Xbox-360/achievements,xbox-360,"58 / 3,057","40 / 1,000",2 / 43,Owned,,,,10 Feb 08,,12 Dec 11
BlackSite: Area 51,https://www.trueachievements.com/game/BlackSite-Area-51/achievements,xbox-360,"402 / 3,104","249 / 1,000",18 / 44,Owned,,,,02 Feb 08,,12 Dec 11
Dead or Alive 4,https://www.trueachievements.com/game/Dead-or-Alive-4/achievements,xbox-360,"10 / 4,926","10 / 1,000",3 / 45,Owned,,,,21 Nov 07,,12 Dec 11
Marble Blast Ultra,https://www.trueachievements.com/game/Marble-Blast-Ultra/achievements,xbox-360,29 / 421,25 / 200,3 / 12,Owned,,,,16 Apr 07,,12 Dec 11
Saints Row (2006),https://www.trueachievements.com/game/Saints-Row-Xbox-360/achievements,xbox-360,"66 / 3,600","50 / 1,000",4 / 43,Owned,,,,05 Jan 07,,12 Dec 11
TimeShift,https://www.trueachievements.com/game/TimeShift/achievements,xbox-360,"22 / 2,684","20 / 1,000",2 / 47,Owned,,,,18 Mar 08,,12 Dec 11
Assassin's Creed,https://www.trueachievements.com/game/Assassins-Creed/achievements,xbox-360,"94 / 1,592","80 / 1,000",4 / 44,Owned,,,,03 Mar 08,,12 Dec 11
Juiced 2: Hot Import Nights,https://www.trueachievements.com/game/Juiced-2-Hot-Import-Nights/achievements,xbox-360,"13 / 4,553","5 / 1,000",1 / 60,Owned,,,,08 Mar 08,,12 Dec 11
Star Trek: Legacy,https://www.trueachievements.com/game/Star-Trek-Legacy/achievements,xbox-360,"25 / 2,538","25 / 1,000",1 / 36,Owned,,,,07 Apr 08,,12 Dec 11
Condemned 2: Bloodshot,https://www.trueachievements.com/game/Condemned-2-Bloodshot/achievements,xbox-360,"32 / 2,817","30 / 1,000",3 / 38,Owned,,,,11 Apr 08,,12 Dec 11
Battlestations: Midway,https://www.trueachievements.com/game/Battlestations-Midway/achievements,xbox-360,"626 / 3,561","350 / 1,000",12 / 22,Owned,,,,12 Feb 07,,12 Dec 11
Warlords,https://www.trueachievements.com/game/Warlords/achievements,xbox-360,"10 / 1,290",10 / 200,1 / 12,Owned,,,,01 Jun 08,,12 Dec 11
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"44 / 3,208","35 / 1,000",5 / 50,Owned,,,,11 May 08,,12 Dec 11
Pac-Man Championship Edition,https://www.trueachievements.com/game/Pac-Man-Championship-Edition/achievements,xbox-360,5 / 401,5 / 200,1 / 12,Owned,,,,06 Jun 08,,12 Dec 11
Feeding Frenzy,https://www.trueachievements.com/game/Feeding-Frenzy/achievements,xbox-360,111 / 441,90 / 200,6 / 12,Owned,,,,09 Jun 08,,12 Dec 11
