game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Titanfall 2,https://www.trueachievements.com/game/Titanfall-2/achievements,xbox-one,"493 / 1,898","375 / 1,000",22 / 50,Owned,Playing now,,8 hrs 19 mins,19 Feb 21,,09 Apr 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"147 / 2,661","110 / 1,000",8 / 34,Owned,Playing now,,1 hr 0 mins,24 Jun 22,,13 Aug 22
Jurassic World Evolution 2,https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,xbox-one,"20 / 6,575","20 / 1,000",2 / 44,Owned,Playing now,,1 hr 7 mins,20 May 22,,20 May 22
Life is Strange: True Colors,https://www.trueachievements.com/game/Life-is-Strange-True-Colors/achievements,xbox-one,"11 / 1,348","10 / 1,000",1 / 40,Owned,Playing now,,2 hrs 13 mins,21 Apr 22,,21 Apr 22
Who's Your Daddy?!,https://www.trueachievements.com/game/Whos-Your-Daddy/achievements,xbox-one,"85 / 2,011","75 / 1,000",2 / 13,Owned,Playing now,,13 mins,19 Apr 22,,19 Apr 22
Tiny Tina's Wonderlands,https://www.trueachievements.com/game/Tiny-Tinas-Wonderlands/achievements,xbox-one,"635 / 1,980","470 / 1,000",28 / 39,Owned,Playing now,,40 hrs 31 mins,25 Mar 22,,12 Apr 22
Rise of the Tomb Raider,https://www.trueachievements.com/game/Rise-of-the-Tomb-Raider/achievements,xbox-one,"195 / 3,004","160 / 1,250",17 / 88,Owned,Playing now,,11 hrs 1 min,24 Jan 22,,07 Mar 22
Dying Light 2: Stay Human,https://www.trueachievements.com/game/Dying-Light-2/achievements,xbox-one,"97 / 2,911","85 / 1,000",8 / 57,Owned,Playing now,,9 hrs 22 mins,05 Feb 22,,10 Feb 22
My Time at Portia,https://www.trueachievements.com/game/My-Time-at-Portia/achievements,xbox-one,"15 / 3,407","15 / 1,000",1 / 30,Owned,Playing now,,46 mins,08 Feb 22,,08 Feb 22
Tomb Raider: Definitive Edition,https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,xbox-one,"431 / 2,449","340 / 1,000",20 / 50,Owned,Playing now,,4 hrs 2 mins,19 Feb 21,,24 Jan 22
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"2,592 / 10,338","1,090 / 2,740",78 / 152,Owned,,,1666 hrs 53 mins,29 Jun 17,,22 Jan 22
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,https://www.trueachievements.com/game/Tiny-Tinas-Assault-on-Dragon-Keep/achievements,xbox-one,"307 / 2,096","215 / 1,000",9 / 30,Owned,Playing now,,4 hrs 37 mins,30 Dec 21,,01 Jan 22
Destroy All Humans!,https://www.trueachievements.com/game/Destroy-All-Humans/achievements,xbox-one,"15 / 2,449","15 / 1,000",1 / 40,Owned,Playing now,,31 mins,02 Dec 21,,02 Dec 21
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"20 / 1,954","20 / 1,000",1 / 41,Owned,Playing now,,33 mins,29 Nov 21,,29 Nov 21
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"1,934 / 9,895","990 / 2,205",65 / 141,Owned,,,92 hrs 56 mins,22 May 18,,22 Nov 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"154 / 3,642","115 / 1,000",8 / 55,Owned,Playing now,,2 hrs 18 mins,14 Oct 21,,14 Oct 21
Farm Together,https://www.trueachievements.com/game/Farm-Together/achievements,xbox-one,"482 / 1,725","420 / 1,200",29 / 56,Owned,Playing now,,14 hrs 29 mins,27 Jul 21,,30 Sep 21
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,246 / 3,781","655 / 1,330",36 / 81,Owned,Playing now,,1921 hrs 12 mins,11 Aug 18,,29 Jul 21
Zombies Ate My Neighbors and Ghoul Patrol,https://www.trueachievements.com/game/Zombies-Ate-My-Neighbors-and-Ghoul-Patrol/achievements,xbox-one,"210 / 6,149","130 / 1,000",5 / 19,Owned,Playing now,,2 hrs 47 mins,15 Jul 21,,19 Jul 21
Borderlands 3,https://www.trueachievements.com/game/Borderlands-3/achievements,xbox-one,"2,021 / 4,017","1,210 / 1,935",58 / 75,Owned,,,121 hrs 52 mins,13 Sep 19,,22 Jun 21
Plants vs. Zombies: Battle for Neighborville,https://www.trueachievements.com/game/Plants-vs-Zombies-Battle-for-Neighborville/achievements,xbox-one,"1,445 / 2,768","675 / 1,000",36 / 50,Owned,,,49 hrs 27 mins,10 Sep 19,,20 May 21
Little Nightmares II,https://www.trueachievements.com/game/Little-Nightmares-II/achievements,xbox-one,"80 / 1,680","70 / 1,000",3 / 35,Owned,Playing now,,2 hrs 22 mins,16 Feb 21,,14 May 21
Second Extinction,https://www.trueachievements.com/game/Second-Extinction/achievements,xbox-one,"20 / 4,633","20 / 1,000",1 / 29,Owned,Playing now,,16 mins,30 Apr 21,,30 Apr 21
Toejam and Earl: Back in the Groove!,https://www.trueachievements.com/game/Toejam-and-Earl/achievements,xbox-one,"828 / 3,575","390 / 1,000",25 / 48,Owned,Playing now,,46 hrs 49 mins,12 Jan 21,,01 Mar 21
Subnautica,https://www.trueachievements.com/game/Subnautica/achievements,xbox-one,"25 / 1,910","25 / 1,000",1 / 17,Owned,Playing now,,14 mins,05 Feb 21,,05 Feb 21
Super Mega Baseball 2,https://www.trueachievements.com/game/Super-Mega-Baseball-2/achievements,xbox-one,"20 / 4,933","10 / 1,000",2 / 42,Owned,Playing now,,1 hr 50 mins,05 Feb 21,,05 Feb 21
Zoo Tycoon: Ultimate Animal Collection,https://www.trueachievements.com/game/Zoo-Tycoon-Ultimate-Animal-Collection/achievements,xbox-one,"129 / 11,323","85 / 1,500",12 / 59,Owned,,,4 hrs 56 mins,30 Nov 17,,03 Feb 21
Zoo Tycoon,https://www.trueachievements.com/game/Zoo-Tycoon/achievements,xbox-one,"73 / 3,523","65 / 1,000",8 / 48,Owned,Playing now,,3 hrs 20 mins,16 Dec 20,,27 Jan 21
Spyro Reignited Trilogy,https://www.trueachievements.com/game/Spyro-Reignited-Trilogy/achievements,xbox-one,"113 / 5,373","100 / 3,000",5 / 105,Owned,,,3 hrs 0 mins,31 Jul 19,,12 Jan 21
Disneyland Adventures,https://www.trueachievements.com/game/Disneyland-Adventures-Xbox-One/achievements,xbox-one,"58 / 4,322","50 / 1,000",4 / 49,Owned,Playing now,,38 mins,04 Dec 20,,04 Dec 20
The Sims 4,https://www.trueachievements.com/game/The-Sims-4/achievements,xbox-one,"203 / 2,667","100 / 1,000",7 / 50,Owned,Playing now,,91 hrs 12 mins,21 Aug 20,,26 Nov 20
Planet Coaster,https://www.trueachievements.com/game/Planet-Coaster/achievements,xbox-one,"153 / 3,806","85 / 1,000",11 / 38,Owned,Playing now,,19 hrs 37 mins,12 Nov 20,,24 Nov 20
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"2,368 / 3,049","1,290 / 1,500",58 / 65,Owned,,,,13 Sep 14,,06 Sep 20
World War Z,https://www.trueachievements.com/game/World-War-Z/achievements,xbox-one,"1,066 / 4,341","470 / 1,000",19 / 35,Owned,,,19 hrs 44 mins,23 Apr 19,,31 Aug 20
