game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
SIGNALIS,https://www.trueachievements.com/game/Signalis/achievements,xbox-one,"30 / 2,500","30 / 1,000",1 / 13,Owned,Playing now,,1 hr 0 mins,17 May 23,,17 May 23
Citizen Sleeper,https://www.trueachievements.com/game/Citizen-Sleeper/achievements,xbox-one,"35 / 2,020","30 / 1,000",2 / 27,Owned,Playing now,,4 hrs 23 mins,13 May 23,,14 May 23
Unpacking,https://www.trueachievements.com/game/Unpacking/achievements,xbox-one,"195 / 1,484","150 / 1,000",6 / 25,Owned,Playing now,,1 hr 38 mins,12 May 23,,13 May 23
Turnip Boy Commits Tax Evasion,https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,xbox-one,"444 / 1,463","375 / 1,000",15 / 37,Owned,Playing now,,1 hr 43 mins,25 Mar 23,,25 Mar 23
Warhammer: Vermintide 2,https://www.trueachievements.com/game/Warhammer-Vermintide-2/achievements,xbox-one,"250 / 6,172","160 / 1,000",10 / 50,Owned,Playing now,,6 hrs 20 mins,13 Mar 23,,17 Mar 23
Moonlighter,https://www.trueachievements.com/game/Moonlighter/achievements,xbox-one,"13 / 4,317","12 / 1,000",1 / 57,Owned,Playing now,,3 hrs 14 mins,12 Mar 23,,12 Mar 23
Potion Craft: Alchemist Simulator,https://www.trueachievements.com/game/Potion-Craft/achievements,xbox-one,"55 / 5,770","45 / 1,000",3 / 29,Owned,Playing now,,3 hrs 24 mins,11 Mar 23,,11 Mar 23
The Sims 4,https://www.trueachievements.com/game/The-Sims-4/achievements,xbox-one,"658 / 2,667","290 / 1,000",16 / 50,Owned,Playing now,,296 hrs 10 mins,16 May 21,,20 Jan 23
Cult of the Lamb,https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,xbox-one,"288 / 2,024","240 / 1,000",13 / 37,Owned,Playing now,,11 hrs 7 mins,21 Nov 22,,26 Nov 22
Minecraft (Nintendo Switch),https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,nintendo-switch,"1,566 / 6,154","760 / 2,130",42 / 94,Owned,,,104 hrs 53 mins,09 Jul 18,,23 Nov 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"1,558 / 5,002","920 / 2,330",50 / 101,Owned,,,428 hrs 22 mins,26 Jan 20,,23 Oct 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"10 / 2,878","10 / 1,000",1 / 40,Owned,Playing now,,1 hr 51 mins,26 Aug 22,,26 Aug 22
Tiny Tina's Wonderlands,https://www.trueachievements.com/game/Tiny-Tinas-Wonderlands/achievements,xbox-one,"484 / 1,975","370 / 1,000",22 / 39,Owned,Playing now,,37 hrs 0 mins,02 Apr 22,,20 Aug 22
Divinity: Original Sin 2 - Definitive Edition,https://www.trueachievements.com/game/Divinity-Original-Sin-2/achievements,xbox-one,"5 / 3,600","5 / 1,000",1 / 50,Owned,Playing now,,4 hrs 55 mins,08 Aug 22,,08 Aug 22
Elden Ring,https://www.trueachievements.com/game/Elden-Ring/achievements,xbox-one,"208 / 1,529","180 / 1,000",10 / 42,Owned,Playing now,,108 hrs 24 mins,28 Feb 22,,08 May 22
Hades,https://www.trueachievements.com/game/Hades/achievements,xbox-one,"661 / 2,458","385 / 1,000",19 / 49,Owned,Playing now,,62 hrs 12 mins,15 Aug 21,,23 Feb 22
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"413 / 2,988","288 / 1,000",11 / 27,Owned,Playing now,,21 hrs 48 mins,25 May 21,,21 Feb 22
Minecraft (iOS),https://www.trueachievements.com/game/Minecraft-Pocket-Edition-iOS/achievements,ios,"559 / 2,989","320 / 1,110",20 / 56,Owned,,,24 hrs 17 mins,05 Apr 19,,23 Jan 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"31 / 1,370",25 / 600,5 / 50,Owned,Playing now,,5 hrs 17 mins,16 Nov 21,,16 Nov 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"645 / 3,642","400 / 1,000",25 / 55,Owned,Playing now,,15 hrs 43 mins,17 Oct 21,,20 Oct 21
art of rally,https://www.trueachievements.com/game/Art-of-Rally/achievements,xbox-one,"14 / 3,817","10 / 1,000",1 / 43,Owned,Playing now,,10 mins,13 Aug 21,,13 Aug 21
Donut County,https://www.trueachievements.com/game/Donut-County/achievements,xbox-one,"1,373 / 1,373","1,000 / 1,000",20 / 20,Owned,Playing now,,2 hrs 53 mins,09 Jun 21,09 Jun 21,09 Jun 21
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"2,595 / 3,192","1,290 / 1,550",65 / 75,Owned,Playing now,,281 hrs 46 mins,29 Mar 21,,09 Jun 21
Totally Reliable Delivery Service,https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,xbox-one,"51 / 4,187","45 / 1,000",2 / 25,Owned,Playing now,,25 mins,05 May 21,,05 May 21
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"181 / 3,508","100 / 1,250",10 / 91,Owned,Playing now,,33 mins,27 Apr 21,,27 Apr 21
Stardew Valley,https://www.trueachievements.com/game/Stardew-Valley/achievements,xbox-one,"2,459 / 3,166","880 / 1,000",37 / 40,Owned,Playing now,,339 hrs 58 mins,28 Dec 20,,19 Mar 21
Marvel's Avengers,https://www.trueachievements.com/game/Marvels-Avengers/achievements,xbox-one,"46 / 2,725","45 / 1,000",3 / 50,Owned,Playing now,,3 hrs 26 mins,17 Mar 21,,17 Mar 21
