game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"10 / 4,289","10 / 1,000",1 / 66,Owned,Playing now,,45 mins,06 May 23,,06 May 23
Ghostwire: Tokyo,https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,xbox-series-x-s,"609 / 4,507","330 / 1,180",24 / 66,Owned,Playing now,,12 hrs 49 mins,19 Apr 23,,06 May 23
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"199 / 3,596","130 / 1,000",8 / 41,Owned,Playing now,,4 hrs 42 mins,02 May 23,,04 May 23
Ben 10: Power Trip,https://www.trueachievements.com/game/Ben-10-Power-Trip/achievements,xbox-one,"205 / 3,472","130 / 1,000",4 / 28,Owned,,,1 hr 12 mins,28 Jul 22,,30 Apr 23
Dead Cells (Windows),https://www.trueachievements.com/game/Dead-Cells-Windows/achievements,windows,"623 / 4,223","330 / 1,030",23 / 56,Owned,Playing now,,7 hrs 48 mins,20 Apr 23,,28 Apr 23
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"293 / 6,354","140 / 1,850",8 / 76,Owned,,,16 mins,06 Sep 22,,07 Sep 22
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"20 / 2,872","20 / 1,110",2 / 56,Owned,,,3 hrs 4 mins,02 Sep 22,,02 Sep 22
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"283 / 8,004","185 / 1,255",16 / 77,Owned,,,7 hrs 59 mins,26 Jun 21,,20 Aug 22
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"15 / 2,135","15 / 1,000",1 / 43,Owned,,,2 hrs 7 mins,20 Aug 22,,20 Aug 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"187 / 3,695","130 / 1,360",10 / 71,Owned,,,16 hrs 49 mins,12 Feb 21,,20 Aug 22
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"32 / 5,367","30 / 1,500",2 / 93,Owned,,,53 mins,21 Jun 22,,20 Aug 22
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"82 / 3,212","60 / 1,000",6 / 42,Owned,,,21 hrs 32 mins,02 Jun 22,,13 Aug 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"339 / 2,514","260 / 1,000",17 / 53,Owned,,,28 hrs 9 mins,09 Nov 21,,06 Aug 22
I Am Fish,https://www.trueachievements.com/game/I-Am-Fish/achievements,xbox-one,"32 / 15,192","30 / 1,000",3 / 29,Owned,,,44 mins,28 Jul 22,,28 Jul 22
