game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Tomb Raider: Definitive Edition,https://www.trueachievements.com/game/Tomb-Raider-Definitive-Edition/achievements,xbox-one,"410 / 2,449","325 / 1,000",19 / 50,Owned,Playing now,,,28 Dec 22,,17 Jan 23
Rise of the Tomb Raider,https://www.trueachievements.com/game/Rise-of-the-Tomb-Raider/achievements,xbox-one,"660 / 2,408","460 / 1,000",32 / 66,Owned,,,188 hrs 46 mins,05 Dec 15,,23 Dec 22
Shadow of the Tomb Raider,https://www.trueachievements.com/game/Shadow-of-the-Tomb-Raider/achievements,xbox-one,"1,324 / 1,877","880 / 1,095",49 / 68,Owned,,,145 hrs 34 mins,25 Nov 22,,20 Dec 22
NBA 2K23 (Xbox One),https://www.trueachievements.com/game/NBA-2K23-Xbox-One/achievements,xbox-one,"57 / 3,674","15 / 1,000",1 / 50,Owned,,,5 hrs 55 mins,20 Nov 22,,20 Nov 22
Fight Night Champion,https://www.trueachievements.com/game/Fight-Night-Champion/achievements,xbox-360,"10 / 14,757","10 / 1,000",1 / 44,Owned,,,,02 Sep 22,,02 Sep 22
NBA 2K22 (Xbox One),https://www.trueachievements.com/game/NBA-2K22-Xbox-One/achievements,xbox-one,"378 / 3,813","105 / 1,000",6 / 50,Owned,,,261 hrs 29 mins,06 Jul 22,,21 Jul 22
Tomb Raider: Underworld,https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,xbox-360,"1,091 / 2,134","650 / 1,000",19 / 31,Owned,,,,27 Oct 21,,04 Apr 22
Tom Clancy's Rainbow Six Extraction,https://www.trueachievements.com/game/Rainbow-Six-Extraction/achievements,xbox-one,"22 / 3,854","15 / 1,000",1 / 42,Owned,,,4 hrs 40 mins,25 Jan 22,,25 Jan 22
EA SPORTS Rory McIlroy PGA TOUR,https://www.trueachievements.com/game/EA-SPORTS-Rory-McIlroy-PGA-TOUR/achievements,xbox-one,"545 / 3,127","270 / 1,000",7 / 28,Owned,,,,17 Oct 21,,22 Oct 21
Madden NFL 21 (Xbox One),https://www.trueachievements.com/game/Madden-NFL-21-Xbox-One/achievements,xbox-one,"176 / 2,449","95 / 1,000",3 / 28,Owned,,,52 hrs 43 mins,15 Oct 21,,16 Oct 21
Control,https://www.trueachievements.com/game/Control-Xbox-One/achievements,xbox-one,"15 / 1,836","15 / 1,000",1 / 46,Owned,,,55 mins,19 Jul 21,,19 Jul 21
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"1,371 / 7,909","740 / 1,750",37 / 77,Owned,,,2917 hrs 34 mins,06 Jun 15,,07 Jun 21
NBA 2K20,https://www.trueachievements.com/game/NBA-2K20/achievements,xbox-one,"204 / 4,134","165 / 1,000",11 / 50,Owned,,,24 hrs 50 mins,07 Sep 19,,22 Feb 20
Madden NFL 20,https://www.trueachievements.com/game/Madden-NFL-20/achievements,xbox-one,"545 / 2,413","235 / 1,000",9 / 38,Owned,,,167 hrs 11 mins,03 Aug 19,,25 Aug 19
NBA 2K19,https://www.trueachievements.com/game/NBA-2K19/achievements,xbox-one,"34 / 6,801","30 / 1,000",2 / 50,Owned,,,13 hrs 26 mins,31 Jul 19,,31 Jul 19
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"168 / 1,488","130 / 1,000",8 / 48,Owned,,,21 hrs 33 mins,19 Nov 17,,30 Jul 19
Injustice: Gods Among Us,https://www.trueachievements.com/game/Injustice-Gods-Among-Us/achievements,xbox-360,"10 / 6,556","10 / 1,000",1 / 50,Owned,,,,14 Nov 18,,14 Nov 18
Star Wars Battlefront,https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,xbox-one,"151 / 3,308","75 / 1,030",5 / 45,Owned,,,49 hrs 57 mins,17 Nov 15,,06 Apr 18
NBA 2K17,https://www.trueachievements.com/game/NBA-2K17/achievements,xbox-one,"19 / 5,289","15 / 1,000",1 / 49,Owned,,,,24 Jan 18,,24 Jan 18
Back to the Future: The Game - 30th Anniversary Edition,https://www.trueachievements.com/game/Back-to-the-Future-The-Game-30th-Anniversary-Edition/achievements,xbox-one,"80 / 1,998","65 / 1,000",4 / 59,Owned,,,,17 Dec 17,,17 Dec 17
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"5 / 1,837","5 / 1,000",1 / 50,Owned,,,4 hrs 59 mins,09 Dec 17,,09 Dec 17
Resident Evil 6 (Xbox 360),https://www.trueachievements.com/game/Resident-Evil-6-Xbox-360/achievements,xbox-360,"10 / 2,147","10 / 1,000",1 / 50,Owned,,,,03 Jan 23,,08 Nov 17
Twitch,https://www.trueachievements.com/game/Twitch/achievements,xbox-one,0 / 0,0 / 0,2 / 10,Owned,,,,09 Jun 15,,19 Sep 17
Watch_Dogs,https://www.trueachievements.com/game/Watch-Dogs/achievements,xbox-one,"15 / 2,464","15 / 1,000",1 / 38,Owned,,,,18 Jun 17,,18 Jun 17
NBA 2K15,https://www.trueachievements.com/game/NBA-2K15/achievements,xbox-one,"80 / 8,128","50 / 1,000",7 / 50,Owned,,,,08 Jun 15,,11 Jun 17
Madden NFL 15,https://www.trueachievements.com/game/Madden-NFL-15/achievements,xbox-one,"75 / 3,031","50 / 1,000",3 / 38,Owned,,,,04 Dec 16,,25 Mar 17
Dead Island (Xbox 360),https://www.trueachievements.com/game/Dead-Island-Xbox-360/achievements,xbox-360,"11 / 1,756","10 / 1,000",1 / 48,Owned,,,,11 Feb 17,,11 Feb 17
NBA 2K16,https://www.trueachievements.com/game/NBA-2K16/achievements,xbox-one,"32 / 7,335","30 / 1,000",2 / 50,Owned,,,,04 Dec 16,,07 Dec 16
Forza Motorsport 6,https://www.trueachievements.com/game/Forza-Motorsport-6/achievements,xbox-one,"5 / 3,591","5 / 1,000",1 / 56,Owned,,,12 mins,29 May 16,,29 May 16
Tomb Raider,https://www.trueachievements.com/game/Tomb-Raider/achievements,xbox-360,"442 / 1,984","370 / 1,000",21 / 50,Owned,,,,17 Dec 15,,06 Mar 16
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"30 / 3,395","30 / 1,250",2 / 56,Owned,,,,13 Dec 15,,13 Dec 15
Max Payne 3,https://www.trueachievements.com/game/Max-Payne-3/achievements,xbox-360,"153 / 3,538","125 / 1,000",8 / 46,Owned,,,,09 May 15,,12 May 15
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"490 / 2,474","355 / 1,000",23 / 49,Owned,,,,18 Sep 13,,07 Jul 14
NBA 2K13,https://www.trueachievements.com/game/NBA-2K13/achievements,xbox-360,"991 / 2,906","525 / 1,150",27 / 55,Owned,,,,24 Dec 12,,17 Sep 13
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"168 / 3,208","110 / 1,000",5 / 50,Owned,,,,18 Apr 13,,09 Aug 13
Kinect Adventures,https://www.trueachievements.com/game/Kinect-Adventures/achievements,xbox-360,"146 / 3,583","110 / 1,000",6 / 32,Owned,,,,29 Dec 12,,22 Jun 13
