game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"633 / 25,465","340 / 3,220",31 / 157,Owned,Playing now,,58 hrs 50 mins,16 Jul 22,,20 Feb 23
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"152 / 1,487","115 / 1,000",4 / 48,Owned,Playing now,,5 hrs 38 mins,02 Feb 21,,18 Feb 23
Far Cry New Dawn,https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,xbox-one,"797 / 1,526","630 / 1,000",29 / 50,Owned,Playing now,,29 hrs 51 mins,24 Oct 22,,22 Dec 22
Wreckfest (Windows),https://www.trueachievements.com/game/Wreckfest-Windows/achievements,windows,"429 / 3,498","200 / 1,000",7 / 20,Owned,Playing now,,10 hrs 57 mins,29 Oct 22,,02 Nov 22
Tom Clancy's Ghost Recon Breakpoint,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Breakpoint/achievements,xbox-one,"93 / 2,018","75 / 1,000",5 / 50,Owned,Playing now,,6 hrs 24 mins,22 Oct 22,,23 Oct 22
Marvel's Avengers,https://www.trueachievements.com/game/Marvels-Avengers/achievements,xbox-one,"787 / 2,725","520 / 1,000",28 / 50,Owned,Playing now,,34 hrs 42 mins,19 Nov 21,,08 Aug 22
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"449 / 3,836","295 / 1,000",21 / 51,Owned,,,91 hrs 45 mins,08 Nov 18,,05 Aug 22
Shadow of the Tomb Raider,https://www.trueachievements.com/game/Shadow-of-the-Tomb-Raider/achievements,xbox-one,"1,005 / 1,674","735 / 1,000",43 / 63,Owned,Playing now,,22 hrs 34 mins,16 Apr 22,,19 Jul 22
Sniper Elite 5,https://www.trueachievements.com/game/Sniper-Elite-5/achievements,xbox-one,"30 / 2,751","15 / 1,000",1 / 53,Owned,Playing now,,4 hrs 37 mins,27 Jun 22,,27 Jun 22
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"53 / 2,302","50 / 1,000",3 / 47,Owned,Playing now,,16 mins,24 Jun 22,,24 Jun 22
