game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"298 / 16,171","195 / 2,075",22 / 111,Owned,Playing now,,39 hrs 49 mins,19 May 18,,19 Apr 23
Outlast,https://www.trueachievements.com/game/Outlast/achievements,xbox-one,"3,674 / 5,609","1,150 / 1,500",14 / 17,Owned,,,85 hrs 45 mins,27 Sep 16,,19 Feb 23
Grand Theft Auto V,https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,xbox-series-x-s,"1,027 / 7,429","585 / 1,750",29 / 77,Owned,Playing now,,43 mins,19 Jan 23,,19 Jan 23
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"1,139 / 1,486","800 / 1,000",41 / 48,Owned,Playing now,,208 hrs 48 mins,01 Jun 19,,04 Aug 22
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"211 / 2,272","125 / 1,060",7 / 63,Owned,Playing now,,23 hrs 37 mins,15 Mar 20,,14 Jan 22
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"17 / 2,548","15 / 1,000",1 / 44,Owned,Playing now,,16 mins,05 Nov 21,,05 Nov 21
Serious Sam Collection,https://www.trueachievements.com/game/Serious-Sam-Collection/achievements,xbox-one,"39 / 2,902","20 / 1,000",2 / 51,Owned,Playing now,,1 hr 51 mins,03 Aug 21,,03 Aug 21
Rain on Your Parade,https://www.trueachievements.com/game/Rain-on-Your-Parade/achievements,xbox-one,"10 / 2,355","10 / 1,000",1 / 22,Owned,Playing now,,1 hr 22 mins,05 Jun 21,,05 Jun 21
Maneater,https://www.trueachievements.com/game/Maneater/achievements,xbox-one,"62 / 1,905","60 / 1,000",3 / 32,Owned,Playing now,,37 mins,05 Jun 21,,05 Jun 21
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"959 / 1,979","580 / 1,020",25 / 42,Owned,Playing now,,20 hrs 59 mins,23 Dec 19,,13 Mar 21
Hitman: Absolution HD,https://www.trueachievements.com/game/Hitman-Absolution-HD/achievements,xbox-one,"319 / 1,786","270 / 1,000",14 / 38,Owned,Playing now,,8 hrs 35 mins,13 Feb 21,,23 Feb 21
Far Cry 3 Classic Edition,https://www.trueachievements.com/game/Far-Cry-3-Classic-Edition/achievements,xbox-one,"782 / 1,702","515 / 1,000",27 / 43,Owned,Playing now,,23 hrs 46 mins,26 Feb 19,,10 Feb 21
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"184 / 1,738","150 / 1,000",3 / 14,Owned,Playing now,,10 hrs 51 mins,06 Jan 21,,06 Jan 21
World of Tanks,https://www.trueachievements.com/game/World-of-Tanks/achievements,xbox-one,"18 / 3,560","15 / 1,300",1 / 81,Owned,Playing now,,1 hr 27 mins,01 Jan 21,,01 Jan 21
Call of the Sea,https://www.trueachievements.com/game/Call-of-the-Sea/achievements,xbox-one,"59 / 1,654","55 / 1,000",2 / 34,Owned,Playing now,,52 mins,30 Dec 20,,30 Dec 20
Supraland,https://www.trueachievements.com/game/Supraland/achievements,xbox-one,"5 / 2,972","5 / 1,000",1 / 59,Owned,Playing now,,2 mins,21 Dec 20,,21 Dec 20
SUPERHOT: MIND CONTROL DELETE,https://www.trueachievements.com/game/SUPERHOT-MIND-CONTROL-DELETE/achievements,xbox-one,"405 / 2,327","330 / 1,000",5 / 14,Owned,Playing now,,3 hrs 15 mins,11 Dec 20,,12 Dec 20
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"775 / 2,549","465 / 1,000",27 / 44,Owned,Playing now,,,12 Nov 20,,09 Dec 20
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"5,810 / 6,582","1,820 / 1,960",75 / 79,Owned,Playing now,,46 hrs 44 mins,19 Jul 18,,18 Nov 20
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"3,060 / 6,282","1,325 / 1,950",65 / 98,Owned,,,1424 hrs 29 mins,25 Dec 15,,19 Oct 20
Drake Hollow,https://www.trueachievements.com/game/Drake-Hollow/achievements,xbox-one,"289 / 3,731","155 / 1,000",11 / 50,Owned,Playing now,,,17 Oct 20,,17 Oct 20
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"2,166 / 3,929","1,400 / 2,200",54 / 77,Owned,,,74 hrs 10 mins,12 Jun 16,,13 Oct 20
Call of Duty: Infinite Warfare,https://www.trueachievements.com/game/Call-of-Duty-Infinite-Warfare/achievements,xbox-one,"2,649 / 5,334","880 / 1,750",49 / 88,Owned,Playing now,,265 hrs 12 mins,15 Mar 18,,09 Oct 20
Spellbreak,https://www.trueachievements.com/game/Spellbreak/achievements,xbox-one,"501 / 3,682","400 / 1,000",5 / 11,Owned,Playing now,,,28 Sep 20,,28 Sep 20
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"3,805 / 8,824","1,470 / 2,560",86 / 141,Owned,Playing now,,825 hrs 23 mins,06 Apr 19,,18 Sep 20
Tell Me Why,https://www.trueachievements.com/game/Tell-Me-Why/achievements,xbox-one,169 / 685,150 / 500,3 / 10,Owned,Playing now,,,27 Aug 20,,04 Sep 20
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"68 / 1,916","50 / 1,000",1 / 26,Owned,Playing now,,40 hrs 3 mins,16 Aug 20,,16 Aug 20
Rush: A Disney Pixar Adventure,https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,xbox-one,"224 / 3,366","140 / 1,000",8 / 50,Owned,Playing now,,1 hr 1 min,03 Aug 20,,03 Aug 20
The Touryst,https://www.trueachievements.com/game/The-Touryst/achievements,xbox-one,"107 / 1,580","100 / 1,000",2 / 10,Owned,Playing now,,,02 Aug 20,,02 Aug 20
The Evil Within,https://www.trueachievements.com/game/The-Evil-Within/achievements,xbox-one,"355 / 3,528","180 / 1,235",10 / 51,Owned,Playing now,,11 hrs 26 mins,01 May 18,,02 Aug 20
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"1,792 / 1,792","1,000 / 1,000",11 / 11,Owned,,,110 hrs 22 mins,21 May 16,06 Sep 18,16 Jul 20
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"1,070 / 3,270","565 / 1,000",20 / 36,Owned,Playing now,,,08 Jun 20,,16 Jul 20
Call of Duty: WWII,https://www.trueachievements.com/game/Call-of-Duty-WWII/achievements,xbox-one,"5,599 / 13,418","1,405 / 3,000",41 / 90,Owned,Playing now,,43 hrs 2 mins,06 Nov 17,,15 Jul 20
Totally Reliable Delivery Service,https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,xbox-one,"158 / 4,191","105 / 1,000",6 / 25,Owned,Playing now,,,11 Jul 20,,12 Jul 20
The Dark Pictures Anthology: Man of Medan,https://www.trueachievements.com/game/The-Dark-Pictures-Man-Of-Medan/achievements,xbox-one,"41 / 3,869","30 / 1,000",3 / 30,Owned,Playing now,,,18 Apr 20,,12 Jul 20
We Happy Few,https://www.trueachievements.com/game/We-Happy-Few/achievements,xbox-one,"329 / 6,087","135 / 1,000",9 / 40,Owned,Playing now,,6 hrs 9 mins,18 Jan 19,,11 Jul 20
Moving Out,https://www.trueachievements.com/game/Moving-Out/achievements,xbox-one,"93 / 3,923","51 / 1,000",3 / 26,Owned,Playing now,,,11 Jul 20,,11 Jul 20
KINGDOM HEARTS - HD 1.5+2.5 ReMIX,https://www.trueachievements.com/game/KINGDOM-HEARTS-HD-15-25-ReMIX/achievements,xbox-one,"205 / 13,249","155 / 4,000",10 / 197,Owned,Playing now,,,27 Jun 20,,06 Jul 20
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"202 / 1,816","160 / 1,000",9 / 24,Owned,Playing now,,,28 May 20,,09 Jun 20
DayZ,https://www.trueachievements.com/game/DayZ/achievements,xbox-one,"638 / 3,381","290 / 1,000",6 / 13,Owned,Playing now,,18 hrs 35 mins,14 Dec 19,,05 Jun 20
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"1,430 / 1,430","1,000 / 1,000",12 / 12,Owned,Playing now,,278 hrs 19 mins,15 Mar 19,25 May 20,25 May 20
Fractured Minds,https://www.trueachievements.com/game/Fractured-Minds/achievements,xbox-one,"1,030 / 1,030","1,000 / 1,000",10 / 10,Owned,Playing now,,,23 May 20,23 May 20,23 May 20
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"23 / 3,814","15 / 1,000",2 / 51,Owned,Playing now,,5 hrs 55 mins,17 May 20,,17 May 20
Viva Piñata,https://www.trueachievements.com/game/Viva-Pinata/achievements,xbox-360,"877 / 1,984","520 / 1,000",26 / 50,Owned,,,,20 Nov 15,,30 Apr 20
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"42 / 1,892","35 / 1,000",3 / 50,Owned,,,,23 Dec 15,,26 Apr 20
LEGO Star Wars III: The Clone Wars,https://www.trueachievements.com/game/LEGO-Star-Wars-3/achievements,xbox-360,"817 / 2,240","450 / 1,000",34 / 48,Owned,Playing now,,,14 Sep 18,,26 Apr 20
Wolfenstein: The New Order,https://www.trueachievements.com/game/Wolfenstein-The-New-Order/achievements,xbox-one,"160 / 1,951","130 / 1,000",9 / 50,Owned,Playing now,,4 hrs 22 mins,04 May 19,,26 Apr 20
Burnout Paradise Remastered,https://www.trueachievements.com/game/Burnout-Paradise-Remastered/achievements,xbox-one,"226 / 6,205","90 / 1,000",7 / 56,Owned,Playing now,,1 hr 35 mins,15 Apr 19,,17 Apr 20
Sniper Elite 3,https://www.trueachievements.com/game/Sniper-Elite-3/achievements,xbox-one,"53 / 3,007","40 / 1,000",4 / 50,Owned,,,4 hrs 45 mins,09 May 17,,17 Apr 20
