game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"5,275 / 6,354","1,585 / 1,850",62 / 76,Owned,Playing now,,1051 hrs 27 mins,26 Apr 17,,16 Dec 22
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"2,544 / 2,737","1,220 / 1,250",60 / 61,Owned,Playing now,,302 hrs 48 mins,09 Jan 21,,21 Jun 21
The Crew 2,https://www.trueachievements.com/game/The-Crew-2/achievements,xbox-one,"10 / 2,317","10 / 1,000",1 / 34,Owned,Playing now,,30 mins,24 Dec 19,,24 Dec 19
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"25 / 2,020","25 / 1,000",1 / 39,Owned,Playing now,,3 hrs 0 mins,17 Dec 19,,17 Dec 19
Microsoft Mahjong (Windows),https://www.trueachievements.com/game/Microsoft-Mahjong-Win-10/achievements,windows,"1,028 / 2,089","615 / 1,000",26 / 40,Owned,Playing now,,22 hrs 40 mins,19 Nov 19,,08 Dec 19
Minecraft: Xbox 360 Edition,https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,xbox-360,"188 / 2,105","145 / 1,000",10 / 50,Owned,Playing now,,,06 Mar 16,,05 Sep 19
Rocksmith 2014 Edition (Xbox 360),https://www.trueachievements.com/game/Rocksmith-2014-Edition-Xbox-360/achievements,xbox-360,"2,120 / 4,295","640 / 1,000",34 / 47,Owned,,,,02 Feb 15,,08 Jun 19
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"1,608 / 1,747","1,015 / 1,070",52 / 55,Owned,Playing now,,243 hrs 55 mins,22 Dec 18,,03 Feb 19
Deus Ex: Mankind Divided,https://www.trueachievements.com/game/Deus-Ex-Mankind-Divided/achievements,xbox-one,"223 / 3,898","30 / 1,120",2 / 58,Owned,Playing now,,2 hrs 31 mins,08 Apr 18,,09 Apr 18
Star Wars Battlefront II,https://www.trueachievements.com/game/Star-Wars-Battlefront-II/achievements,xbox-one,"11 / 2,202","10 / 1,000",1 / 40,Owned,Playing now,,1 hr 48 mins,05 Apr 18,,05 Apr 18
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"1,579 / 1,671","990 / 1,030",50 / 53,Owned,Playing now,,118 hrs 59 mins,01 Feb 18,,13 Mar 18
Assassin's Creed Unity,https://www.trueachievements.com/game/Assassins-Creed-Unity/achievements,xbox-one,"2,581 / 2,617","1,280 / 1,300",55 / 57,Owned,Playing now,,138 hrs 54 mins,02 Dec 17,,30 Jan 18
Assassin's Creed Chronicles: China,https://www.trueachievements.com/game/Assassins-Creed-Chronicles-China/achievements,xbox-one,"25 / 2,912","25 / 1,000",1 / 18,Owned,Playing now,,37 mins,27 Jan 18,,27 Jan 18
Assassin's Creed Syndicate,https://www.trueachievements.com/game/Assassins-Creed-Syndicate/achievements,xbox-one,"1,883 / 1,928","985 / 1,000",48 / 49,Owned,Playing now,,96 hrs 5 mins,31 Dec 17,,27 Jan 18
Diablo III: Reaper of Souls - Ultimate Evil Edition (Xbox 360),https://www.trueachievements.com/game/Diablo-III-Reaper-of-Souls-Ultimate-Evil-Edition-Xbox-360/achievements,xbox-360,"896 / 1,679","705 / 1,000",33 / 43,Owned,Playing now,,,27 Sep 15,,03 Jan 18
Mortal Kombat,https://www.trueachievements.com/game/Mortal-Kombat/achievements,xbox-360,"130 / 4,307","105 / 1,000",7 / 50,Owned,,,,29 Nov 13,,03 Jan 18
Sonic & All-Stars Racing Transformed,https://www.trueachievements.com/game/Sonic-and-All-Stars-Racing-Transformed/achievements,xbox-360,"158 / 5,345","105 / 1,000",7 / 50,Owned,,,,01 Jun 14,,03 Jan 18
Beyond Good & Evil HD,https://www.trueachievements.com/game/Beyond-Good-and-Evil-HD/achievements,xbox-360,5 / 362,5 / 200,1 / 12,Owned,Playing now,,,30 Nov 17,,30 Nov 17
Assassin's Creed IV: Black Flag (Xbox 360),https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag-Xbox-360/achievements,xbox-360,"1,499 / 1,849","920 / 1,000",45 / 50,Owned,,,,05 Nov 14,,01 Jun 17
Microsoft Solitaire Collection (Windows),https://www.trueachievements.com/game/Solitaire-Collection/achievements,windows,216 / 973,80 / 200,9 / 20,Owned,Playing now,,,05 Jan 16,,27 May 17
Assassin's Creed III,https://www.trueachievements.com/game/Assassins-Creed-III/achievements,xbox-360,"2,369 / 2,603","1,170 / 1,250",55 / 60,Owned,,,,18 Jun 14,,21 May 17
Lara Croft and the Guardian of Light,https://www.trueachievements.com/game/Lara-Croft-Guardian-of-Light/achievements,xbox-360,266 / 370,175 / 200,11 / 12,Owned,,,,21 Dec 13,,09 Apr 17
Assassin's Creed: Revelations,https://www.trueachievements.com/game/Assassins-Creed-Revelations/achievements,xbox-360,"1,351 / 1,765","800 / 1,000",39 / 49,Owned,,,,09 May 14,,07 Apr 17
Skylanders Trap Team (Xbox 360),https://www.trueachievements.com/game/Skylanders-Trap-Team-Xbox-360/achievements,xbox-360,"66 / 2,588","60 / 1,000",6 / 46,Owned,Playing now,,,15 Mar 17,,15 Mar 17
Assassin's Creed: Brotherhood,https://www.trueachievements.com/game/Assassins-Creed-Brotherhood/achievements,xbox-360,"1,603 / 2,193","1,050 / 1,250",50 / 60,Owned,,,,12 Apr 14,,28 Feb 17
Asphalt 8: Airborne (Windows),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-8/achievements,windows,26 / 475,25 / 200,3 / 20,Owned,Playing now,,,25 Feb 17,,25 Feb 17
Assassin's Creed II,https://www.trueachievements.com/game/Assassins-Creed-2/achievements,xbox-360,"1,253 / 1,253","1,000 / 1,000",50 / 50,Owned,,,,09 Mar 14,23 Apr 15,31 Jan 17
Assassin's Creed,https://www.trueachievements.com/game/Assassins-Creed/achievements,xbox-360,"1,592 / 1,592","1,000 / 1,000",44 / 44,Owned,,,,15 Feb 14,09 Dec 16,08 Dec 16
Dishonored,https://www.trueachievements.com/game/Dishonored/achievements,xbox-360,"5 / 2,455","5 / 1,000",1 / 50,Owned,,,,24 Dec 14,,12 Nov 16
Hexic HD,https://www.trueachievements.com/game/Hexic/achievements,xbox-360,27 / 810,25 / 200,3 / 12,Owned,Playing now,,,03 Oct 16,,03 Oct 16
Rayman Legends (Xbox 360),https://www.trueachievements.com/game/Rayman-Legends-Xbox-360/achievements,xbox-360,"584 / 2,208","390 / 1,000",28 / 50,Owned,,,,25 Dec 13,,04 Sep 16
Kinect Rush: A Disney/Pixar Adventure,https://www.trueachievements.com/game/Kinect-Rush/achievements,xbox-360,"370 / 3,407","235 / 1,000",12 / 50,Owned,,,,07 Dec 13,,15 Aug 16
Assassin's Creed Rogue,https://www.trueachievements.com/game/Assassins-Creed-Rogue/achievements,xbox-360,"1,888 / 1,888","1,000 / 1,000",46 / 46,Owned,Playing now,,,30 May 16,02 Jul 16,08 Jul 16
Assassin's Creed Liberation HD,https://www.trueachievements.com/game/Assassins-Creed-Liberation-HD/achievements,xbox-360,585 / 585,400 / 400,30 / 30,Owned,,,,25 Oct 14,08 Jul 16,08 Jul 16
Microsoft Mahjong (Windows 8),https://www.trueachievements.com/game/Microsoft-Mahjong/achievements,windows,15 / 27,15 / 25,2 / 3,Owned,Playing now,,,18 Jan 16,,05 Feb 16
Microsoft Treasure Hunt (Windows 8),https://www.trueachievements.com/game/Microsoft-Treasure-Hunt/achievements,windows,35 / 618,30 / 200,3 / 20,Owned,Playing now,,,17 Jan 16,,31 Jan 16
Despicable Me: Minion Rush (Windows),https://www.trueachievements.com/game/Despicable-Me-Minion-Rush-Windows-8/achievements,windows,30 / 665,25 / 200,3 / 20,Owned,Playing now,,,03 Jan 16,,31 Jan 16
Microsoft Jigsaw (Windows 8),https://www.trueachievements.com/game/Microsoft-Jigsaw/achievements,windows,6 / 610,5 / 200,1 / 20,Owned,Playing now,,,10 Jan 16,,19 Jan 16
Kinect Adventures,https://www.trueachievements.com/game/Kinect-Adventures/achievements,xbox-360,"32 / 3,586","30 / 1,000",2 / 32,Owned,,,,28 Dec 14,,28 Dec 14
