game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"244 / 3,559","145 / 1,000",12 / 62,Owned,Playing now,,5 hrs 26 mins,31 Mar 19,,31 Jul 19
Forza Motorsport 6: Apex (Windows),https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,windows,"321 / 2,539","190 / 1,000",4 / 24,Owned,Playing now,,5 hrs 10 mins,14 Dec 17,,20 Jan 18
Asphalt 8: Airborne (WP),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-Phone/achievements,windows-phone,336 / 646,170 / 200,18 / 20,Owned,,,,01 Jan 15,,24 Jan 17
Breeze (WP),https://www.trueachievements.com/game/Breeze/achievements,windows-phone,51 / 72,40 / 50,8 / 10,Owned,,,,16 Feb 14,,03 Dec 16
Order & Chaos Online (WP),https://www.trueachievements.com/game/Order-and-Chaos-Online/achievements,windows-phone,17 / 589,15 / 200,2 / 20,Owned,Playing now,,,21 May 16,,21 May 16
Flowerz (WP),https://www.trueachievements.com/game/Flowerz/achievements,windows-phone,50 / 434,45 / 200,6 / 15,Owned,,,,02 May 14,,20 Jan 16
Modern Combat 5: Blackout (WP),https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,windows-phone,"115 / 1,080",80 / 200,6 / 19,Owned,Playing now,,,20 Jul 15,,22 Jul 15
Jetpack Joyride (WP),https://www.trueachievements.com/game/Jetpack-Joyride-Windows-Phone/achievements,windows-phone,121 / 334,80 / 200,9 / 20,Owned,,,,20 Oct 13,,08 Nov 14
Shuffle Party (WP),https://www.trueachievements.com/game/Shuffle-Party/achievements,windows-phone,10 / 68,10 / 50,2 / 10,Owned,,,,16 Feb 14,,28 Jun 14
Temple Run 2 (WP),https://www.trueachievements.com/game/Temple-Run-2/achievements,windows-phone,114 / 326,85 / 200,12 / 20,Owned,,,,01 Jun 14,,16 Jun 14
Angry Birds Rio (WP),https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,windows-phone,148 / 378,100 / 200,10 / 20,Owned,,,,09 May 14,,09 May 14
Rabbids Big Bang (WP),https://www.trueachievements.com/game/Rabbids-Big-Bang/achievements,windows-phone,43 / 529,30 / 200,6 / 20,Owned,,,,09 May 14,,09 May 14
Ice Age Village (WP),https://www.trueachievements.com/game/Ice-Age-Village/achievements,windows-phone,104 / 399,78 / 200,9 / 20,Owned,,,,01 Sep 13,,14 Apr 14
Microsoft Minesweeper (WP),https://www.trueachievements.com/game/Microsoft-Minesweeper-Windows-Phone/achievements,windows-phone,40 / 408,40 / 200,2 / 20,Owned,,,,05 Apr 14,,05 Apr 14
Kingdoms & Lords (WP),https://www.trueachievements.com/game/Kingdoms-and-Lords/achievements,windows-phone,42 / 571,35 / 200,5 / 20,Owned,,,,22 Feb 14,,22 Feb 14
Six-Guns (WP),https://www.trueachievements.com/game/Six-Guns/achievements,windows-phone,"275 / 1,318",80 / 200,10 / 20,Owned,,,,08 Oct 13,,09 Feb 14
Microsoft Mahjong (WP),https://www.trueachievements.com/game/Microsoft-Mahjong-Windows-Phone/achievements,windows-phone,101 / 303,85 / 200,9 / 20,Owned,,,,15 Jan 14,,19 Jan 14
