game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Mortal Kombat 11,https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,xbox-one,"766 / 2,265","415 / 1,000",23 / 58,Owned,,,50 hrs 21 mins,25 Apr 19,,31 May 23
Kingdom Come: Deliverance,https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,xbox-one,"1,487 / 4,606","485 / 1,000",26 / 49,Owned,,,211 hrs 51 mins,19 Mar 19,,27 May 23
Middle-earth: Shadow of War,https://www.trueachievements.com/game/Middle-earth-Shadow-of-War/achievements,xbox-one,"31 / 1,777","30 / 1,000",2 / 52,Owned,Playing now,,3 hrs 11 mins,10 May 23,,10 May 23
The Escapists 2,https://www.trueachievements.com/game/The-Escapists-2/achievements,xbox-one,"788 / 5,379","265 / 1,000",13 / 40,Owned,,,23 hrs 43 mins,02 Feb 19,,10 May 23
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"1,570 / 3,710","685 / 1,250",40 / 63,Owned,,,86 hrs 53 mins,29 Dec 18,,30 Apr 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"584 / 22,104","310 / 2,920",35 / 152,Owned,Playing now,,61 hrs 5 mins,10 Apr 21,,31 Mar 23
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"364 / 3,271","180 / 1,000",12 / 50,Owned,Playing now,,8 hrs 36 mins,05 Mar 23,,26 Mar 23
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"1,111 / 2,135","625 / 1,000",29 / 43,Owned,,,125 hrs 27 mins,15 Feb 19,,26 Feb 23
Madden NFL 23 (Xbox One),https://www.trueachievements.com/game/Madden-NFL-23-Xbox-One/achievements,xbox-one,"486 / 3,651","250 / 1,000",5 / 21,Owned,Playing now,,7 hrs 59 mins,10 Feb 23,,15 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"25 / 4,483","25 / 1,000",2 / 44,Owned,Playing now,,24 mins,09 Feb 23,,09 Feb 23
FIFA 22 (Xbox One),https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,xbox-one,"376 / 3,394","165 / 1,000",8 / 37,Owned,Playing now,,167 hrs 0 mins,26 Jun 22,,03 Feb 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"760 / 2,610","430 / 1,120",23 / 67,Owned,Playing now,,107 hrs 44 mins,09 Oct 22,,31 Jan 23
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"1,476 / 8,204","810 / 1,945",56 / 114,Owned,Playing now,,42 hrs 10 mins,17 Sep 20,,03 Jan 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"668 / 2,514","430 / 1,000",25 / 53,Owned,Playing now,,48 hrs 2 mins,09 Nov 21,,24 Dec 22
Madden NFL 22 (Xbox One),https://www.trueachievements.com/game/Madden-NFL-22-Xbox-One/achievements,xbox-one,"494 / 1,997","300 / 1,000",5 / 16,Owned,Playing now,,45 hrs 4 mins,18 Mar 22,,16 Dec 22
Grand Theft Auto V (JP) (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Japanese/achievements,xbox-one,"765 / 5,868","260 / 1,250",17 / 60,Owned,Playing now,,81 hrs 35 mins,29 Nov 22,,09 Dec 22
NORCO,https://www.trueachievements.com/game/NORCO/achievements,xbox-one,"49 / 2,138","45 / 1,000",2 / 35,Owned,Playing now,,12 mins,07 Dec 22,,07 Dec 22
Pentiment,https://www.trueachievements.com/game/Pentiment/achievements,xbox-one,"73 / 2,056","50 / 1,000",3 / 41,Owned,Playing now,,3 hrs 4 mins,27 Nov 22,,07 Dec 22
eFootball 2023,https://www.trueachievements.com/game/eFootball/achievements,xbox-one,"378 / 1,691","320 / 1,000",6 / 17,Owned,Playing now,,37 mins,12 Oct 22,,12 Oct 22
Weird West: Definitive Edition,https://www.trueachievements.com/game/Weird-West/achievements,xbox-one,"10 / 4,400","10 / 1,000",1 / 53,Owned,Playing now,,17 mins,24 Sep 22,,24 Sep 22
