game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
XCOM: Enemy Unknown,https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,xbox-360,"864 / 4,104","455 / 1,000",33 / 50,Owned,Playing now,,,16 Jun 16,,07 May 23
Tekken 6,https://www.trueachievements.com/game/Tekken-6/achievements,xbox-360,"202 / 2,034","145 / 1,000",10 / 50,Owned,Playing now,,,10 Jun 20,,18 Apr 23
Gears of War,https://www.trueachievements.com/game/Gears-of-War/achievements,xbox-360,"21 / 2,676","20 / 1,000",2 / 49,Xbox Game Pass,,,,03 Apr 23,,13 Apr 23
PGA Tour 2K23,https://www.trueachievements.com/game/PGA-Tour-2K23/achievements,xbox-one,"241 / 2,025","165 / 1,000",10 / 29,Owned,Playing now,,10 hrs 17 mins,08 Apr 23,,10 Apr 23
RAGE,https://www.trueachievements.com/game/Rage/achievements,xbox-360,"406 / 2,333","270 / 1,000",19 / 50,Xbox Game Pass,,,,28 Feb 22,,08 Apr 23
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"530 / 7,014","310 / 1,380",34 / 115,Owned,Playing now,,45 hrs 46 mins,06 Sep 19,,05 Apr 23
Somerville,https://www.trueachievements.com/game/Somerville/achievements,xbox-one,"51 / 1,745","50 / 1,000",1 / 11,Owned,Playing now,,17 mins,04 Apr 23,,04 Apr 23
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"509 / 5,367","410 / 1,500",35 / 93,Owned,Playing now,,23 hrs 40 mins,11 Jan 18,,03 Apr 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"650 / 2,607","320 / 1,000",7 / 25,Xbox Game Pass,,,21 hrs 17 mins,28 Mar 23,,31 Mar 23
As Dusk Falls,https://www.trueachievements.com/game/As-Dusk-Falls/achievements,xbox-one,"1,309 / 1,735","820 / 1,000",39 / 50,Xbox Game Pass,,,12 hrs 44 mins,19 Mar 23,,25 Mar 23
Madden NFL 23 (Xbox One),https://www.trueachievements.com/game/Madden-NFL-23-Xbox-One/achievements,xbox-one,"375 / 3,647","240 / 1,000",3 / 21,Owned,Playing now,,41 hrs 2 mins,17 Feb 23,,21 Mar 23
Gears Tactics,https://www.trueachievements.com/game/Gears-Tactics/achievements,xbox-one,"1,066 / 11,654","415 / 1,400",29 / 61,Xbox Game Pass,,,49 hrs 38 mins,10 Feb 21,,17 Mar 23
Empire of Sin,https://www.trueachievements.com/game/Empire-of-Sin/achievements,xbox-one,"949 / 6,533","380 / 1,000",22 / 46,Xbox Game Pass,,,75 hrs 34 mins,14 Jan 22,,13 Mar 23
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"25 / 5,495","25 / 2,915",1 / 127,Owned,Playing now,,56 mins,04 Mar 23,,04 Mar 23
Mass Effect 3,https://www.trueachievements.com/game/Mass-Effect-3/achievements,xbox-360,"15 / 1,468","15 / 1,000",2 / 50,Owned,Playing now,,,16 Feb 23,,03 Mar 23
Dead Space 3,https://www.trueachievements.com/game/Dead-Space-3/achievements,xbox-360,"250 / 2,479","190 / 1,000",13 / 50,Owned,Playing now,,,10 Nov 20,,02 Mar 23
Tom Clancy's Rainbow Six Extraction,https://www.trueachievements.com/game/Rainbow-Six-Extraction/achievements,xbox-one,"46 / 3,854","35 / 1,000",3 / 42,No longer have,,,2 hrs 11 mins,23 Feb 23,,23 Feb 23
Unravel Two,https://www.trueachievements.com/game/Unravel-Two/achievements,xbox-one,"10 / 13,530","10 / 1,000",1 / 28,Owned,Playing now,,26 mins,23 Feb 23,,23 Feb 23
de Blob 2 (Xbox 360),https://www.trueachievements.com/game/de-Blob-2-Xbox-360/achievements,xbox-360,"563 / 2,805","285 / 1,000",10 / 25,Owned,Playing now,,,08 Nov 22,,21 Feb 23
Dead Space 2,https://www.trueachievements.com/game/Dead-Space-2/achievements,xbox-360,"488 / 1,722","400 / 1,000",23 / 50,Owned,Playing now,,,01 May 18,,21 Feb 23
Gungrave G.O.R.E,https://www.trueachievements.com/game/Gungrave-Gore/achievements,xbox-one,"54 / 5,063","45 / 1,000",4 / 49,Owned,Playing now,,23 mins,21 Feb 23,,21 Feb 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 6,040","15 / 1,000",1 / 42,Xbox Game Pass,,,55 mins,21 Feb 23,,21 Feb 23
Shadow Warrior 3: Definitive Edition,https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,xbox-one,"450 / 1,874","340 / 1,000",18 / 38,Xbox Game Pass,,,3 hrs 27 mins,18 Feb 23,,20 Feb 23
GoldenEye 007,https://www.trueachievements.com/game/GoldenEye-007/achievements,xbox-one,"586 / 3,251","310 / 1,000",16 / 55,Owned,Playing now,,3 hrs 29 mins,15 Feb 23,,19 Feb 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"71 / 7,529","45 / 1,075",8 / 110,Owned,Playing now,,7 hrs 50 mins,17 Feb 23,,19 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"367 / 4,599","210 / 1,045",15 / 47,Owned,Playing now,,4 hrs 15 mins,15 Feb 23,,15 Feb 23
Dead Space (2008),https://www.trueachievements.com/game/Dead-Space-Xbox-360/achievements,xbox-360,"762 / 1,802","565 / 1,000",29 / 48,Owned,,,,19 Jan 17,,14 Feb 23
"Guns, Gore & Cannoli 2",https://www.trueachievements.com/game/Guns-Gore-and-Cannoli-2/achievements,xbox-one,"874 / 1,271","725 / 1,000",16 / 20,Owned,Playing now,,22 hrs 25 mins,23 Apr 20,,10 Feb 23
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"1,631 / 2,587","1,095 / 1,390",73 / 91,Owned,,,39 hrs 47 mins,29 Dec 16,,09 Feb 23
WWE 2K22 (Xbox One),https://www.trueachievements.com/game/WWE-2K22-Xbox-One/achievements,xbox-one,"1,110 / 2,900","540 / 1,000",31 / 54,Owned,Playing now,,108 hrs 15 mins,24 Dec 22,,03 Feb 23
Tom Clancy's The Division 2,https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,xbox-one,"731 / 2,278","505 / 1,010",25 / 43,Owned,Playing now,,95 hrs 50 mins,24 Dec 19,,01 Feb 23
Beyond Good & Evil HD,https://www.trueachievements.com/game/Beyond-Good-and-Evil-HD/achievements,xbox-360,5 / 362,5 / 200,1 / 12,Owned,,,,17 Aug 16,,27 Jan 23
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"1,022 / 1,762","665 / 1,000",24 / 49,Xbox Game Pass,,,,15 Dec 22,,03 Jan 23
Trek to Yomi,https://www.trueachievements.com/game/Trek-to-Yomi/achievements,xbox-one,"42 / 5,739","40 / 1,000",3 / 28,Xbox Game Pass,,,1 hr 12 mins,31 Dec 22,,31 Dec 22
Dead End Job,https://www.trueachievements.com/game/Dead-End-Job/achievements,xbox-one,"825 / 6,016","250 / 1,000",11 / 36,Owned,Playing now,,6 hrs 41 mins,17 Dec 22,,28 Dec 22
Metal: Hellsinger (Xbox One),https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,xbox-one,"25 / 2,236","25 / 1,000",1 / 28,Xbox Game Pass,,,17 mins,17 Dec 22,,17 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"838 / 2,441","565 / 1,000",22 / 32,Xbox Game Pass,,,10 hrs 16 mins,14 Dec 22,,17 Dec 22
MLB The Show 22,https://www.trueachievements.com/game/MLB-The-Show-22/achievements,xbox-one,"627 / 1,920","420 / 1,000",12 / 25,No longer have,,,72 hrs 33 mins,05 Apr 22,,16 Dec 22
